the Solar_eclipse_of_October_23,_1976.txt 24
177 Solar_eclipse_of_October_23,_1976.txt 1
path Solar_eclipse_of_October_23,_1976.txt 3
crossed Solar_eclipse_of_October_23,_1976.txt 1
4 Solar_eclipse_of_October_23,_1976.txt 1
metonic Solar_eclipse_of_October_23,_1976.txt 2
between Solar_eclipse_of_October_23,_1976.txt 1
1/5 Solar_eclipse_of_October_23,_1976.txt 1
edit Solar_eclipse_of_October_23,_1976.txt 6
es Solar_eclipse_of_October_23,_1976.txt 1
june Solar_eclipse_of_October_23,_1976.txt 1
region Solar_eclipse_of_October_23,_1976.txt 1
hybrid Solar_eclipse_of_October_23,_1976.txt 1
thereby Solar_eclipse_of_October_23,_1976.txt 1
eclipse Solar_eclipse_of_October_23,_1976.txt 9
as Solar_eclipse_of_October_23,_1976.txt 1
across Solar_eclipse_of_October_23,_1976.txt 1
through Solar_eclipse_of_October_23,_1976.txt 2
moon Solar_eclipse_of_October_23,_1976.txt 1
australian Solar_eclipse_of_October_23,_1976.txt 1
saros Solar_eclipse_of_October_23,_1976.txt 3
2499 Solar_eclipse_of_October_23,_1976.txt 1
narrow Solar_eclipse_of_October_23,_1976.txt 1
city Solar_eclipse_of_October_23,_1976.txt 2
about Solar_eclipse_of_October_23,_1976.txt 1
iteration Solar_eclipse_of_October_23,_1976.txt 1
left Solar_eclipse_of_October_23,_1976.txt 1
is Solar_eclipse_of_October_23,_1976.txt 1
21 Solar_eclipse_of_October_23,_1976.txt 1
moons Solar_eclipse_of_October_23,_1976.txt 2
apparent Solar_eclipse_of_October_23,_1976.txt 1
total Solar_eclipse_of_October_23,_1976.txt 5
related Solar_eclipse_of_October_23,_1976.txt 1
5 Solar_eclipse_of_October_23,_1976.txt 2
november Solar_eclipse_of_October_23,_1976.txt 1
then Solar_eclipse_of_October_23,_1976.txt 1
with Solar_eclipse_of_October_23,_1976.txt 6
totally Solar_eclipse_of_October_23,_1976.txt 1
january Solar_eclipse_of_October_23,_1976.txt 2
partial Solar_eclipse_of_October_23,_1976.txt 3
larger Solar_eclipse_of_October_23,_1976.txt 1
visible Solar_eclipse_of_October_23,_1976.txt 1
when Solar_eclipse_of_October_23,_1976.txt 2
new Solar_eclipse_of_October_23,_1976.txt 1
ocean Solar_eclipse_of_October_23,_1976.txt 1
repeating Solar_eclipse_of_October_23,_1976.txt 1
farther Solar_eclipse_of_October_23,_1976.txt 1
3.8 Solar_eclipse_of_October_23,_1976.txt 1
kilometres Solar_eclipse_of_October_23,_1976.txt 1
hidden Solar_eclipse_of_October_23,_1976.txt 1
events Solar_eclipse_of_October_23,_1976.txt 1
zealand Solar_eclipse_of_October_23,_1976.txt 1
1435 Solar_eclipse_of_October_23,_1976.txt 1
72 Solar_eclipse_of_October_23,_1976.txt 2
of Solar_eclipse_of_October_23,_1976.txt 16
providence Solar_eclipse_of_October_23,_1976.txt 1
repeats Solar_eclipse_of_October_23,_1976.txt 3
duration Solar_eclipse_of_October_23,_1976.txt 1
before Solar_eclipse_of_October_23,_1976.txt 1
alternating Solar_eclipse_of_October_23,_1976.txt 1
earths Solar_eclipse_of_October_23,_1976.txt 2
diameter Solar_eclipse_of_October_23,_1976.txt 1
border Solar_eclipse_of_October_23,_1976.txt 1
ends Solar_eclipse_of_October_23,_1976.txt 1
than Solar_eclipse_of_October_23,_1976.txt 1
sun Solar_eclipse_of_October_23,_1976.txt 2
partly Solar_eclipse_of_October_23,_1976.txt 1
notes Solar_eclipse_of_October_23,_1976.txt 1
contains Solar_eclipse_of_October_23,_1976.txt 2
semester Solar_eclipse_of_October_23,_1976.txt 2
a Solar_eclipse_of_October_23,_1976.txt 11
cycles Solar_eclipse_of_October_23,_1976.txt 1
was Solar_eclipse_of_October_23,_1976.txt 2
february Solar_eclipse_of_October_23,_1976.txt 1
or Solar_eclipse_of_October_23,_1976.txt 2
landfall Solar_eclipse_of_October_23,_1976.txt 1
mainland Solar_eclipse_of_October_23,_1976.txt 1
into Solar_eclipse_of_October_23,_1976.txt 1
23 Solar_eclipse_of_October_23,_1976.txt 2
1526 Solar_eclipse_of_October_23,_1976.txt 1
occurred Solar_eclipse_of_October_23,_1976.txt 1
date Solar_eclipse_of_October_23,_1976.txt 1
6939.69 Solar_eclipse_of_October_23,_1976.txt 1
passes Solar_eclipse_of_October_23,_1976.txt 1
tanzanian Solar_eclipse_of_October_23,_1976.txt 1
occur Solar_eclipse_of_October_23,_1976.txt 1
saw Solar_eclipse_of_October_23,_1976.txt 1
1976 Solar_eclipse_of_October_23,_1976.txt 2
same Solar_eclipse_of_October_23,_1976.txt 1
atoll Solar_eclipse_of_October_23,_1976.txt 2
shorter Solar_eclipse_of_October_23,_1976.txt 1
just Solar_eclipse_of_October_23,_1976.txt 2
surrounding Solar_eclipse_of_October_23,_1976.txt 1
1219 Solar_eclipse_of_October_23,_1976.txt 1
days Solar_eclipse_of_October_23,_1976.txt 4
blocking Solar_eclipse_of_October_23,_1976.txt 1
