the Solar_eclipse_of_May_10,_1994.txt 30
mexico Solar_eclipse_of_May_10,_1994.txt 1
southeastern Solar_eclipse_of_May_10,_1994.txt 1
islands Solar_eclipse_of_May_10,_1994.txt 1
nearly Solar_eclipse_of_May_10,_1994.txt 1
midwest Solar_eclipse_of_May_10,_1994.txt 1
viewer Solar_eclipse_of_May_10,_1994.txt 1
chihuahua Solar_eclipse_of_May_10,_1994.txt 1
1417 Solar_eclipse_of_May_10,_1994.txt 1
over Solar_eclipse_of_May_10,_1994.txt 2
swath Solar_eclipse_of_May_10,_1994.txt 1
1387.94 Solar_eclipse_of_May_10,_1994.txt 1
metonic Solar_eclipse_of_May_10,_1994.txt 2
july Solar_eclipse_of_May_10,_1994.txt 2
and Solar_eclipse_of_May_10,_1994.txt 9
disk Solar_eclipse_of_May_10,_1994.txt 1
totally Solar_eclipse_of_May_10,_1994.txt 1
annularity Solar_eclipse_of_May_10,_1994.txt 2
all Solar_eclipse_of_May_10,_1994.txt 1
addition Solar_eclipse_of_May_10,_1994.txt 1
sonora Solar_eclipse_of_May_10,_1994.txt 1
of Solar_eclipse_of_May_10,_1994.txt 21
approximately Solar_eclipse_of_May_10,_1994.txt 1
size Solar_eclipse_of_May_10,_1994.txt 1
moons Solar_eclipse_of_May_10,_1994.txt 3
around Solar_eclipse_of_May_10,_1994.txt 1
hours Solar_eclipse_of_May_10,_1994.txt 1
28 Solar_eclipse_of_May_10,_1994.txt 1
rabat Solar_eclipse_of_May_10,_1994.txt 1
octon Solar_eclipse_of_May_10,_1994.txt 1
by Solar_eclipse_of_May_10,_1994.txt 2
73 Solar_eclipse_of_May_10,_1994.txt 1
quebec Solar_eclipse_of_May_10,_1994.txt 1
19 Solar_eclipse_of_May_10,_1994.txt 1
on Solar_eclipse_of_May_10,_1994.txt 2
large Solar_eclipse_of_May_10,_1994.txt 1
for Solar_eclipse_of_May_10,_1994.txt 1
june Solar_eclipse_of_May_10,_1994.txt 2
177 Solar_eclipse_of_May_10,_1994.txt 1
causing Solar_eclipse_of_May_10,_1994.txt 1
path Solar_eclipse_of_May_10,_1994.txt 2
crossed Solar_eclipse_of_May_10,_1994.txt 1
4 Solar_eclipse_of_May_10,_1994.txt 1
wide Solar_eclipse_of_May_10,_1994.txt 2
31 Solar_eclipse_of_May_10,_1994.txt 1
between Solar_eclipse_of_May_10,_1994.txt 1
1/5 Solar_eclipse_of_May_10,_1994.txt 1
edit Solar_eclipse_of_May_10,_1994.txt 8
3.8 Solar_eclipse_of_May_10,_1994.txt 1
occurring Solar_eclipse_of_May_10,_1994.txt 1
region Solar_eclipse_of_May_10,_1994.txt 1
produced Solar_eclipse_of_May_10,_1994.txt 1
thereby Solar_eclipse_of_May_10,_1994.txt 1
eclipse Solar_eclipse_of_May_10,_1994.txt 10
as Solar_eclipse_of_May_10,_1994.txt 1
except Solar_eclipse_of_May_10,_1994.txt 1
part Solar_eclipse_of_May_10,_1994.txt 2
occurs Solar_eclipse_of_May_10,_1994.txt 2
through Solar_eclipse_of_May_10,_1994.txt 4
moon Solar_eclipse_of_May_10,_1994.txt 2
1993-1996 Solar_eclipse_of_May_10,_1994.txt 1
repeats Solar_eclipse_of_May_10,_1994.txt 3
passes Solar_eclipse_of_May_10,_1994.txt 1
about Solar_eclipse_of_May_10,_1994.txt 1
united Solar_eclipse_of_May_10,_1994.txt 2
is Solar_eclipse_of_May_10,_1994.txt 6
1543 Solar_eclipse_of_May_10,_1994.txt 1
apparent Solar_eclipse_of_May_10,_1994.txt 1
128 Solar_eclipse_of_May_10,_1994.txt 2
related Solar_eclipse_of_May_10,_1994.txt 1
5 Solar_eclipse_of_May_10,_1994.txt 1
1489 Solar_eclipse_of_May_10,_1994.txt 1
scotia Solar_eclipse_of_May_10,_1994.txt 2
look Solar_eclipse_of_May_10,_1994.txt 1
partial Solar_eclipse_of_May_10,_1994.txt 1
each Solar_eclipse_of_May_10,_1994.txt 1
dark Solar_eclipse_of_May_10,_1994.txt 1
visible Solar_eclipse_of_May_10,_1994.txt 1
when Solar_eclipse_of_May_10,_1994.txt 2
up Solar_eclipse_of_May_10,_1994.txt 1
including Solar_eclipse_of_May_10,_1994.txt 1
canada Solar_eclipse_of_May_10,_1994.txt 1
kilometres Solar_eclipse_of_May_10,_1994.txt 1
hidden Solar_eclipse_of_May_10,_1994.txt 1
provinces Solar_eclipse_of_May_10,_1994.txt 1
events Solar_eclipse_of_May_10,_1994.txt 1
saros Solar_eclipse_of_May_10,_1994.txt 2
capital Solar_eclipse_of_May_10,_1994.txt 1
1994 Solar_eclipse_of_May_10,_1994.txt 3
11 Solar_eclipse_of_May_10,_1994.txt 2
island Solar_eclipse_of_May_10,_1994.txt 1
images Solar_eclipse_of_May_10,_1994.txt 1
ring Solar_eclipse_of_May_10,_1994.txt 2
alternating Solar_eclipse_of_May_10,_1994.txt 1
city Solar_eclipse_of_May_10,_1994.txt 1
diameter Solar_eclipse_of_May_10,_1994.txt 1
blocking Solar_eclipse_of_May_10,_1994.txt 1
lasting Solar_eclipse_of_May_10,_1994.txt 1
sun Solar_eclipse_of_May_10,_1994.txt 5
partly Solar_eclipse_of_May_10,_1994.txt 1
maria Solar_eclipse_of_May_10,_1994.txt 1
categories Solar_eclipse_of_May_10,_1994.txt 2
there Solar_eclipse_of_May_10,_1994.txt 1
semester Solar_eclipse_of_May_10,_1994.txt 2
niagara Solar_eclipse_of_May_10,_1994.txt 1
external Solar_eclipse_of_May_10,_1994.txt 1
a Solar_eclipse_of_May_10,_1994.txt 10
cycles Solar_eclipse_of_May_10,_1994.txt 1
was Solar_eclipse_of_May_10,_1994.txt 2
or Solar_eclipse_of_May_10,_1994.txt 3
ontario Solar_eclipse_of_May_10,_1994.txt 2
image Solar_eclipse_of_May_10,_1994.txt 1
enough Solar_eclipse_of_May_10,_1994.txt 1
occurred Solar_eclipse_of_May_10,_1994.txt 1
date Solar_eclipse_of_May_10,_1994.txt 1
6939.69 Solar_eclipse_of_May_10,_1994.txt 1
orbit Solar_eclipse_of_May_10,_1994.txt 1
falls Solar_eclipse_of_May_10,_1994.txt 1
total Solar_eclipse_of_May_10,_1994.txt 3
which Solar_eclipse_of_May_10,_1994.txt 1
occur Solar_eclipse_of_May_10,_1994.txt 1
light Solar_eclipse_of_May_10,_1994.txt 1
same Solar_eclipse_of_May_10,_1994.txt 1
days Solar_eclipse_of_May_10,_1994.txt 4
than Solar_eclipse_of_May_10,_1994.txt 1
covered Solar_eclipse_of_May_10,_1994.txt 1
california Solar_eclipse_of_May_10,_1994.txt 3
