the Solar_eclipse_of_March_9,_2016.txt 32
approximately Solar_eclipse_of_March_9,_2016.txt 1
as Solar_eclipse_of_March_9,_2016.txt 1
part Solar_eclipse_of_March_9,_2016.txt 2
across Solar_eclipse_of_March_9,_2016.txt 2
297 Solar_eclipse_of_March_9,_2016.txt 1
including Solar_eclipse_of_March_9,_2016.txt 2
moon Solar_eclipse_of_March_9,_2016.txt 1
saros Solar_eclipse_of_March_9,_2016.txt 3
narrow Solar_eclipse_of_March_9,_2016.txt 1
earths Solar_eclipse_of_March_9,_2016.txt 1
july Solar_eclipse_of_March_9,_2016.txt 2
references Solar_eclipse_of_March_9,_2016.txt 1
mi Solar_eclipse_of_March_9,_2016.txt 2
is Solar_eclipse_of_March_9,_2016.txt 5
current Solar_eclipse_of_March_9,_2016.txt 1
apparent Solar_eclipse_of_March_9,_2016.txt 2
witnessed Solar_eclipse_of_March_9,_2016.txt 2
sumatra Solar_eclipse_of_March_9,_2016.txt 2
prayer Solar_eclipse_of_March_9,_2016.txt 1
pacific Solar_eclipse_of_March_9,_2016.txt 5
1.0450 Solar_eclipse_of_March_9,_2016.txt 1
along Solar_eclipse_of_March_9,_2016.txt 1
be Solar_eclipse_of_March_9,_2016.txt 2
with Solar_eclipse_of_March_9,_2016.txt 4
time Solar_eclipse_of_March_9,_2016.txt 1
starting Solar_eclipse_of_March_9,_2016.txt 1
partial Solar_eclipse_of_March_9,_2016.txt 5
263 Solar_eclipse_of_March_9,_2016.txt 1
larger Solar_eclipse_of_March_9,_2016.txt 1
metonic Solar_eclipse_of_March_9,_2016.txt 2
visible Solar_eclipse_of_March_9,_2016.txt 3
when Solar_eclipse_of_March_9,_2016.txt 1
eclipses Solar_eclipse_of_March_9,_2016.txt 5
eclipsed Solar_eclipse_of_March_9,_2016.txt 1
eauripik Solar_eclipse_of_March_9,_2016.txt 1
micronesia Solar_eclipse_of_March_9,_2016.txt 1
international Solar_eclipse_of_March_9,_2016.txt 1
ocean Solar_eclipse_of_March_9,_2016.txt 4
repeating Solar_eclipse_of_March_9,_2016.txt 1
also Solar_eclipse_of_March_9,_2016.txt 2
kilometres Solar_eclipse_of_March_9,_2016.txt 1
exceeded Solar_eclipse_of_March_9,_2016.txt 1
given Solar_eclipse_of_March_9,_2016.txt 1
events Solar_eclipse_of_March_9,_2016.txt 1
end Solar_eclipse_of_March_9,_2016.txt 1
northern Solar_eclipse_of_March_9,_2016.txt 1
2394 Solar_eclipse_of_March_9,_2016.txt 1
repeats Solar_eclipse_of_March_9,_2016.txt 1
duration Solar_eclipse_of_March_9,_2016.txt 2
much Solar_eclipse_of_March_9,_2016.txt 1
during Solar_eclipse_of_March_9,_2016.txt 1
place Solar_eclipse_of_March_9,_2016.txt 2
predictions Solar_eclipse_of_March_9,_2016.txt 1
obscured Solar_eclipse_of_March_9,_2016.txt 1
city Solar_eclipse_of_March_9,_2016.txt 2
diameter Solar_eclipse_of_March_9,_2016.txt 1
ends Solar_eclipse_of_March_9,_2016.txt 1
than Solar_eclipse_of_March_9,_2016.txt 3
sun Solar_eclipse_of_March_9,_2016.txt 2
north Solar_eclipse_of_March_9,_2016.txt 1
cycle Solar_eclipse_of_March_9,_2016.txt 3
notes Solar_eclipse_of_March_9,_2016.txt 1
categories Solar_eclipse_of_March_9,_2016.txt 1
contains Solar_eclipse_of_March_9,_2016.txt 1
bali Solar_eclipse_of_March_9,_2016.txt 1
sunrise Solar_eclipse_of_March_9,_2016.txt 2
semester Solar_eclipse_of_March_9,_2016.txt 2
2015 Solar_eclipse_of_March_9,_2016.txt 1
423 Solar_eclipse_of_March_9,_2016.txt 1
a Solar_eclipse_of_March_9,_2016.txt 17
was Solar_eclipse_of_March_9,_2016.txt 5
central Solar_eclipse_of_March_9,_2016.txt 2
into Solar_eclipse_of_March_9,_2016.txt 1
alternating Solar_eclipse_of_March_9,_2016.txt 1
201518 Solar_eclipse_of_March_9,_2016.txt 1
india Solar_eclipse_of_March_9,_2016.txt 1
borneo Solar_eclipse_of_March_9,_2016.txt 1
took Solar_eclipse_of_March_9,_2016.txt 2
date Solar_eclipse_of_March_9,_2016.txt 1
magnitude Solar_eclipse_of_March_9,_2016.txt 1
days Solar_eclipse_of_March_9,_2016.txt 2
total Solar_eclipse_of_March_9,_2016.txt 4
which Solar_eclipse_of_March_9,_2016.txt 1
clearly Solar_eclipse_of_March_9,_2016.txt 1
jakarta Solar_eclipse_of_March_9,_2016.txt 1
asia Solar_eclipse_of_March_9,_2016.txt 2
elsewhere Solar_eclipse_of_March_9,_2016.txt 1
surrounding Solar_eclipse_of_March_9,_2016.txt 1
saka Solar_eclipse_of_March_9,_2016.txt 1
singapore Solar_eclipse_of_March_9,_2016.txt 1
federated Solar_eclipse_of_March_9,_2016.txt 1
ternate Solar_eclipse_of_March_9,_2016.txt 1
blocking Solar_eclipse_of_March_9,_2016.txt 1
8 Solar_eclipse_of_March_9,_2016.txt 1
