the Solar_eclipse_of_January_24,_1925.txt 14
933 Solar_eclipse_of_January_24,_1925.txt 1
7 Solar_eclipse_of_January_24,_1925.txt 1
niagara Solar_eclipse_of_January_24,_1925.txt 1
a Solar_eclipse_of_January_24,_1925.txt 13
was Solar_eclipse_of_January_24,_1925.txt 5
southeastern Solar_eclipse_of_January_24,_1925.txt 1
into Solar_eclipse_of_January_24,_1925.txt 1
1997 Solar_eclipse_of_January_24,_1925.txt 1
3 Solar_eclipse_of_January_24,_1925.txt 1
occurred Solar_eclipse_of_January_24,_1925.txt 1
further Solar_eclipse_of_January_24,_1925.txt 1
falls Solar_eclipse_of_January_24,_1925.txt 1
passes Solar_eclipse_of_January_24,_1925.txt 1
seconds Solar_eclipse_of_January_24,_1925.txt 1
those Solar_eclipse_of_January_24,_1925.txt 2
surrounding Solar_eclipse_of_January_24,_1925.txt 1
days Solar_eclipse_of_January_24,_1925.txt 2
blocking Solar_eclipse_of_January_24,_1925.txt 1
8 Solar_eclipse_of_January_24,_1925.txt 2
