twinned Chita,_Zabaykalsky_Krai.txt 1 426 
annexation Chita,_Zabaykalsky_Krai.txt 1 141 
colloquially Chita,_Zabaykalsky_Krai.txt 1 275 
subordinated Chita,_Zabaykalsky_Krai.txt 1 233 
four Chita,_Zabaykalsky_Krai.txt 1 264 
exiles Chita,_Zabaykalsky_Krai.txt 1 80 
chitinsky Chita,_Zabaykalsky_Krai.txt 2 226 248 
wooden Chita,_Zabaykalsky_Krai.txt 2 113 118 
cossacks Chita,_Zabaykalsky_Krai.txt 1 57 
list Chita,_Zabaykalsky_Krai.txt 1 415 
serves Chita,_Zabaykalsky_Krai.txt 1 220 
pyotr Chita,_Zabaykalsky_Krai.txt 1 54 
edit Chita,_Zabaykalsky_Krai.txt 14 53 202 258 316 329 345 368 385 412 430 432 434 436 439 
predicted Chita,_Zabaykalsky_Krai.txt 1 128 
served Chita,_Zabaykalsky_Krai.txt 1 319 
notes Chita,_Zabaykalsky_Krai.txt 1 433 
river Chita,_Zabaykalsky_Krai.txt 1 284 
experiences Chita,_Zabaykalsky_Krai.txt 1 387 
tsentralny Chita,_Zabaykalsky_Krai.txt 1 285 
101st Chita,_Zabaykalsky_Krai.txt 1 357 
population Chita,_Zabaykalsky_Krai.txt 3 41 123 151 
krai Chita,_Zabaykalsky_Krai.txt 3 2 17 210 
be Chita,_Zabaykalsky_Krai.txt 1 293 
church Chita,_Zabaykalsky_Krai.txt 1 119 
some Chita,_Zabaykalsky_Krai.txt 2 84 182 
rivers Chita,_Zabaykalsky_Krai.txt 1 28 
see Chita,_Zabaykalsky_Krai.txt 1 413 
growth Chita,_Zabaykalsky_Krai.txt 1 136 
5,728 Chita,_Zabaykalsky_Krai.txt 1 154 
home Chita,_Zabaykalsky_Krai.txt 1 337 
estimated Chita,_Zabaykalsky_Krai.txt 1 121 
situated Chita,_Zabaykalsky_Krai.txt 1 323 
11,500 Chita,_Zabaykalsky_Krai.txt 1 161 
richard Chita,_Zabaykalsky_Krai.txt 1 103 
communications Chita,_Zabaykalsky_Krai.txt 1 359 
324,444 Chita,_Zabaykalsky_Krai.txt 1 42 
amur Chita,_Zabaykalsky_Krai.txt 1 144 
wikipedia Chita,_Zabaykalsky_Krai.txt 1 3 
1855 Chita,_Zabaykalsky_Krai.txt 1 109 
dwc/dwb Chita,_Zabaykalsky_Krai.txt 1 396 
1653 Chita,_Zabaykalsky_Krai.txt 1 61 
316,643 Chita,_Zabaykalsky_Krai.txt 1 45 
subdivided Chita,_Zabaykalsky_Krai.txt 1 262 
we Chita,_Zabaykalsky_Krai.txt 1 96 
football Chita,_Zabaykalsky_Krai.txt 1 374 
transportation Chita,_Zabaykalsky_Krai.txt 1 315 
nature Chita,_Zabaykalsky_Krai.txt 1 310 
irkutsk Chita,_Zabaykalsky_Krai.txt 1 40 
men Chita,_Zabaykalsky_Krai.txt 1 92 
notable Chita,_Zabaykalsky_Krai.txt 1 428 
hidden Chita,_Zabaykalsky_Krai.txt 1 441 
met Chita,_Zabaykalsky_Krai.txt 1 98 
base Chita,_Zabaykalsky_Krai.txt 1 349 
china Chita,_Zabaykalsky_Krai.txt 1 180 
brightest Chita,_Zabaykalsky_Krai.txt 1 87 
kilometers Chita,_Zabaykalsky_Krai.txt 1 35 
article Chita,_Zabaykalsky_Krai.txt 1 331 
puyi Chita,_Zabaykalsky_Krai.txt 1 175 
by Chita,_Zabaykalsky_Krai.txt 4 146 148 156 320 
arena Chita,_Zabaykalsky_Krai.txt 1 378 
on Chita,_Zabaykalsky_Krai.txt 1 30 
900 Chita,_Zabaykalsky_Krai.txt 1 34 
census Chita,_Zabaykalsky_Krai.txt 3 44 47 50 
last Chita,_Zabaykalsky_Krai.txt 1 177 
district Chita,_Zabaykalsky_Krai.txt 3 227 249 290 
of Chita,_Zabaykalsky_Krai.txt 15 15 23 39 67 85 142 179 183 208 215 225 240 312 341 416 
according Chita,_Zabaykalsky_Krai.txt 1 74 
experience Chita,_Zabaykalsky_Krai.txt 1 134 
s Chita,_Zabaykalsky_Krai.txt 1 56 
monument Chita,_Zabaykalsky_Krai.txt 1 311 
planned Chita,_Zabaykalsky_Krai.txt 1 383 
incorporated Chita,_Zabaykalsky_Krai.txt 2 251 299 
military Chita,_Zabaykalsky_Krai.txt 1 344 
railway Chita,_Zabaykalsky_Krai.txt 3 33 165 170 
emperor Chita,_Zabaykalsky_Krai.txt 1 178 
zheleznodorozhny Chita,_Zabaykalsky_Krai.txt 1 287 
nearby Chita,_Zabaykalsky_Krai.txt 1 352 
among Chita,_Zabaykalsky_Krai.txt 1 78 
named Chita,_Zabaykalsky_Krai.txt 2 268 280 
ipa Chita,_Zabaykalsky_Krai.txt 1 6 
facilities Chita,_Zabaykalsky_Krai.txt 1 340 
within Chita,_Zabaykalsky_Krai.txt 1 212 
mosque Chita,_Zabaykalsky_Krai.txt 1 163 
into Chita,_Zabaykalsky_Krai.txt 2 263 300 
sanatorium Chita,_Zabaykalsky_Krai.txt 1 195 
one Chita,_Zabaykalsky_Krai.txt 2 116 244 
twin Chita,_Zabaykalsky_Krai.txt 2 407 417 
regiment Chita,_Zabaykalsky_Krai.txt 1 366 
references Chita,_Zabaykalsky_Krai.txt 1 431 
cold Chita,_Zabaykalsky_Krai.txt 1 399 
cultivated Chita,_Zabaykalsky_Krai.txt 1 89 
reached Chita,_Zabaykalsky_Krai.txt 1 153 
sports Chita,_Zabaykalsky_Krai.txt 1 367 
george Chita,_Zabaykalsky_Krai.txt 1 76 
ingodinsky Chita,_Zabaykalsky_Krai.txt 1 279 
sympathetic Chita,_Zabaykalsky_Krai.txt 1 91 
city Chita,_Zabaykalsky_Krai.txt 7 10 107 131 191 239 256 260 
cities Chita,_Zabaykalsky_Krai.txt 2 411 421 
53rd Chita,_Zabaykalsky_Krai.txt 1 363 
would Chita,_Zabaykalsky_Krai.txt 1 132 
west Chita,_Zabaykalsky_Krai.txt 1 327 
support Chita,_Zabaykalsky_Krai.txt 1 365 
people Chita,_Zabaykalsky_Krai.txt 1 429 
due Chita,_Zabaykalsky_Krai.txt 1 137 
fast Chita,_Zabaykalsky_Krai.txt 1 135 
1989 Chita,_Zabaykalsky_Krai.txt 1 49 
continental Chita,_Zabaykalsky_Krai.txt 1 393 
station Chita,_Zabaykalsky_Krai.txt 2 166 171 
women Chita,_Zabaykalsky_Krai.txt 1 94 
themselves Chita,_Zabaykalsky_Krai.txt 1 306 
valley Chita,_Zabaykalsky_Krai.txt 1 145 
was Chita,_Zabaykalsky_Krai.txt 1 298 
okrug Chita,_Zabaykalsky_Krai.txt 1 255 
today Chita,_Zabaykalsky_Krai.txt 1 172 
a Chita,_Zabaykalsky_Krai.txt 7 9 112 193 235 294 308 388 
mining Chita,_Zabaykalsky_Krai.txt 1 295 
upcoming Chita,_Zabaykalsky_Krai.txt 1 140 
eastern Chita,_Zabaykalsky_Krai.txt 1 100 
560 Chita,_Zabaykalsky_Krai.txt 1 36 
wet Chita,_Zabaykalsky_Krai.txt 1 405 
climate Chita,_Zabaykalsky_Krai.txt 3 384 391 394 
but Chita,_Zabaykalsky_Krai.txt 1 127 
warm Chita,_Zabaykalsky_Krai.txt 1 404 
external Chita,_Zabaykalsky_Krai.txt 1 437 
russian Chita,_Zabaykalsky_Krai.txt 1 5 
1910 Chita,_Zabaykalsky_Krai.txt 1 168 
towns Chita,_Zabaykalsky_Krai.txt 2 408 418 
an Chita,_Zabaykalsky_Krai.txt 1 376 
with Chita,_Zabaykalsky_Krai.txt 4 115 243 397 427 
former Chita,_Zabaykalsky_Krai.txt 1 194 
he Chita,_Zabaykalsky_Krai.txt 2 110 120 
town Chita,_Zabaykalsky_Krai.txt 1 114 
divisions Chita,_Zabaykalsky_Krai.txt 1 217 
kennan Chita,_Zabaykalsky_Krai.txt 1 77 
mi Chita,_Zabaykalsky_Krai.txt 1 37 
decembrists Chita,_Zabaykalsky_Krai.txt 1 69 
air Chita,_Zabaykalsky_Krai.txt 1 348 
districts Chita,_Zabaykalsky_Krai.txt 2 257 266 
were Chita,_Zabaykalsky_Krai.txt 2 83 186 
visited Chita,_Zabaykalsky_Krai.txt 1 105 
chita Chita,_Zabaykalsky_Krai.txt 20 0 4 25 59 62 73 82 162 164 169 203 241 253 301 317 335 346 370 386 424 
russia Chita,_Zabaykalsky_Krai.txt 3 18 147 423 
history Chita,_Zabaykalsky_Krai.txt 1 52 
and Chita,_Zabaykalsky_Krai.txt 14 11 26 29 93 155 181 199 211 274 286 361 403 409 419 
are Chita,_Zabaykalsky_Krai.txt 1 307 
links Chita,_Zabaykalsky_Krai.txt 1 438 
urban Chita,_Zabaykalsky_Krai.txt 1 254 
is Chita,_Zabaykalsky_Krai.txt 11 8 204 231 250 261 318 336 350 371 382 425 
it Chita,_Zabaykalsky_Krai.txt 3 158 218 230 
club Chita,_Zabaykalsky_Krai.txt 1 375 
as Chita,_Zabaykalsky_Krai.txt 6 221 234 252 277 353 355 
associates Chita,_Zabaykalsky_Krai.txt 1 185 
at Chita,_Zabaykalsky_Krai.txt 2 20 124 
in Chita,_Zabaykalsky_Krai.txt 12 60 81 99 108 167 173 189 192 247 302 333 422 
exile Chita,_Zabaykalsky_Krai.txt 1 71 
1825 Chita,_Zabaykalsky_Krai.txt 1 65 
1897 Chita,_Zabaykalsky_Krai.txt 1 157 
saw Chita,_Zabaykalsky_Krai.txt 1 111 
contents Chita,_Zabaykalsky_Krai.txt 1 51 
municipal Chita,_Zabaykalsky_Krai.txt 2 200 236 
1,000 Chita,_Zabaykalsky_Krai.txt 1 126 
chernovskiye Chita,_Zabaykalsky_Krai.txt 3 271 278 304 
education Chita,_Zabaykalsky_Krai.txt 3 328 332 343 
hub Chita,_Zabaykalsky_Krai.txt 1 358 
kadala Chita,_Zabaykalsky_Krai.txt 1 321 
locality Chita,_Zabaykalsky_Krai.txt 1 246 
that Chita,_Zabaykalsky_Krai.txt 2 95 129 
when Chita,_Zabaykalsky_Krai.txt 1 102 
officers Chita,_Zabaykalsky_Krai.txt 1 197 
for Chita,_Zabaykalsky_Krai.txt 2 196 379 
located Chita,_Zabaykalsky_Krai.txt 2 19 351 
northwest Chita,_Zabaykalsky_Krai.txt 1 347 
which Chita,_Zabaykalsky_Krai.txt 2 229 297 
main Chita,_Zabaykalsky_Krai.txt 1 330 
several Chita,_Zabaykalsky_Krai.txt 2 66 339 
higher Chita,_Zabaykalsky_Krai.txt 1 342 
status Chita,_Zabaykalsky_Krai.txt 2 201 314 
used Chita,_Zabaykalsky_Krai.txt 1 291 
summers Chita,_Zabaykalsky_Krai.txt 1 406 
after Chita,_Zabaykalsky_Krai.txt 3 64 269 281 
categories Chita,_Zabaykalsky_Krai.txt 2 440 442 
15km Chita,_Zabaykalsky_Krai.txt 1 324 
kppen Chita,_Zabaykalsky_Krai.txt 1 395 
confluence Chita,_Zabaykalsky_Krai.txt 1 22 
most Chita,_Zabaykalsky_Krai.txt 2 88 90 
fc Chita,_Zabaykalsky_Krai.txt 1 369 
ingoda Chita,_Zabaykalsky_Krai.txt 2 27 283 
rural Chita,_Zabaykalsky_Krai.txt 1 245 
prisoner Chita,_Zabaykalsky_Krai.txt 1 188 
1885 Chita,_Zabaykalsky_Krai.txt 2 63 149 
chernovsky Chita,_Zabaykalsky_Krai.txt 2 267 288 
siberia Chita,_Zabaykalsky_Krai.txt 2 101 334 
maack Chita,_Zabaykalsky_Krai.txt 1 104 
center Chita,_Zabaykalsky_Krai.txt 3 14 207 224 
international Chita,_Zabaykalsky_Krai.txt 1 313 
well Chita,_Zabaykalsky_Krai.txt 1 354 
known Chita,_Zabaykalsky_Krai.txt 1 276 
together Chita,_Zabaykalsky_Krai.txt 1 242 
2002 Chita,_Zabaykalsky_Krai.txt 1 46 
coal Chita,_Zabaykalsky_Krai.txt 1 272 
sources Chita,_Zabaykalsky_Krai.txt 1 435 
very Chita,_Zabaykalsky_Krai.txt 2 398 400 
beketov Chita,_Zabaykalsky_Krai.txt 1 55 
the Chita,_Zabaykalsky_Krai.txt 23 12 21 24 31 68 79 86 106 130 139 143 176 190 205 213 222 238 259 270 282 326 356 362 
365,754 Chita,_Zabaykalsky_Krai.txt 1 48 
