bending Solar_eclipse_of_May_29,_1919.txt 1 240 
deflection Solar_eclipse_of_May_29,_1919.txt 1 226 
observed Solar_eclipse_of_May_29,_1919.txt 1 349 
see Solar_eclipse_of_May_29,_1919.txt 1 220 
mozambique Solar_eclipse_of_May_29,_1919.txt 2 176 178 
measure Solar_eclipse_of_May_29,_1919.txt 1 297 
duration Solar_eclipse_of_May_29,_1919.txt 3 18 32 480 
close Solar_eclipse_of_May_29,_1919.txt 1 24 
constellation Solar_eclipse_of_May_29,_1919.txt 1 353 
event Solar_eclipse_of_May_29,_1919.txt 1 428 
sunrise Solar_eclipse_of_May_29,_1919.txt 1 90 
brazil Solar_eclipse_of_May_29,_1919.txt 2 88 343 
throughout Solar_eclipse_of_May_29,_1919.txt 1 63 
both Solar_eclipse_of_May_29,_1919.txt 1 347 
guinea Solar_eclipse_of_May_29,_1919.txt 2 132 135 
since Solar_eclipse_of_May_29,_1919.txt 1 46 
wikipedia Solar_eclipse_of_May_29,_1919.txt 1 6 
4 Solar_eclipse_of_May_29,_1919.txt 1 377 
1612 Solar_eclipse_of_May_29,_1919.txt 1 432 
version Solar_eclipse_of_May_29,_1919.txt 1 199 
tests Solar_eclipse_of_May_29,_1919.txt 1 222 
7 Solar_eclipse_of_May_29,_1919.txt 1 484 
frank Solar_eclipse_of_May_29,_1919.txt 1 310 
libreville Solar_eclipse_of_May_29,_1919.txt 1 149 
across Solar_eclipse_of_May_29,_1919.txt 2 80 91 
be Solar_eclipse_of_May_29,_1919.txt 1 260 
ends Solar_eclipse_of_May_29,_1919.txt 1 450 
led Solar_eclipse_of_May_29,_1919.txt 1 307 
theory Solar_eclipse_of_May_29,_1919.txt 1 256 
seconds Solar_eclipse_of_May_29,_1919.txt 2 39 487 
june Solar_eclipse_of_May_29,_1919.txt 4 57 289 411 474 
were Solar_eclipse_of_May_29,_1919.txt 2 294 350 
annular Solar_eclipse_of_May_29,_1919.txt 1 418 
french Solar_eclipse_of_May_29,_1919.txt 2 104 136 
hours Solar_eclipse_of_May_29,_1919.txt 1 378 
19161920 Solar_eclipse_of_May_29,_1919.txt 1 360 
1937 Solar_eclipse_of_May_29,_1919.txt 1 59 
free Solar_eclipse_of_May_29,_1919.txt 1 214 
licence Solar_eclipse_of_May_29,_1919.txt 1 215 
become Solar_eclipse_of_May_29,_1919.txt 1 274 
cherois Solar_eclipse_of_May_29,_1919.txt 1 335 
path Solar_eclipse_of_May_29,_1919.txt 1 79 
november Solar_eclipse_of_May_29,_1919.txt 1 430 
by Solar_eclipse_of_May_29,_1919.txt 5 196 229 243 308 330 
3.5.10 Solar_eclipse_of_May_29,_1919.txt 1 203 
on Solar_eclipse_of_May_29,_1919.txt 6 12 56 410 420 458 473 
1262 Solar_eclipse_of_May_29,_1919.txt 1 467 
central Solar_eclipse_of_May_29,_1919.txt 2 85 98 
hybrid Solar_eclipse_of_May_29,_1919.txt 1 427 
of Solar_eclipse_of_May_29,_1919.txt 23 2 19 33 35 65 116 162 190 223 227 238 241 246 250 253 257 288 299 320 326 368 384 481 
30 Solar_eclipse_of_May_29,_1919.txt 1 460 
days Solar_eclipse_of_May_29,_1919.txt 2 375 399 
british Solar_eclipse_of_May_29,_1919.txt 1 117 
1721 Solar_eclipse_of_May_29,_1919.txt 1 443 
principe Solar_eclipse_of_May_29,_1919.txt 1 321 
operating Solar_eclipse_of_May_29,_1919.txt 1 206 
narrow Solar_eclipse_of_May_29,_1919.txt 1 78 
slightly Solar_eclipse_of_May_29,_1919.txt 1 27 
southeastern Solar_eclipse_of_May_29,_1919.txt 1 81 
south Solar_eclipse_of_May_29,_1919.txt 2 66 97 
first Solar_eclipse_of_May_29,_1919.txt 2 305 417 
into Solar_eclipse_of_May_29,_1919.txt 1 96 
northeastern Solar_eclipse_of_May_29,_1919.txt 2 155 174 
africa Solar_eclipse_of_May_29,_1919.txt 7 69 99 106 138 168 184 327 
one Solar_eclipse_of_May_29,_1919.txt 1 249 
visible Solar_eclipse_of_May_29,_1919.txt 2 62 275 
semester Solar_eclipse_of_May_29,_1919.txt 2 366 380 
congo Solar_eclipse_of_May_29,_1919.txt 3 147 151 154 
references Solar_eclipse_of_May_29,_1919.txt 1 490 
spanish Solar_eclipse_of_May_29,_1919.txt 1 131 
177 Solar_eclipse_of_May_29,_1919.txt 1 374 
reached Solar_eclipse_of_May_29,_1919.txt 1 415 
total Solar_eclipse_of_May_29,_1919.txt 4 8 52 187 438 
nyasaland Solar_eclipse_of_May_29,_1919.txt 1 163 
eddington Solar_eclipse_of_May_29,_1919.txt 1 316 
gpl Solar_eclipse_of_May_29,_1919.txt 1 216 
from Solar_eclipse_of_May_29,_1919.txt 2 429 440 
second Solar_eclipse_of_May_29,_1919.txt 1 329 
west Solar_eclipse_of_May_29,_1919.txt 2 105 324 
celestia Solar_eclipse_of_May_29,_1919.txt 1 198 
contains Solar_eclipse_of_May_29,_1919.txt 1 400 
system Solar_eclipse_of_May_29,_1919.txt 1 207 
approximately Solar_eclipse_of_May_29,_1919.txt 1 372 
observations Solar_eclipse_of_May_29,_1919.txt 1 218 
totality Solar_eclipse_of_May_29,_1919.txt 4 20 34 74 482 
tom Solar_eclipse_of_May_29,_1919.txt 1 127 
crucis Solar_eclipse_of_May_29,_1919.txt 1 234 
bolivia Solar_eclipse_of_May_29,_1919.txt 1 86 
was Solar_eclipse_of_May_29,_1919.txt 4 41 61 306 425 
malawi Solar_eclipse_of_May_29,_1919.txt 1 165 
belgian Solar_eclipse_of_May_29,_1919.txt 1 150 
2622 Solar_eclipse_of_May_29,_1919.txt 1 461 
emulated Solar_eclipse_of_May_29,_1919.txt 1 195 
ivory Solar_eclipse_of_May_29,_1919.txt 1 112 
peru Solar_eclipse_of_May_29,_1919.txt 1 82 
eastern Solar_eclipse_of_May_29,_1919.txt 1 183 
started Solar_eclipse_of_May_29,_1919.txt 1 405 
6 Solar_eclipse_of_May_29,_1919.txt 1 36 
1.5.1 Solar_eclipse_of_May_29,_1919.txt 1 200 
occurred Solar_eclipse_of_May_29,_1919.txt 4 11 55 75 472 
but Solar_eclipse_of_May_29,_1919.txt 1 26 
1919 Solar_eclipse_of_May_29,_1919.txt 3 5 15 193 
tested Solar_eclipse_of_May_29,_1919.txt 1 261 
part Solar_eclipse_of_May_29,_1919.txt 1 108 
atlantic Solar_eclipse_of_May_29,_1919.txt 1 93 
chile Solar_eclipse_of_May_29,_1919.txt 1 84 
off Solar_eclipse_of_May_29,_1919.txt 1 322 
july Solar_eclipse_of_May_29,_1919.txt 1 459 
an Solar_eclipse_of_May_29,_1919.txt 1 277 
with Solar_eclipse_of_May_29,_1919.txt 5 16 268 406 462 477 
than Solar_eclipse_of_May_29,_1919.txt 1 29 
unsuccessful Solar_eclipse_of_May_29,_1919.txt 1 278 
13 Solar_eclipse_of_May_29,_1919.txt 1 446 
made Solar_eclipse_of_May_29,_1919.txt 1 295 
14 Solar_eclipse_of_May_29,_1919.txt 1 412 
17 Solar_eclipse_of_May_29,_1919.txt 1 435 
einsteins Solar_eclipse_of_May_29,_1919.txt 1 236 
this Solar_eclipse_of_May_29,_1919.txt 2 282 302 
18 Solar_eclipse_of_May_29,_1919.txt 1 396 
eclipse Solar_eclipse_of_May_29,_1919.txt 13 1 10 23 54 73 189 265 287 303 409 419 457 471 
maximum Solar_eclipse_of_May_29,_1919.txt 2 22 479 
near Solar_eclipse_of_May_29,_1919.txt 2 180 271 
r Solar_eclipse_of_May_29,_1919.txt 1 146 
gabon Solar_eclipse_of_May_29,_1919.txt 1 144 
can Solar_eclipse_of_May_29,_1919.txt 1 259 
island Solar_eclipse_of_May_29,_1919.txt 2 123 319 
following Solar_eclipse_of_May_29,_1919.txt 1 276 
eclipses Solar_eclipse_of_May_29,_1919.txt 5 45 356 359 370 439 
minutes Solar_eclipse_of_May_29,_1919.txt 2 37 485 
and Solar_eclipse_of_May_29,_1919.txt 12 68 87 95 128 145 173 232 313 337 376 414 437 
alternating Solar_eclipse_of_May_29,_1919.txt 1 382 
gravity Solar_eclipse_of_May_29,_1919.txt 1 245 
suse Solar_eclipse_of_May_29,_1919.txt 1 208 
prncipe Solar_eclipse_of_May_29,_1919.txt 2 122 129 
it Solar_eclipse_of_May_29,_1919.txt 3 40 60 424 
general Solar_eclipse_of_May_29,_1919.txt 2 224 255 
as Solar_eclipse_of_May_29,_1919.txt 3 70 194 454 
at Solar_eclipse_of_May_29,_1919.txt 4 21 381 451 483 
in Solar_eclipse_of_May_29,_1919.txt 5 124 182 342 351 364 
contents Solar_eclipse_of_May_29,_1919.txt 1 217 
expeditions Solar_eclipse_of_May_29,_1919.txt 2 293 348 
sir Solar_eclipse_of_May_29,_1919.txt 2 309 314 
january Solar_eclipse_of_May_29,_1919.txt 2 434 441 
media Solar_eclipse_of_May_29,_1919.txt 1 186 
that Solar_eclipse_of_May_29,_1919.txt 1 346 
tip Solar_eclipse_of_May_29,_1919.txt 2 115 161 
11.1 Solar_eclipse_of_May_29,_1919.txt 1 210 
crommelin Solar_eclipse_of_May_29,_1919.txt 1 336 
shorter Solar_eclipse_of_May_29,_1919.txt 1 28 
also Solar_eclipse_of_May_29,_1919.txt 1 221 
parts Solar_eclipse_of_May_29,_1919.txt 1 140 
sobral Solar_eclipse_of_May_29,_1919.txt 1 341 
sunset Solar_eclipse_of_May_29,_1919.txt 1 181 
experimentum Solar_eclipse_of_May_29,_1919.txt 1 233 
events Solar_eclipse_of_May_29,_1919.txt 1 402 
davidson Solar_eclipse_of_May_29,_1919.txt 1 339 
play Solar_eclipse_of_May_29,_1919.txt 1 185 
apparent Solar_eclipse_of_May_29,_1919.txt 1 269 
rhodesia Solar_eclipse_of_May_29,_1919.txt 1 157 
may Solar_eclipse_of_May_29,_1919.txt 5 3 13 47 191 445 
albert Solar_eclipse_of_May_29,_1919.txt 1 235 
after Solar_eclipse_of_May_29,_1919.txt 1 89 
southern Solar_eclipse_of_May_29,_1919.txt 3 101 103 130 
taurus Solar_eclipse_of_May_29,_1919.txt 1 354 
andrew Solar_eclipse_of_May_29,_1919.txt 1 331 
most Solar_eclipse_of_May_29,_1919.txt 1 64 
stars Solar_eclipse_of_May_29,_1919.txt 3 267 300 345 
two Solar_eclipse_of_May_29,_1919.txt 1 292 
71 Solar_eclipse_of_May_29,_1919.txt 2 401 453 
1360 Solar_eclipse_of_May_29,_1919.txt 1 413 
validate Solar_eclipse_of_May_29,_1919.txt 1 281 
america Solar_eclipse_of_May_29,_1919.txt 1 67 
moons Solar_eclipse_of_May_29,_1919.txt 1 386 
a Solar_eclipse_of_May_29,_1919.txt 11 7 50 71 77 263 365 379 416 426 455 478 
equatorial Solar_eclipse_of_May_29,_1919.txt 2 134 137 
repeats Solar_eclipse_of_May_29,_1919.txt 1 371 
attempt Solar_eclipse_of_May_29,_1919.txt 1 279 
longer Solar_eclipse_of_May_29,_1919.txt 1 51 
1918 Solar_eclipse_of_May_29,_1919.txt 1 291 
light Solar_eclipse_of_May_29,_1919.txt 2 228 242 
tanzania Solar_eclipse_of_May_29,_1919.txt 1 172 
orbit Solar_eclipse_of_May_29,_1919.txt 1 387 
ocean Solar_eclipse_of_May_29,_1919.txt 1 94 
so Solar_eclipse_of_May_29,_1919.txt 1 126 
series Solar_eclipse_of_May_29,_1919.txt 4 367 404 449 465 
components Solar_eclipse_of_May_29,_1919.txt 1 252 
sun Solar_eclipse_of_May_29,_1919.txt 3 231 248 273 
position Solar_eclipse_of_May_29,_1919.txt 1 270 
the Solar_eclipse_of_May_29,_1919.txt 24 17 30 42 92 107 139 230 239 244 247 251 272 285 304 318 323 328 344 352 385 403 448 463 469 
