6000ad Solar_eclipse_of_July_5,_2168.txt 1 266 
2601 Solar_eclipse_of_July_5,_2168.txt 1 181 
darkness Solar_eclipse_of_July_5,_2168.txt 1 67 
for Solar_eclipse_of_July_5,_2168.txt 1 40 
sun Solar_eclipse_of_July_5,_2168.txt 2 29 39 
since Solar_eclipse_of_July_5,_2168.txt 2 105 227 
wikipedia Solar_eclipse_of_July_5,_2168.txt 1 6 
moon Solar_eclipse_of_July_5,_2168.txt 1 23 
2763 Solar_eclipse_of_July_5,_2168.txt 1 195 
3 Solar_eclipse_of_July_5,_2168.txt 1 194 
7 Solar_eclipse_of_July_5,_2168.txt 3 95 111 248 
between Solar_eclipse_of_July_5,_2168.txt 2 25 263 
occurs Solar_eclipse_of_July_5,_2168.txt 3 20 49 69 
be Solar_eclipse_of_July_5,_2168.txt 3 101 221 242 
ends Solar_eclipse_of_July_5,_2168.txt 1 184 
turning Solar_eclipse_of_July_5,_2168.txt 1 64 
august Solar_eclipse_of_July_5,_2168.txt 1 164 
earths Solar_eclipse_of_July_5,_2168.txt 1 75 
seconds Solar_eclipse_of_July_5,_2168.txt 4 98 115 235 251 
hours Solar_eclipse_of_July_5,_2168.txt 1 144 
members Solar_eclipse_of_July_5,_2168.txt 1 196 
4000bc Solar_eclipse_of_July_5,_2168.txt 1 264 
path Solar_eclipse_of_July_5,_2168.txt 1 73 
by Solar_eclipse_of_July_5,_2168.txt 1 244 
on Solar_eclipse_of_July_5,_2168.txt 6 13 43 155 163 192 252 
39 Solar_eclipse_of_July_5,_2168.txt 1 246 
55 Solar_eclipse_of_July_5,_2168.txt 1 234 
1843 Solar_eclipse_of_July_5,_2168.txt 1 177 
of Solar_eclipse_of_July_5,_2168.txt 7 2 37 88 94 133 216 239 
region Solar_eclipse_of_July_5,_2168.txt 1 86 
larger Solar_eclipse_of_July_5,_2168.txt 1 56 
days Solar_eclipse_of_July_5,_2168.txt 1 142 
2168 Solar_eclipse_of_July_5,_2168.txt 2 5 16 
narrow Solar_eclipse_of_July_5,_2168.txt 1 72 
or Solar_eclipse_of_July_5,_2168.txt 1 32 
diameter Solar_eclipse_of_July_5,_2168.txt 1 54 
image Solar_eclipse_of_July_5,_2168.txt 1 36 
one Solar_eclipse_of_July_5,_2168.txt 1 202 
visible Solar_eclipse_of_July_5,_2168.txt 1 82 
references Solar_eclipse_of_July_5,_2168.txt 1 267 
occurrences Solar_eclipse_of_July_5,_2168.txt 1 122 
total Solar_eclipse_of_July_5,_2168.txt 4 8 46 172 224 
passes Solar_eclipse_of_July_5,_2168.txt 1 24 
from Solar_eclipse_of_July_5,_2168.txt 1 174 
area Solar_eclipse_of_July_5,_2168.txt 1 212 
contains Solar_eclipse_of_July_5,_2168.txt 1 160 
two Solar_eclipse_of_July_5,_2168.txt 1 121 
sunlight Solar_eclipse_of_July_5,_2168.txt 1 63 
next Solar_eclipse_of_July_5,_2168.txt 1 120 
1501 Solar_eclipse_of_July_5,_2168.txt 1 158 
totality Solar_eclipse_of_July_5,_2168.txt 2 68 240 
6 Solar_eclipse_of_July_5,_2168.txt 1 232 
partly Solar_eclipse_of_July_5,_2168.txt 1 33 
started Solar_eclipse_of_July_5,_2168.txt 1 150 
apparent Solar_eclipse_of_July_5,_2168.txt 1 53 
part Solar_eclipse_of_July_5,_2168.txt 1 132 
2186 Solar_eclipse_of_July_5,_2168.txt 1 255 
solar Solar_eclipse_of_July_5,_2168.txt 9 0 9 18 47 80 153 214 225 260 
obscuring Solar_eclipse_of_July_5,_2168.txt 1 34 
july Solar_eclipse_of_July_5,_2168.txt 5 3 14 193 228 253 
with Solar_eclipse_of_July_5,_2168.txt 3 77 118 151 
than Solar_eclipse_of_July_5,_2168.txt 1 57 
11 Solar_eclipse_of_July_5,_2168.txt 3 141 165 229 
wide Solar_eclipse_of_July_5,_2168.txt 1 90 
13 Solar_eclipse_of_July_5,_2168.txt 1 218 
1627 Solar_eclipse_of_July_5,_2168.txt 1 166 
17 Solar_eclipse_of_July_5,_2168.txt 1 157 
16 Solar_eclipse_of_July_5,_2168.txt 1 254 
this Solar_eclipse_of_July_5,_2168.txt 1 256 
18 Solar_eclipse_of_July_5,_2168.txt 1 139 
eclipse Solar_eclipse_of_July_5,_2168.txt 11 1 10 19 48 81 104 154 191 215 226 261 
maximum Solar_eclipse_of_July_5,_2168.txt 1 93 
will Solar_eclipse_of_July_5,_2168.txt 4 11 100 220 241 
column Solar_eclipse_of_July_5,_2168.txt 1 200 
eclipses Solar_eclipse_of_July_5,_2168.txt 3 124 162 173 
minutes Solar_eclipse_of_July_5,_2168.txt 4 96 112 233 249 
and Solar_eclipse_of_July_5,_2168.txt 5 27 113 171 205 265 
century Solar_eclipse_of_July_5,_2168.txt 1 108 
viewer Solar_eclipse_of_July_5,_2168.txt 1 42 
december Solar_eclipse_of_July_5,_2168.txt 2 168 175 
is Solar_eclipse_of_July_5,_2168.txt 3 55 130 257 
thus Solar_eclipse_of_July_5,_2168.txt 1 206 
it Solar_eclipse_of_July_5,_2168.txt 3 99 129 159 
surface Solar_eclipse_of_July_5,_2168.txt 1 76 
as Solar_eclipse_of_July_5,_2168.txt 2 116 188 
at Solar_eclipse_of_July_5,_2168.txt 3 185 231 247 
in Solar_eclipse_of_July_5,_2168.txt 3 70 197 208 
occur Solar_eclipse_of_July_5,_2168.txt 2 12 207 
containing Solar_eclipse_of_July_5,_2168.txt 1 145 
2132 Solar_eclipse_of_July_5,_2168.txt 1 219 
when Solar_eclipse_of_July_5,_2168.txt 2 21 50 
same Solar_eclipse_of_July_5,_2168.txt 2 199 210 
member Solar_eclipse_of_July_5,_2168.txt 2 186 245 
5 Solar_eclipse_of_July_5,_2168.txt 2 4 15 
which Solar_eclipse_of_July_5,_2168.txt 1 109 
9 Solar_eclipse_of_July_5,_2168.txt 1 169 
events Solar_eclipse_of_July_5,_2168.txt 1 147 
exeligmos Solar_eclipse_of_July_5,_2168.txt 1 203 
may Solar_eclipse_of_July_5,_2168.txt 1 156 
june Solar_eclipse_of_July_5,_2168.txt 1 217 
saros Solar_eclipse_of_July_5,_2168.txt 2 126 134 
71 Solar_eclipse_of_July_5,_2168.txt 2 146 187 
totally Solar_eclipse_of_July_5,_2168.txt 1 31 
a Solar_eclipse_of_July_5,_2168.txt 9 7 17 41 45 71 84 92 131 189 
well Solar_eclipse_of_July_5,_2168.txt 1 117 
lasted Solar_eclipse_of_July_5,_2168.txt 1 110 
the Solar_eclipse_of_July_5,_2168.txt 18 22 28 35 38 51 58 78 102 106 119 148 182 198 209 213 222 236 258 
geographic Solar_eclipse_of_July_5,_2168.txt 1 211 
