partial Solar_eclipse_of_July_20,_1925.txt 1 81 
occurs Solar_eclipse_of_July_20,_1925.txt 2 19 48 
1924-1928 Solar_eclipse_of_July_20,_1925.txt 1 128 
annularity Solar_eclipse_of_July_20,_1925.txt 1 93 
annular Solar_eclipse_of_July_20,_1925.txt 3 8 45 76 
french Solar_eclipse_of_July_20,_1925.txt 1 117 
hours Solar_eclipse_of_July_20,_1925.txt 1 146 
appears Solar_eclipse_of_July_20,_1925.txt 1 78 
on Solar_eclipse_of_July_20,_1925.txt 4 12 42 110 119 
hidden Solar_eclipse_of_July_20,_1925.txt 1 161 
of Solar_eclipse_of_July_20,_1925.txt 8 2 36 61 86 90 99 136 152 
region Solar_eclipse_of_July_20,_1925.txt 2 85 101 
days Solar_eclipse_of_July_20,_1925.txt 1 143 
islands Solar_eclipse_of_July_20,_1925.txt 1 106 
repeats Solar_eclipse_of_July_20,_1925.txt 1 139 
whole Solar_eclipse_of_July_20,_1925.txt 1 104 
or Solar_eclipse_of_July_20,_1925.txt 1 31 
diameter Solar_eclipse_of_July_20,_1925.txt 1 53 
image Solar_eclipse_of_July_20,_1925.txt 1 35 
visible Solar_eclipse_of_July_20,_1925.txt 1 95 
semester Solar_eclipse_of_July_20,_1925.txt 2 134 148 
references Solar_eclipse_of_July_20,_1925.txt 1 158 
177 Solar_eclipse_of_July_20,_1925.txt 1 142 
ring Solar_eclipse_of_July_20,_1925.txt 1 74 
passes Solar_eclipse_of_July_20,_1925.txt 1 23 
from Solar_eclipse_of_July_20,_1925.txt 1 96 
approximately Solar_eclipse_of_July_20,_1925.txt 1 140 
was Solar_eclipse_of_July_20,_1925.txt 1 94 
a Solar_eclipse_of_July_20,_1925.txt 6 16 40 80 84 133 147 
partly Solar_eclipse_of_July_20,_1925.txt 1 32 
apparent Solar_eclipse_of_July_20,_1925.txt 1 52 
occurred Solar_eclipse_of_July_20,_1925.txt 1 11 
part Solar_eclipse_of_July_20,_1925.txt 1 98 
solar Solar_eclipse_of_July_20,_1925.txt 6 0 9 17 46 126 137 
obscuring Solar_eclipse_of_July_20,_1925.txt 1 33 
july Solar_eclipse_of_July_20,_1925.txt 4 3 13 111 120 
than Solar_eclipse_of_July_20,_1925.txt 1 56 
wide Solar_eclipse_of_July_20,_1925.txt 1 92 
look Solar_eclipse_of_July_20,_1925.txt 1 70 
eclipse Solar_eclipse_of_July_20,_1925.txt 6 1 10 18 47 77 82 
polynesia Solar_eclipse_of_July_20,_1925.txt 1 118 
eclipses Solar_eclipse_of_July_20,_1925.txt 3 124 127 138 
and Solar_eclipse_of_July_20,_1925.txt 5 26 65 102 113 144 
viewer Solar_eclipse_of_July_20,_1925.txt 1 41 
is Solar_eclipse_of_July_20,_1925.txt 1 54 
an Solar_eclipse_of_July_20,_1925.txt 4 7 44 72 75 
as Solar_eclipse_of_July_20,_1925.txt 1 79 
northland Solar_eclipse_of_July_20,_1925.txt 1 100 
at Solar_eclipse_of_July_20,_1925.txt 1 149 
in Solar_eclipse_of_July_20,_1925.txt 3 107 116 132 
rapa Solar_eclipse_of_July_20,_1925.txt 1 114 
contents Solar_eclipse_of_July_20,_1925.txt 1 122 
when Solar_eclipse_of_July_20,_1925.txt 2 20 49 
member Solar_eclipse_of_July_20,_1925.txt 1 131 
causing Solar_eclipse_of_July_20,_1925.txt 1 66 
most Solar_eclipse_of_July_20,_1925.txt 1 60 
totally Solar_eclipse_of_July_20,_1925.txt 1 30 
zealand Solar_eclipse_of_July_20,_1925.txt 1 109 
annulus Solar_eclipse_of_July_20,_1925.txt 1 73 
light Solar_eclipse_of_July_20,_1925.txt 1 64 
orbit Solar_eclipse_of_July_20,_1925.txt 1 155 
the Solar_eclipse_of_July_20,_1925.txt 11 21 27 34 37 50 57 62 67 87 103 153 
