partial Solar_eclipse_of_September_22,_2006.txt 1 81 
of Solar_eclipse_of_September_22,_2006.txt 12 2 36 61 86 90 95 97 108 112 133 149 185 
region Solar_eclipse_of_September_22,_2006.txt 1 85 
days Solar_eclipse_of_September_22,_2006.txt 3 140 165 192 
repeats Solar_eclipse_of_September_22,_2006.txt 3 136 159 183 
or Solar_eclipse_of_September_22,_2006.txt 2 31 187 
diameter Solar_eclipse_of_September_22,_2006.txt 1 53 
image Solar_eclipse_of_September_22,_2006.txt 1 35 
semester Solar_eclipse_of_September_22,_2006.txt 2 131 145 
references Solar_eclipse_of_September_22,_2006.txt 1 193 
177 Solar_eclipse_of_September_22,_2006.txt 1 139 
ring Solar_eclipse_of_September_22,_2006.txt 1 74 
passes Solar_eclipse_of_September_22,_2006.txt 1 23 
addition Solar_eclipse_of_September_22,_2006.txt 1 179 
approximately Solar_eclipse_of_September_22,_2006.txt 1 137 
passed Solar_eclipse_of_September_22,_2006.txt 1 100 
1/5 Solar_eclipse_of_September_22,_2006.txt 1 184 
partly Solar_eclipse_of_September_22,_2006.txt 1 32 
suriname Solar_eclipse_of_September_22,_2006.txt 1 103 
that Solar_eclipse_of_September_22,_2006.txt 1 186 
apparent Solar_eclipse_of_September_22,_2006.txt 1 52 
occurred Solar_eclipse_of_September_22,_2006.txt 1 11 
photos Solar_eclipse_of_September_22,_2006.txt 1 198 
atlantic Solar_eclipse_of_September_22,_2006.txt 1 116 
external Solar_eclipse_of_September_22,_2006.txt 1 195 
solar Solar_eclipse_of_September_22,_2006.txt 6 0 9 17 46 123 134 
obscuring Solar_eclipse_of_September_22,_2006.txt 1 33 
than Solar_eclipse_of_September_22,_2006.txt 1 56 
wide Solar_eclipse_of_September_22,_2006.txt 1 92 
look Solar_eclipse_of_September_22,_2006.txt 1 70 
this Solar_eclipse_of_September_22,_2006.txt 1 98 
tip Solar_eclipse_of_September_22,_2006.txt 1 107 
eclipse Solar_eclipse_of_September_22,_2006.txt 7 1 10 18 47 77 82 99 
1387.94 Solar_eclipse_of_September_22,_2006.txt 1 191 
guyana Solar_eclipse_of_September_22,_2006.txt 1 102 
eclipses Solar_eclipse_of_September_22,_2006.txt 5 121 124 135 160 170 
and Solar_eclipse_of_September_22,_2006.txt 5 26 65 110 114 141 
links Solar_eclipse_of_September_22,_2006.txt 1 196 
viewer Solar_eclipse_of_September_22,_2006.txt 1 41 
is Solar_eclipse_of_September_22,_2006.txt 1 54 
an Solar_eclipse_of_September_22,_2006.txt 4 7 44 72 75 
as Solar_eclipse_of_September_22,_2006.txt 1 79 
at Solar_eclipse_of_September_22,_2006.txt 1 146 
in Solar_eclipse_of_September_22,_2006.txt 3 129 172 178 
occur Solar_eclipse_of_September_22,_2006.txt 1 171 
contents Solar_eclipse_of_September_22,_2006.txt 1 117 
when Solar_eclipse_of_September_22,_2006.txt 2 20 49 
same Solar_eclipse_of_September_22,_2006.txt 1 175 
member Solar_eclipse_of_September_22,_2006.txt 1 128 
causing Solar_eclipse_of_September_22,_2006.txt 1 66 
5 Solar_eclipse_of_September_22,_2006.txt 1 168 
3.8 Solar_eclipse_of_September_22,_2006.txt 1 189 
metonic Solar_eclipse_of_September_22,_2006.txt 2 153 157 
southern Solar_eclipse_of_September_22,_2006.txt 1 115 
most Solar_eclipse_of_September_22,_2006.txt 1 60 
amap Solar_eclipse_of_September_22,_2006.txt 1 111 
date Solar_eclipse_of_September_22,_2006.txt 1 177 
totally Solar_eclipse_of_September_22,_2006.txt 1 30 
a Solar_eclipse_of_September_22,_2006.txt 6 16 40 80 84 130 144 
annulus Solar_eclipse_of_September_22,_2006.txt 1 73 
light Solar_eclipse_of_September_22,_2006.txt 1 64 
orbit Solar_eclipse_of_September_22,_2006.txt 1 152 
2006 Solar_eclipse_of_September_22,_2006.txt 2 5 15 
blocking Solar_eclipse_of_September_22,_2006.txt 1 59 
octon Solar_eclipse_of_September_22,_2006.txt 1 181 
the Solar_eclipse_of_September_22,_2006.txt 14 21 27 34 37 50 57 62 67 87 93 150 156 174 180 
