just Solar_eclipse_of_October_3,_1986.txt 1 73 
tapered Solar_eclipse_of_October_3,_1986.txt 1 92 
octon Solar_eclipse_of_October_3,_1986.txt 1 195 
days Solar_eclipse_of_October_3,_1986.txt 3 154 179 206 
narrow Solar_eclipse_of_October_3,_1986.txt 1 91 
or Solar_eclipse_of_October_3,_1986.txt 2 40 201 
visible Solar_eclipse_of_October_3,_1986.txt 1 95 
semester Solar_eclipse_of_October_3,_1986.txt 2 145 159 
references Solar_eclipse_of_October_3,_1986.txt 1 207 
strip Solar_eclipse_of_October_3,_1986.txt 1 100 
177 Solar_eclipse_of_October_3,_1986.txt 1 153 
total Solar_eclipse_of_October_3,_1986.txt 1 8 
1986 Solar_eclipse_of_October_3,_1986.txt 2 5 15 
from Solar_eclipse_of_October_3,_1986.txt 1 97 
area Solar_eclipse_of_October_3,_1986.txt 1 68 
addition Solar_eclipse_of_October_3,_1986.txt 1 193 
approximately Solar_eclipse_of_October_3,_1986.txt 1 151 
totality Solar_eclipse_of_October_3,_1986.txt 3 34 54 55 
6 Solar_eclipse_of_October_3,_1986.txt 1 113 
was Solar_eclipse_of_October_3,_1986.txt 4 17 89 111 116 
1/5 Solar_eclipse_of_October_3,_1986.txt 1 198 
that Solar_eclipse_of_October_3,_1986.txt 3 46 130 200 
occurred Solar_eclipse_of_October_3,_1986.txt 2 11 56 
but Solar_eclipse_of_October_3,_1986.txt 1 32 
atlantic Solar_eclipse_of_October_3,_1986.txt 1 71 
external Solar_eclipse_of_October_3,_1986.txt 1 209 
solar Solar_eclipse_of_October_3,_1986.txt 5 0 9 109 136 148 
last Solar_eclipse_of_October_3,_1986.txt 1 118 
with Solar_eclipse_of_October_3,_1986.txt 1 33 
hidden Solar_eclipse_of_October_3,_1986.txt 1 213 
october Solar_eclipse_of_October_3,_1986.txt 2 3 13 
this Solar_eclipse_of_October_3,_1986.txt 1 114 
eclipse Solar_eclipse_of_October_3,_1986.txt 8 1 10 23 45 107 115 120 128 
maximum Solar_eclipse_of_October_3,_1986.txt 1 106 
definition Solar_eclipse_of_October_3,_1986.txt 1 52 
1387.94 Solar_eclipse_of_October_3,_1986.txt 1 205 
thin Solar_eclipse_of_October_3,_1986.txt 1 99 
eclipses Solar_eclipse_of_October_3,_1986.txt 5 134 137 149 174 184 
and Solar_eclipse_of_October_3,_1986.txt 4 94 103 124 155 
links Solar_eclipse_of_October_3,_1986.txt 1 210 
is Solar_eclipse_of_October_3,_1986.txt 1 25 
0.2 Solar_eclipse_of_October_3,_1986.txt 1 64 
it Solar_eclipse_of_October_3,_1986.txt 1 16 
surface Solar_eclipse_of_October_3,_1986.txt 1 85 
an Solar_eclipse_of_October_3,_1986.txt 2 22 67 
sometime Solar_eclipse_of_October_3,_1986.txt 1 42 
at Solar_eclipse_of_October_3,_1986.txt 5 36 41 63 105 160 
in Solar_eclipse_of_October_3,_1986.txt 5 66 69 143 186 192 
occur Solar_eclipse_of_October_3,_1986.txt 1 185 
contents Solar_eclipse_of_October_3,_1986.txt 1 132 
end Solar_eclipse_of_October_3,_1986.txt 1 39 
hybrid Solar_eclipse_of_October_3,_1986.txt 2 19 127 
same Solar_eclipse_of_October_3,_1986.txt 1 189 
member Solar_eclipse_of_October_3,_1986.txt 1 142 
5 Solar_eclipse_of_October_3,_1986.txt 1 182 
which Solar_eclipse_of_October_3,_1986.txt 1 24 
horse-shoe Solar_eclipse_of_October_3,_1986.txt 1 93 
iceland Solar_eclipse_of_October_3,_1986.txt 1 102 
southern Solar_eclipse_of_October_3,_1986.txt 1 77 
most Solar_eclipse_of_October_3,_1986.txt 1 28 
saros Solar_eclipse_of_October_3,_1986.txt 2 122 131 
date Solar_eclipse_of_October_3,_1986.txt 1 191 
cycle Solar_eclipse_of_October_3,_1986.txt 1 168 
a Solar_eclipse_of_October_3,_1986.txt 7 7 18 58 90 98 144 158 
short Solar_eclipse_of_October_3,_1986.txt 1 60 
calculated Solar_eclipse_of_October_3,_1986.txt 1 62 
orbit Solar_eclipse_of_October_3,_1986.txt 1 166 
ocean Solar_eclipse_of_October_3,_1986.txt 1 72 
metonic Solar_eclipse_of_October_3,_1986.txt 2 167 171 
time Solar_eclipse_of_October_3,_1986.txt 1 61 
every Solar_eclipse_of_October_3,_1986.txt 3 152 175 202 
the Solar_eclipse_of_October_3,_1986.txt 15 37 44 51 70 76 81 84 87 108 117 125 164 170 188 194 
normally Solar_eclipse_of_October_3,_1986.txt 1 21 
