limited Solar_eclipse_of_August_21,_2017.txt 1 3824 
very Solar_eclipse_of_August_21,_2017.txt 1 1165 
adjacent Solar_eclipse_of_August_21,_2017.txt 1 1432 
whinnying Solar_eclipse_of_August_21,_2017.txt 1 2106 
widespread Solar_eclipse_of_August_21,_2017.txt 1 3202 
pre-approved Solar_eclipse_of_August_21,_2017.txt 1 4122 
after Solar_eclipse_of_August_21,_2017.txt 10 467 528 2110 2150 2584 3209 3285 3442 3744 4387 
damaged Solar_eclipse_of_August_21,_2017.txt 4 2697 2766 2866 2908 
lab Solar_eclipse_of_August_21,_2017.txt 1 2280 
jumping Solar_eclipse_of_August_21,_2017.txt 1 2109 
saros Solar_eclipse_of_August_21,_2017.txt 2 4778 4789 
president Solar_eclipse_of_August_21,_2017.txt 3 1972 1990 2037 
effective Solar_eclipse_of_August_21,_2017.txt 1 2209 
metonic Solar_eclipse_of_August_21,_2017.txt 2 4879 4883 
order Solar_eclipse_of_August_21,_2017.txt 1 3328 
blind Solar_eclipse_of_August_21,_2017.txt 2 2033 2710 
office Solar_eclipse_of_August_21,_2017.txt 1 3003 
over Solar_eclipse_of_August_21,_2017.txt 14 192 806 870 1170 1231 1743 1924 2156 2184 3193 3659 3854 4158 4741 
87.67167w Solar_eclipse_of_August_21,_2017.txt 1 597 
before Solar_eclipse_of_August_21,_2017.txt 12 306 503 1227 1521 1582 1661 2001 2119 2147 3373 3847 4049 
simpsonville Solar_eclipse_of_August_21,_2017.txt 1 104 
unforeseen Solar_eclipse_of_August_21,_2017.txt 1 2069 
expectations Solar_eclipse_of_August_21,_2017.txt 1 4058 
production Solar_eclipse_of_August_21,_2017.txt 1 1752 
400 Solar_eclipse_of_August_21,_2017.txt 2 1178 3273 
weeks Solar_eclipse_of_August_21,_2017.txt 1 2583 
then Solar_eclipse_of_August_21,_2017.txt 2 478 4351 
them Solar_eclipse_of_August_21,_2017.txt 2 2519 3505 
iowa Solar_eclipse_of_August_21,_2017.txt 1 446 
corridor Solar_eclipse_of_August_21,_2017.txt 1 427 
utility-scale Solar_eclipse_of_August_21,_2017.txt 1 4401 
commemorate Solar_eclipse_of_August_21,_2017.txt 1 4573 
band Solar_eclipse_of_August_21,_2017.txt 1 30 
effects Solar_eclipse_of_August_21,_2017.txt 1 2429 
they Solar_eclipse_of_August_21,_2017.txt 3 1692 2029 4085 
schools Solar_eclipse_of_August_21,_2017.txt 1 1801 
township Solar_eclipse_of_August_21,_2017.txt 1 1066 
mimicking Solar_eclipse_of_August_21,_2017.txt 1 4417 
tourism Solar_eclipse_of_August_21,_2017.txt 1 2980 
netherlands Solar_eclipse_of_August_21,_2017.txt 1 1513 
brightness Solar_eclipse_of_August_21,_2017.txt 1 2877 
each Solar_eclipse_of_August_21,_2017.txt 1 4752 
queued Solar_eclipse_of_August_21,_2017.txt 1 3278 
lasting Solar_eclipse_of_August_21,_2017.txt 1 4892 
telescope Solar_eclipse_of_August_21,_2017.txt 2 1787 1792 
enthusiasts Solar_eclipse_of_August_21,_2017.txt 1 916 
series Solar_eclipse_of_August_21,_2017.txt 7 1724 4757 4779 4804 4846 4880 4884 
hosted Solar_eclipse_of_August_21,_2017.txt 1 1731 
hoteliers Solar_eclipse_of_August_21,_2017.txt 1 3115 
laboratory Solar_eclipse_of_August_21,_2017.txt 1 2343 
dawn Solar_eclipse_of_August_21,_2017.txt 1 3374 
truman Solar_eclipse_of_August_21,_2017.txt 1 1978 
message Solar_eclipse_of_August_21,_2017.txt 2 2933 4191 
by Solar_eclipse_of_August_21,_2017.txt 23 19 271 734 1309 1668 1732 2340 2690 2769 2867 2909 3833 3950 4064 4344 4354 4409 4502 4630 4660 4665 4674 4678 
driving Solar_eclipse_of_August_21,_2017.txt 1 4223 
motel Solar_eclipse_of_August_21,_2017.txt 1 3027 
cameras Solar_eclipse_of_August_21,_2017.txt 6 1633 1645 2827 2842 2904 4190 
collaborated Solar_eclipse_of_August_21,_2017.txt 1 4444 
venezuela Solar_eclipse_of_August_21,_2017.txt 1 1446 
independence Solar_eclipse_of_August_21,_2017.txt 1 1001 
interchange Solar_eclipse_of_August_21,_2017.txt 1 3982 
standard Solar_eclipse_of_August_21,_2017.txt 1 2307 
estimate Solar_eclipse_of_August_21,_2017.txt 2 3794 3816 
telescopes Solar_eclipse_of_August_21,_2017.txt 1 1910 
created Solar_eclipse_of_August_21,_2017.txt 2 3949 4673 
iss Solar_eclipse_of_August_21,_2017.txt 1 721 
isp Solar_eclipse_of_August_21,_2017.txt 2 3413 3479 
days Solar_eclipse_of_August_21,_2017.txt 8 1226 3195 3844 3846 4765 4797 4891 4918 
commented Solar_eclipse_of_August_21,_2017.txt 1 4104 
filter Solar_eclipse_of_August_21,_2017.txt 1 2906 
iso Solar_eclipse_of_August_21,_2017.txt 3 2305 2329 2490 
uses Solar_eclipse_of_August_21,_2017.txt 1 4603 
onto Solar_eclipse_of_August_21,_2017.txt 2 2652 4159 
already Solar_eclipse_of_August_21,_2017.txt 1 4019 
another Solar_eclipse_of_August_21,_2017.txt 4 2344 2871 2896 3916 
177 Solar_eclipse_of_August_21,_2017.txt 1 4764 
mercury Solar_eclipse_of_August_21,_2017.txt 1 794 
timothy Solar_eclipse_of_August_21,_2017.txt 1 1232 
service Solar_eclipse_of_August_21,_2017.txt 1 3020 
similarly Solar_eclipse_of_August_21,_2017.txt 1 2254 
approximately Solar_eclipse_of_August_21,_2017.txt 2 2780 4762 
twenties Solar_eclipse_of_August_21,_2017.txt 1 2762 
witnessing Solar_eclipse_of_August_21,_2017.txt 1 1147 
ranging Solar_eclipse_of_August_21,_2017.txt 1 1363 
enhancing Solar_eclipse_of_August_21,_2017.txt 1 311 
took Solar_eclipse_of_August_21,_2017.txt 5 317 332 3534 3896 4727 
western Solar_eclipse_of_August_21,_2017.txt 6 544 687 1349 1573 4267 4447 
honolulu Solar_eclipse_of_August_21,_2017.txt 1 257 
toronto Solar_eclipse_of_August_21,_2017.txt 2 1391 2061 
princeton Solar_eclipse_of_August_21,_2017.txt 1 611 
tree Solar_eclipse_of_August_21,_2017.txt 1 4679 
likely Solar_eclipse_of_August_21,_2017.txt 2 1885 2924 
project Solar_eclipse_of_August_21,_2017.txt 3 1793 1797 3606 
spectrum Solar_eclipse_of_August_21,_2017.txt 1 2410 
500,000 Solar_eclipse_of_August_21,_2017.txt 2 3064 3877 
seen Solar_eclipse_of_August_21,_2017.txt 11 460 520 653 724 831 1580 1595 3382 3957 4003 4613 
1970 Solar_eclipse_of_August_21,_2017.txt 2 632 878 
contents Solar_eclipse_of_August_21,_2017.txt 1 410 
traditionally Solar_eclipse_of_August_21,_2017.txt 1 3712 
snow Solar_eclipse_of_August_21,_2017.txt 1 4236 
1962 Solar_eclipse_of_August_21,_2017.txt 1 2703 
though Solar_eclipse_of_August_21,_2017.txt 1 3634 
iceland Solar_eclipse_of_August_21,_2017.txt 1 1488 
victoria Solar_eclipse_of_August_21,_2017.txt 1 1368 
regular Solar_eclipse_of_August_21,_2017.txt 1 3122 
germany Solar_eclipse_of_August_21,_2017.txt 2 1528 4520 
doj Solar_eclipse_of_August_21,_2017.txt 2 3145 3175 
mitigate Solar_eclipse_of_August_21,_2017.txt 1 4429 
episode Solar_eclipse_of_August_21,_2017.txt 1 1739 
observation Solar_eclipse_of_August_21,_2017.txt 1 642 
metal Solar_eclipse_of_August_21,_2017.txt 1 2244 
points Solar_eclipse_of_August_21,_2017.txt 1 3476 
came Solar_eclipse_of_August_21,_2017.txt 1 2089 
sanctuary Solar_eclipse_of_August_21,_2017.txt 1 1780 
infrared Solar_eclipse_of_August_21,_2017.txt 2 2223 2266 
supplied Solar_eclipse_of_August_21,_2017.txt 1 4481 
7.4 Solar_eclipse_of_August_21,_2017.txt 1 3225 
nevada Solar_eclipse_of_August_21,_2017.txt 2 4473 4492 
8970w Solar_eclipse_of_August_21,_2017.txt 1 572 
delays Solar_eclipse_of_August_21,_2017.txt 1 4253 
touched Solar_eclipse_of_August_21,_2017.txt 1 156 
do Solar_eclipse_of_August_21,_2017.txt 1 4315 
settlements Solar_eclipse_of_August_21,_2017.txt 2 3151 3164 
10 Solar_eclipse_of_August_21,_2017.txt 4 385 796 3158 3899 
watch Solar_eclipse_of_August_21,_2017.txt 1 4163 
13 Solar_eclipse_of_August_21,_2017.txt 1 1016 
coast Solar_eclipse_of_August_21,_2017.txt 6 207 242 476 535 557 4479 
amazon Solar_eclipse_of_August_21,_2017.txt 2 2467 2495 
wedding Solar_eclipse_of_August_21,_2017.txt 1 327 
dr Solar_eclipse_of_August_21,_2017.txt 1 2627 
comply Solar_eclipse_of_August_21,_2017.txt 1 2507 
14 Solar_eclipse_of_August_21,_2017.txt 3 157 2675 4525 
girardeau Solar_eclipse_of_August_21,_2017.txt 2 1088 1121 
beads Solar_eclipse_of_August_21,_2017.txt 1 4638 
traverses Solar_eclipse_of_August_21,_2017.txt 1 3321 
countries Solar_eclipse_of_August_21,_2017.txt 1 1439 
officially Solar_eclipse_of_August_21,_2017.txt 1 3757 
twice Solar_eclipse_of_August_21,_2017.txt 1 1201 
bad Solar_eclipse_of_August_21,_2017.txt 1 3728 
disaster Solar_eclipse_of_August_21,_2017.txt 1 2984 
observes Solar_eclipse_of_August_21,_2017.txt 1 1271 
sensitivity Solar_eclipse_of_August_21,_2017.txt 2 2548 2604 
observed Solar_eclipse_of_August_21,_2017.txt 2 2128 3698 
result Solar_eclipse_of_August_21,_2017.txt 1 3670 
said Solar_eclipse_of_August_21,_2017.txt 2 2301 3007 
capacity Solar_eclipse_of_August_21,_2017.txt 1 4536 
wikipedia Solar_eclipse_of_August_21,_2017.txt 1 6 
stamps Solar_eclipse_of_August_21,_2017.txt 1 4562 
finger Solar_eclipse_of_August_21,_2017.txt 1 4580 
we Solar_eclipse_of_August_21,_2017.txt 1 3724 
however Solar_eclipse_of_August_21,_2017.txt 1 1195 
tripled Solar_eclipse_of_August_21,_2017.txt 1 3764 
wear Solar_eclipse_of_August_21,_2017.txt 1 2041 
extent Solar_eclipse_of_August_21,_2017.txt 1 590 
news Solar_eclipse_of_August_21,_2017.txt 5 1715 2422 3499 3943 4102 
packages Solar_eclipse_of_August_21,_2017.txt 1 1913 
nunavut Solar_eclipse_of_August_21,_2017.txt 2 57 1376 
received Solar_eclipse_of_August_21,_2017.txt 3 2457 3270 4474 
accident Solar_eclipse_of_August_21,_2017.txt 1 3923 
country Solar_eclipse_of_August_21,_2017.txt 3 1194 1546 2725 
cup Solar_eclipse_of_August_21,_2017.txt 1 4074 
against Solar_eclipse_of_August_21,_2017.txt 1 2326 
planned Solar_eclipse_of_August_21,_2017.txt 2 330 2955 
distinction Solar_eclipse_of_August_21,_2017.txt 1 1145 
southeastern Solar_eclipse_of_August_21,_2017.txt 1 622 
lenses Solar_eclipse_of_August_21,_2017.txt 2 708 2829 
eyesight Solar_eclipse_of_August_21,_2017.txt 1 2699 
hinode Solar_eclipse_of_August_21,_2017.txt 1 1955 
appeared Solar_eclipse_of_August_21,_2017.txt 1 1975 
canyon Solar_eclipse_of_August_21,_2017.txt 1 3629 
250 Solar_eclipse_of_August_21,_2017.txt 1 1180 
three Solar_eclipse_of_August_21,_2017.txt 4 1225 3535 4095 4287 
been Solar_eclipse_of_August_21,_2017.txt 4 121 143 2978 3050 
much Solar_eclipse_of_August_21,_2017.txt 1 656 
expected Solar_eclipse_of_August_21,_2017.txt 5 342 3244 3342 4381 4416 
dozens Solar_eclipse_of_August_21,_2017.txt 1 2443 
website Solar_eclipse_of_August_21,_2017.txt 1 2476 
life Solar_eclipse_of_August_21,_2017.txt 2 2082 2717 
eastern Solar_eclipse_of_August_21,_2017.txt 6 90 548 885 1879 3322 4746 
aviation Solar_eclipse_of_August_21,_2017.txt 1 1386 
high-altitude Solar_eclipse_of_August_21,_2017.txt 2 1647 1807 
160 Solar_eclipse_of_August_21,_2017.txt 2 3039 3903 
east Solar_eclipse_of_August_21,_2017.txt 2 556 1550 
38 Solar_eclipse_of_August_21,_2017.txt 1 4532 
launches Solar_eclipse_of_August_21,_2017.txt 1 1827 
kentucky Solar_eclipse_of_August_21,_2017.txt 9 449 499 605 1092 1131 1283 1290 4238 4268 
air Solar_eclipse_of_August_21,_2017.txt 1 1681 
near Solar_eclipse_of_August_21,_2017.txt 6 600 1222 1848 2950 2996 3624 
stopping Solar_eclipse_of_August_21,_2017.txt 1 4209 
reconnaissance Solar_eclipse_of_August_21,_2017.txt 1 1935 
leaves Solar_eclipse_of_August_21,_2017.txt 1 4680 
launched Solar_eclipse_of_August_21,_2017.txt 1 1837 
mistake Solar_eclipse_of_August_21,_2017.txt 2 2730 3729 
seven Solar_eclipse_of_August_21,_2017.txt 3 1106 1153 2182 
metropolitan Solar_eclipse_of_August_21,_2017.txt 2 2437 3359 
mexico Solar_eclipse_of_August_21,_2017.txt 2 1404 1420 
ip Solar_eclipse_of_August_21,_2017.txt 1 2414 
is Solar_eclipse_of_August_21,_2017.txt 11 109 1893 2274 2415 2423 2529 2857 4366 4627 4657 4785 
it Solar_eclipse_of_August_21,_2017.txt 17 51 74 84 457 479 714 927 991 1872 2168 3502 3533 3895 4167 4484 4738 4825 
i-75 Solar_eclipse_of_August_21,_2017.txt 1 4025 
in Solar_eclipse_of_August_21,_2017.txt 112 58 69 78 82 103 147 256 287 294 377 400 463 543 552 577 607 645 699 716 739 938 1002 1061 1064 1118 1125 1135 1152 1246 1263 1274 1288 1298 1348 1367 1374 1377 1390 1428 1458 1462 1471 1479 1487 1505 1527 1540 1547 1566 1569 1745 1755 1775 1921 1930 1994 2078 2130 2193 2249 2436 2492 2564 2608 2632 2667 2671 2743 2760 2818 2850 2939 2985 3031 3057 3109 3160 3236 3254 3259 3289 3308 3327 3336 3392 3556 3600 3731 3747 3784 3798 3925 3939 3958 3974 4004 4182 4196 4237 4271 4336 4375 4393 4441 4517 4519 4563 4614 4733 4754 4898 4904 
if Solar_eclipse_of_August_21,_2017.txt 3 2637 3054 4233 
confirmed Solar_eclipse_of_August_21,_2017.txt 1 2681 
severity Solar_eclipse_of_August_21,_2017.txt 1 2614 
make Solar_eclipse_of_August_21,_2017.txt 3 1022 2728 3595 
amount Solar_eclipse_of_August_21,_2017.txt 3 2889 4462 4500 
several Solar_eclipse_of_August_21,_2017.txt 5 762 1448 2582 2622 3052 
tomososki Solar_eclipse_of_August_21,_2017.txt 1 2695 
published Solar_eclipse_of_August_21,_2017.txt 1 2365 
counterparts Solar_eclipse_of_August_21,_2017.txt 1 3335 
cycle Solar_eclipse_of_August_21,_2017.txt 1 4790 
shortly Solar_eclipse_of_August_21,_2017.txt 2 466 527 
1979 Solar_eclipse_of_August_21,_2017.txt 3 137 847 902 
youre Solar_eclipse_of_August_21,_2017.txt 2 2638 2643 
ocean Solar_eclipse_of_August_21,_2017.txt 1 194 
contact Solar_eclipse_of_August_21,_2017.txt 2 102 1828 
greatest Solar_eclipse_of_August_21,_2017.txt 1 589 
the Solar_eclipse_of_August_21,_2017.txt 392 7 15 20 33 40 43 79 89 92 99 124 135 148 152 160 163 169 172 181 184 193 197 205 220 232 239 283 288 312 321 337 344 352 374 392 397 413 436 464 533 553 558 588 601 614 621 626 638 641 646 655 660 674 678 711 720 728 751 770 777 780 787 807 813 820 838 842 860 871 880 884 891 896 905 919 924 930 939 947 952 955 960 968 974 987 992 997 1007 1012 1019 1030 1033 1036 1041 1044 1054 1057 1082 1108 1136 1139 1144 1155 1171 1174 1183 1187 1193 1212 1228 1242 1261 1272 1338 1344 1359 1384 1397 1400 1421 1431 1437 1459 1464 1480 1494 1499 1506 1509 1512 1522 1525 1529 1532 1541 1545 1552 1556 1558 1591 1597 1610 1636 1639 1653 1680 1684 1701 1707 1719 1722 1741 1746 1750 1770 1773 1778 1784 1790 1794 1810 1813 1839 1842 1860 1898 1915 1922 1925 1928 1932 1937 1941 1945 1959 1967 1977 1986 1995 1999 2006 2013 2035 2045 2064 2071 2111 2137 2151 2162 2169 2176 2194 2199 2230 2238 2247 2259 2269 2282 2296 2304 2323 2334 2355 2368 2377 2400 2405 2413 2420 2433 2534 2559 2565 2569 2571 2574 2585 2613 2641 2647 2650 2653 2659 2668 2691 2713 2719 2724 2729 2737 2746 2750 2756 2772 2783 2793 2801 2805 2833 2841 2855 2861 2868 2874 2879 2882 2888 2894 2910 2915 2917 2945 2951 2960 2986 3045 3059 3082 3088 3105 3121 3138 3140 3161 3168 3174 3185 3194 3198 3206 3210 3231 3234 3248 3286 3292 3296 3299 3304 3310 3345 3352 3355 3362 3365 3368 3390 3409 3428 3443 3467 3478 3488 3510 3521 3543 3557 3560 3562 3587 3617 3625 3652 3655 3707 3710 3745 3752 3755 3777 3781 3848 3864 3873 3941 3946 3951 3954 3962 3979 3988 3995 3999 4011 4018 4024 4033 4043 4050 4065 4069 4079 4101 4105 4126 4129 4131 4150 4160 4164 4170 4177 4185 4197 4200 4212 4241 4254 4266 4280 4307 4317 4330 4333 4358 4388 4418 4430 4437 4450 4486 4489 4499 4509 4551 4554 4568 4574 4584 4591 4594 4607 4625 4631 4655 4661 4671 4684 4703 4716 4734 4775 4803 4845 4859 4882 4900 4906 4927 4939 
left Solar_eclipse_of_August_21,_2017.txt 3 798 803 3372 
just Solar_eclipse_of_August_21,_2017.txt 7 582 671 1070 1536 1581 3490 4645 
farther Solar_eclipse_of_August_21,_2017.txt 1 3552 
yet Solar_eclipse_of_August_21,_2017.txt 1 3695 
previous Solar_eclipse_of_August_21,_2017.txt 1 2177 
enters Solar_eclipse_of_August_21,_2017.txt 1 2893 
photographer Solar_eclipse_of_August_21,_2017.txt 1 1287 
had Solar_eclipse_of_August_21,_2017.txt 16 120 139 165 416 2055 2455 2517 3049 3218 3463 3592 3693 3937 4002 4016 4054 
countrys Solar_eclipse_of_August_21,_2017.txt 1 998 
spread Solar_eclipse_of_August_21,_2017.txt 1 3191 
board Solar_eclipse_of_August_21,_2017.txt 1 2934 
technological Solar_eclipse_of_August_21,_2017.txt 1 1296 
has Solar_eclipse_of_August_21,_2017.txt 1 3640 
gave Solar_eclipse_of_August_21,_2017.txt 1 2512 
municipal Solar_eclipse_of_August_21,_2017.txt 1 3268 
boasted Solar_eclipse_of_August_21,_2017.txt 1 2010 
progressed Solar_eclipse_of_August_21,_2017.txt 1 480 
131,000 Solar_eclipse_of_August_21,_2017.txt 1 3861 
cape Solar_eclipse_of_August_21,_2017.txt 2 1087 1120 
shadow Solar_eclipse_of_August_21,_2017.txt 3 199 4309 4359 
burns Solar_eclipse_of_August_21,_2017.txt 1 2561 
occurring Solar_eclipse_of_August_21,_2017.txt 1 4707 
55 Solar_eclipse_of_August_21,_2017.txt 2 3576 3972 
54 Solar_eclipse_of_August_21,_2017.txt 1 867 
51 Solar_eclipse_of_August_21,_2017.txt 1 801 
50 Solar_eclipse_of_August_21,_2017.txt 1 1806 
arrivals Solar_eclipse_of_August_21,_2017.txt 1 3832 
night Solar_eclipse_of_August_21,_2017.txt 1 2146 
portuguese Solar_eclipse_of_August_21,_2017.txt 1 1495 
right Solar_eclipse_of_August_21,_2017.txt 2 788 793 
crowd Solar_eclipse_of_August_21,_2017.txt 2 107 1270 
people Solar_eclipse_of_August_21,_2017.txt 7 1257 1312 2964 3227 3242 3797 4229 
landfall Solar_eclipse_of_August_21,_2017.txt 2 984 1023 
donald Solar_eclipse_of_August_21,_2017.txt 1 1973 
sure Solar_eclipse_of_August_21,_2017.txt 2 4110 4135 
jupiter Solar_eclipse_of_August_21,_2017.txt 1 800 
short-term Solar_eclipse_of_August_21,_2017.txt 1 2523 
orbiter Solar_eclipse_of_August_21,_2017.txt 1 1936 
for Solar_eclipse_of_August_21,_2017.txt 33 349 365 521 753 943 1317 1895 2207 2227 2500 2621 2712 2776 2957 2959 2974 3019 3035 3133 3279 3303 3457 3581 3686 3780 3842 3987 4032 4408 4436 4697 4702 4715 
fox Solar_eclipse_of_August_21,_2017.txt 1 1714 
cne Solar_eclipse_of_August_21,_2017.txt 1 1398 
cnn Solar_eclipse_of_August_21,_2017.txt 1 1713 
beating Solar_eclipse_of_August_21,_2017.txt 1 2175 
hst Solar_eclipse_of_August_21,_2017.txt 2 268 277 
dollars Solar_eclipse_of_August_21,_2017.txt 1 2929 
months Solar_eclipse_of_August_21,_2017.txt 4 2195 2623 3053 4440 
plus Solar_eclipse_of_August_21,_2017.txt 1 3835 
afternoon Solar_eclipse_of_August_21,_2017.txt 1 4046 
logistical Solar_eclipse_of_August_21,_2017.txt 1 339 
islands Solar_eclipse_of_August_21,_2017.txt 2 1408 1423 
slightly Solar_eclipse_of_August_21,_2017.txt 1 775 
correspondents Solar_eclipse_of_August_21,_2017.txt 1 1704 
amounted Solar_eclipse_of_August_21,_2017.txt 1 2925 
down Solar_eclipse_of_August_21,_2017.txt 1 1876 
often Solar_eclipse_of_August_21,_2017.txt 1 2846 
flying Solar_eclipse_of_August_21,_2017.txt 1 2129 
nova Solar_eclipse_of_August_21,_2017.txt 2 1725 1756 
width Solar_eclipse_of_August_21,_2017.txt 2 591 1360 
resulted Solar_eclipse_of_August_21,_2017.txt 1 4270 
was Solar_eclipse_of_August_21,_2017.txt 60 22 52 75 85 176 328 358 422 458 519 564 592 613 652 715 722 773 783 795 812 830 959 1018 1306 1356 1415 1455 1467 1477 1534 1560 1579 1851 1862 1964 2346 2688 2790 2796 2838 2873 2899 2991 3009 3189 3252 3503 3564 3574 3813 3911 4042 4124 4245 4340 4405 4425 4596 4739 4826 
offer Solar_eclipse_of_August_21,_2017.txt 1 1621 
attempted Solar_eclipse_of_August_21,_2017.txt 1 4327 
differences Solar_eclipse_of_August_21,_2017.txt 1 2369 
peninsula Solar_eclipse_of_August_21,_2017.txt 2 94 1461 
heat Solar_eclipse_of_August_21,_2017.txt 3 2875 2911 4582 
melania Solar_eclipse_of_August_21,_2017.txt 1 1983 
