kuril Solar_eclipse_of_July_20,_1963.txt 1 101 
moons Solar_eclipse_of_July_20,_1963.txt 3 52 145 293 
mph Solar_eclipse_of_July_20,_1963.txt 1 149 
game Solar_eclipse_of_July_20,_1963.txt 1 239 
12 Solar_eclipse_of_July_20,_1963.txt 1 393 
every Solar_eclipse_of_July_20,_1963.txt 2 280 309 
longest Solar_eclipse_of_July_20,_1963.txt 1 376 
shadow Solar_eclipse_of_July_20,_1963.txt 1 146 
now Solar_eclipse_of_July_20,_1963.txt 1 106 
event Solar_eclipse_of_July_20,_1963.txt 1 345 
day Solar_eclipse_of_July_20,_1963.txt 2 67 199 
claiborne Solar_eclipse_of_July_20,_1963.txt 1 243 
kilometres Solar_eclipse_of_July_20,_1963.txt 1 91 
edit Solar_eclipse_of_July_20,_1963.txt 6 166 263 268 297 396 398 
h Solar_eclipse_of_July_20,_1963.txt 1 127 
notes Solar_eclipse_of_July_20,_1963.txt 1 395 
semester Solar_eclipse_of_July_20,_1963.txt 2 273 287 
across Solar_eclipse_of_July_20,_1963.txt 1 76 
each Solar_eclipse_of_July_20,_1963.txt 1 269 
popular Solar_eclipse_of_July_20,_1963.txt 1 164 
served Solar_eclipse_of_July_20,_1963.txt 1 226 
entirely Solar_eclipse_of_July_20,_1963.txt 1 217 
force Solar_eclipse_of_July_20,_1963.txt 1 136 
series Solar_eclipse_of_July_20,_1963.txt 3 274 320 362 
1909 Solar_eclipse_of_July_20,_1963.txt 1 349 
direct Solar_eclipse_of_July_20,_1963.txt 1 64 
related Solar_eclipse_of_July_20,_1963.txt 1 261 
observed Solar_eclipse_of_July_20,_1963.txt 1 129 
surrounding Solar_eclipse_of_July_20,_1963.txt 1 87 
astronomer Solar_eclipse_of_July_20,_1963.txt 1 125 
145 Solar_eclipse_of_July_20,_1963.txt 2 296 307 
japan Solar_eclipse_of_July_20,_1963.txt 1 99 
duration Solar_eclipse_of_July_20,_1963.txt 2 154 387 
categories Solar_eclipse_of_July_20,_1963.txt 2 399 401 
saturday Solar_eclipse_of_July_20,_1963.txt 1 13 
witness Solar_eclipse_of_July_20,_1963.txt 1 221 
canada Solar_eclipse_of_July_20,_1963.txt 1 115 
darkness Solar_eclipse_of_July_20,_1963.txt 1 69 
for Solar_eclipse_of_July_20,_1963.txt 1 40 
starfighter Solar_eclipse_of_July_20,_1963.txt 1 138 
sun Solar_eclipse_of_July_20,_1963.txt 2 29 39 
hybrid Solar_eclipse_of_July_20,_1963.txt 1 344 
wikipedia Solar_eclipse_of_July_20,_1963.txt 1 6 
moon Solar_eclipse_of_July_20,_1963.txt 1 23 
looking Solar_eclipse_of_July_20,_1963.txt 1 192 
3 Solar_eclipse_of_July_20,_1963.txt 2 160 251 
1520 Solar_eclipse_of_July_20,_1963.txt 1 177 
7 Solar_eclipse_of_July_20,_1963.txt 1 391 
between Solar_eclipse_of_July_20,_1963.txt 1 25 
racing Solar_eclipse_of_July_20,_1963.txt 1 143 
occurs Solar_eclipse_of_July_20,_1963.txt 3 20 49 71 
ends Solar_eclipse_of_July_20,_1963.txt 1 363 
turning Solar_eclipse_of_July_20,_1963.txt 1 66 
earths Solar_eclipse_of_July_20,_1963.txt 1 77 
seconds Solar_eclipse_of_July_20,_1963.txt 2 161 394 
june Solar_eclipse_of_July_20,_1963.txt 4 338 347 354 381 
men Solar_eclipse_of_July_20,_1963.txt 1 255 
annular Solar_eclipse_of_July_20,_1963.txt 1 335 
hours Solar_eclipse_of_July_20,_1963.txt 2 285 315 
aircraft Solar_eclipse_of_July_20,_1963.txt 1 140 
path Solar_eclipse_of_July_20,_1963.txt 1 75 
observing Solar_eclipse_of_July_20,_1963.txt 1 186 
repeating Solar_eclipse_of_July_20,_1963.txt 1 308 
on Solar_eclipse_of_July_20,_1963.txt 10 12 43 110 122 197 327 337 346 371 380 
days Solar_eclipse_of_July_20,_1963.txt 2 282 313 
of Solar_eclipse_of_July_20,_1963.txt 13 2 37 90 155 185 233 253 266 275 291 304 388 390 
region Solar_eclipse_of_July_20,_1963.txt 1 88 
alaska Solar_eclipse_of_July_20,_1963.txt 1 114 
april Solar_eclipse_of_July_20,_1963.txt 1 372 
2,100 Solar_eclipse_of_July_20,_1963.txt 1 150 
important Solar_eclipse_of_July_20,_1963.txt 1 228 
1639 Solar_eclipse_of_July_20,_1963.txt 1 330 
islands Solar_eclipse_of_July_20,_1963.txt 1 102 
narrow Solar_eclipse_of_July_20,_1963.txt 1 74 
or Solar_eclipse_of_July_20,_1963.txt 1 32 
saros Solar_eclipse_of_July_20,_1963.txt 2 295 305 
diameter Solar_eclipse_of_July_20,_1963.txt 1 54 
image Solar_eclipse_of_July_20,_1963.txt 1 36 
dolores Solar_eclipse_of_July_20,_1963.txt 1 242 
visible Solar_eclipse_of_July_20,_1963.txt 2 84 95 
featured Solar_eclipse_of_July_20,_1963.txt 2 170 247 
references Solar_eclipse_of_July_20,_1963.txt 1 397 
approximately Solar_eclipse_of_July_20,_1963.txt 1 279 
directly Solar_eclipse_of_July_20,_1963.txt 1 193 
strip Solar_eclipse_of_July_20,_1963.txt 1 174 
177 Solar_eclipse_of_July_20,_1963.txt 1 281 
titled Solar_eclipse_of_July_20,_1963.txt 1 256 
comic Solar_eclipse_of_July_20,_1963.txt 1 173 
total Solar_eclipse_of_July_20,_1963.txt 3 8 46 351 
linus Solar_eclipse_of_July_20,_1963.txt 2 180 206 
cloud Solar_eclipse_of_July_20,_1963.txt 1 215 
size Solar_eclipse_of_July_20,_1963.txt 1 58 
standing Solar_eclipse_of_July_20,_1963.txt 1 210 
passes Solar_eclipse_of_July_20,_1963.txt 1 24 
from Solar_eclipse_of_July_20,_1963.txt 3 96 132 353 
area Solar_eclipse_of_July_20,_1963.txt 1 205 
union Solar_eclipse_of_July_20,_1963.txt 1 105 
twenty Solar_eclipse_of_July_20,_1963.txt 1 258 
plots Solar_eclipse_of_July_20,_1963.txt 1 232 
two Solar_eclipse_of_July_20,_1963.txt 1 234 
sunlight Solar_eclipse_of_July_20,_1963.txt 1 65 
opposed Solar_eclipse_of_July_20,_1963.txt 1 190 
totality Solar_eclipse_of_July_20,_1963.txt 4 70 93 156 389 
6 Solar_eclipse_of_July_20,_1963.txt 1 339 
was Solar_eclipse_of_July_20,_1963.txt 6 94 142 169 207 246 342 
too Solar_eclipse_of_July_20,_1963.txt 1 218 
function Solar_eclipse_of_July_20,_1963.txt 1 229 
partly Solar_eclipse_of_July_20,_1963.txt 1 33 
way Solar_eclipse_of_July_20,_1963.txt 1 184 
that Solar_eclipse_of_July_20,_1963.txt 1 141 
started Solar_eclipse_of_July_20,_1963.txt 1 321 
season Solar_eclipse_of_July_20,_1963.txt 1 250 
apparent Solar_eclipse_of_July_20,_1963.txt 1 53 
occurred Solar_eclipse_of_July_20,_1963.txt 1 11 
part Solar_eclipse_of_July_20,_1963.txt 1 303 
8 Solar_eclipse_of_July_20,_1963.txt 1 314 
solar Solar_eclipse_of_July_20,_1963.txt 9 0 9 18 47 82 264 276 299 325 
geralds Solar_eclipse_of_July_20,_1963.txt 1 238 
obscuring Solar_eclipse_of_July_20,_1963.txt 1 34 
july Solar_eclipse_of_July_20,_1963.txt 5 3 14 111 123 176 
with Solar_eclipse_of_July_20,_1963.txt 5 79 179 214 322 384 
blocking Solar_eclipse_of_July_20,_1963.txt 1 62 
11 Solar_eclipse_of_July_20,_1963.txt 1 312 
wide Solar_eclipse_of_July_20,_1963.txt 1 92 
1992 Solar_eclipse_of_July_20,_1963.txt 2 240 244 
17 Solar_eclipse_of_July_20,_1963.txt 2 348 373 
culture Solar_eclipse_of_July_20,_1963.txt 1 165 
this Solar_eclipse_of_July_20,_1963.txt 1 298 
18 Solar_eclipse_of_July_20,_1963.txt 1 310 
eclipse Solar_eclipse_of_July_20,_1963.txt 16 1 10 19 48 83 131 168 188 196 201 223 300 326 336 370 377 
maximum Solar_eclipse_of_July_20,_1963.txt 1 386 
air Solar_eclipse_of_July_20,_1963.txt 1 135 
will Solar_eclipse_of_July_20,_1963.txt 1 378 
1927 Solar_eclipse_of_July_20,_1963.txt 1 356 
three Solar_eclipse_of_July_20,_1963.txt 1 259 
eclipses Solar_eclipse_of_July_20,_1963.txt 4 262 265 277 352 
1,300 Solar_eclipse_of_July_20,_1963.txt 1 148 
minutes Solar_eclipse_of_July_20,_1963.txt 2 159 392 
russia Solar_eclipse_of_July_20,_1963.txt 1 109 
first Solar_eclipse_of_July_20,_1963.txt 1 334 
and Solar_eclipse_of_July_20,_1963.txt 9 27 100 113 116 241 245 283 331 350 
seven Solar_eclipse_of_July_20,_1963.txt 1 257 
viewer Solar_eclipse_of_July_20,_1963.txt 1 42 
is Solar_eclipse_of_July_20,_1963.txt 2 55 301 
orbit Solar_eclipse_of_July_20,_1963.txt 1 294 
it Solar_eclipse_of_July_20,_1963.txt 2 224 341 
surface Solar_eclipse_of_July_20,_1963.txt 1 78 
an Solar_eclipse_of_July_20,_1963.txt 1 227 
states Solar_eclipse_of_July_20,_1963.txt 1 121 
as Solar_eclipse_of_July_20,_1963.txt 3 59 189 367 
at Solar_eclipse_of_July_20,_1963.txt 4 147 194 288 364 
in Solar_eclipse_of_July_20,_1963.txt 10 72 98 103 118 163 171 211 230 248 271 
f-104d Solar_eclipse_of_July_20,_1963.txt 1 137 
1891 Solar_eclipse_of_July_20,_1963.txt 1 340 
contents Solar_eclipse_of_July_20,_1963.txt 1 162 
containing Solar_eclipse_of_July_20,_1963.txt 1 316 
u.s Solar_eclipse_of_July_20,_1963.txt 1 134 
january Solar_eclipse_of_July_20,_1963.txt 1 328 
when Solar_eclipse_of_July_20,_1963.txt 2 21 50 
same Solar_eclipse_of_July_20,_1963.txt 1 57 
1963 Solar_eclipse_of_July_20,_1963.txt 3 5 16 178 
member Solar_eclipse_of_July_20,_1963.txt 2 270 365 
also Solar_eclipse_of_July_20,_1963.txt 1 225 
3009 Solar_eclipse_of_July_20,_1963.txt 1 374 
9 Solar_eclipse_of_July_20,_1963.txt 1 359 
events Solar_eclipse_of_July_20,_1963.txt 1 318 
2648 Solar_eclipse_of_July_20,_1963.txt 1 360 
safe Solar_eclipse_of_July_20,_1963.txt 1 183 
novels Solar_eclipse_of_July_20,_1963.txt 1 237 
smiley Solar_eclipse_of_July_20,_1963.txt 1 128 
reached Solar_eclipse_of_July_20,_1963.txt 1 332 
rain Solar_eclipse_of_July_20,_1963.txt 1 213 
77 Solar_eclipse_of_July_20,_1963.txt 2 317 366 
extending Solar_eclipse_of_July_20,_1963.txt 1 152 
united Solar_eclipse_of_July_20,_1963.txt 1 120 
mad Solar_eclipse_of_July_20,_1963.txt 1 254 
demonstrating Solar_eclipse_of_July_20,_1963.txt 1 181 
totally Solar_eclipse_of_July_20,_1963.txt 1 31 
cycle Solar_eclipse_of_July_20,_1963.txt 1 306 
a Solar_eclipse_of_July_20,_1963.txt 17 7 17 41 45 73 86 133 182 249 272 286 302 323 333 343 368 385 
supersonic Solar_eclipse_of_July_20,_1963.txt 1 139 
repeats Solar_eclipse_of_July_20,_1963.txt 1 278 
episode Solar_eclipse_of_July_20,_1963.txt 1 252 
cover Solar_eclipse_of_July_20,_1963.txt 1 216 
km/h Solar_eclipse_of_July_20,_1963.txt 1 151 
passed Solar_eclipse_of_July_20,_1963.txt 1 202 
the Solar_eclipse_of_July_20,_1963.txt 25 22 28 35 38 51 56 60 80 119 130 144 153 167 172 187 195 198 200 212 222 231 292 319 361 375 
2009 Solar_eclipse_of_July_20,_1963.txt 1 260 
soviet Solar_eclipse_of_July_20,_1963.txt 1 104 
helplessly Solar_eclipse_of_July_20,_1963.txt 1 209 
left Solar_eclipse_of_July_20,_1963.txt 1 208 
