744bc Solar_eclipse_of_July_16,_2186.txt 1 163 
minutes Solar_eclipse_of_July_16,_2186.txt 9 43 63 74 86 136 157 175 289 305 
and Solar_eclipse_of_July_16,_2186.txt 9 64 75 82 87 124 176 227 261 321 
ad Solar_eclipse_of_July_16,_2186.txt 1 127 
links Solar_eclipse_of_July_16,_2186.txt 1 326 
december Solar_eclipse_of_July_16,_2186.txt 2 224 231 
is Solar_eclipse_of_July_16,_2186.txt 3 173 186 313 
thus Solar_eclipse_of_July_16,_2186.txt 1 262 
it Solar_eclipse_of_July_16,_2186.txt 2 185 215 
as Solar_eclipse_of_July_16,_2186.txt 1 244 
at Solar_eclipse_of_July_16,_2186.txt 5 103 125 241 287 303 
in Solar_eclipse_of_July_16,_2186.txt 2 253 264 
occur Solar_eclipse_of_July_16,_2186.txt 1 263 
contents Solar_eclipse_of_July_16,_2186.txt 1 95 
containing Solar_eclipse_of_July_16,_2186.txt 1 201 
2132 Solar_eclipse_of_July_16,_2186.txt 1 275 
4000 Solar_eclipse_of_July_16,_2186.txt 1 122 
make Solar_eclipse_of_July_16,_2186.txt 1 143 
tip Solar_eclipse_of_July_16,_2186.txt 2 48 54 
same Solar_eclipse_of_July_16,_2186.txt 2 255 266 
member Solar_eclipse_of_July_16,_2186.txt 3 108 242 301 
which Solar_eclipse_of_July_16,_2186.txt 1 17 
9 Solar_eclipse_of_July_16,_2186.txt 1 225 
isla Solar_eclipse_of_July_16,_2186.txt 1 68 
events Solar_eclipse_of_July_16,_2186.txt 1 203 
exeligmos Solar_eclipse_of_July_16,_2186.txt 1 259 
may Solar_eclipse_of_July_16,_2186.txt 1 212 
durations Solar_eclipse_of_July_16,_2186.txt 1 109 
island Solar_eclipse_of_July_16,_2186.txt 1 51 
southern Solar_eclipse_of_July_16,_2186.txt 2 34 47 
saros Solar_eclipse_of_July_16,_2186.txt 3 106 182 190 
71 Solar_eclipse_of_July_16,_2186.txt 2 202 243 
such Solar_eclipse_of_July_16,_2186.txt 1 145 
8000 Solar_eclipse_of_July_16,_2186.txt 1 128 
a Solar_eclipse_of_July_16,_2186.txt 7 10 38 58 132 146 187 245 
3rd Solar_eclipse_of_July_16,_2186.txt 1 171 
lasted Solar_eclipse_of_July_16,_2186.txt 1 155 
km Solar_eclipse_of_July_16,_2186.txt 1 100 
greatest Solar_eclipse_of_July_16,_2186.txt 1 104 
every Solar_eclipse_of_July_16,_2186.txt 1 194 
the Solar_eclipse_of_July_16,_2186.txt 19 20 28 33 46 52 113 119 139 150 164 170 204 238 254 265 269 278 292 314 
geographic Solar_eclipse_of_July_16,_2186.txt 1 267 
external Solar_eclipse_of_July_16,_2186.txt 1 325 
