all Solar_eclipse_of_October_23,_1976.txt 1 60 
large Solar_eclipse_of_October_23,_1976.txt 1 114 
19 Solar_eclipse_of_October_23,_1976.txt 1 321 
6939.69 Solar_eclipse_of_October_23,_1976.txt 1 323 
each Solar_eclipse_of_October_23,_1976.txt 2 183 310 
repeating Solar_eclipse_of_October_23,_1976.txt 1 215 
cycles Solar_eclipse_of_October_23,_1976.txt 1 328 
lasting Solar_eclipse_of_October_23,_1976.txt 1 325 
landfall Solar_eclipse_of_October_23,_1976.txt 1 140 
series Solar_eclipse_of_October_23,_1976.txt 6 188 225 269 302 313 317 
direct Solar_eclipse_of_October_23,_1976.txt 1 61 
related Solar_eclipse_of_October_23,_1976.txt 1 175 
surrounding Solar_eclipse_of_October_23,_1976.txt 1 84 
are Solar_eclipse_of_October_23,_1976.txt 1 303 
duration Solar_eclipse_of_October_23,_1976.txt 1 284 
calendar Solar_eclipse_of_October_23,_1976.txt 1 335 
sunrise Solar_eclipse_of_October_23,_1976.txt 1 96 
darkness Solar_eclipse_of_October_23,_1976.txt 1 66 
for Solar_eclipse_of_October_23,_1976.txt 1 39 
1850 Solar_eclipse_of_October_23,_1976.txt 1 295 
sun Solar_eclipse_of_October_23,_1976.txt 2 28 38 
hybrid Solar_eclipse_of_October_23,_1976.txt 1 250 
wikipedia Solar_eclipse_of_October_23,_1976.txt 1 6 
moon Solar_eclipse_of_October_23,_1976.txt 1 22 
providence Solar_eclipse_of_October_23,_1976.txt 1 131 
1526 Solar_eclipse_of_October_23,_1976.txt 1 247 
indian Solar_eclipse_of_October_23,_1976.txt 1 125 
7 Solar_eclipse_of_October_23,_1976.txt 1 294 
between Solar_eclipse_of_October_23,_1976.txt 1 24 
new Solar_eclipse_of_October_23,_1976.txt 1 172 
before Solar_eclipse_of_October_23,_1976.txt 1 138 
occurs Solar_eclipse_of_October_23,_1976.txt 3 19 48 68 
subseries Solar_eclipse_of_October_23,_1976.txt 1 341 
ends Solar_eclipse_of_October_23,_1976.txt 1 270 
turning Solar_eclipse_of_October_23,_1976.txt 1 63 
august Solar_eclipse_of_October_23,_1976.txt 1 293 
earths Solar_eclipse_of_October_23,_1976.txt 2 74 163 
seconds Solar_eclipse_of_October_23,_1976.txt 1 291 
iteration Solar_eclipse_of_October_23,_1976.txt 1 311 
annular Solar_eclipse_of_October_23,_1976.txt 1 238 
hidden Solar_eclipse_of_October_23,_1976.txt 1 357 
hours Solar_eclipse_of_October_23,_1976.txt 1 199 
path Solar_eclipse_of_October_23,_1976.txt 3 72 106 158 
november Solar_eclipse_of_October_23,_1976.txt 1 241 
on Solar_eclipse_of_October_23,_1976.txt 6 12 42 232 252 278 292 
about Solar_eclipse_of_October_23,_1976.txt 1 326 
1435 Solar_eclipse_of_October_23,_1976.txt 1 243 
mainland Solar_eclipse_of_October_23,_1976.txt 1 156 
getting Solar_eclipse_of_October_23,_1976.txt 1 304 
island Solar_eclipse_of_October_23,_1976.txt 2 130 170 
region Solar_eclipse_of_October_23,_1976.txt 1 85 
larger Solar_eclipse_of_October_23,_1976.txt 1 55 
days Solar_eclipse_of_October_23,_1976.txt 4 196 220 324 351 
leaving Solar_eclipse_of_October_23,_1976.txt 1 153 
melbourne Solar_eclipse_of_October_23,_1976.txt 1 151 
passing Solar_eclipse_of_October_23,_1976.txt 2 109 127 
narrow Solar_eclipse_of_October_23,_1976.txt 1 71 
or Solar_eclipse_of_October_23,_1976.txt 2 31 346 
south Solar_eclipse_of_October_23,_1976.txt 1 308 
72 Solar_eclipse_of_October_23,_1976.txt 2 222 273 
diameter Solar_eclipse_of_October_23,_1976.txt 1 53 
seychelles Solar_eclipse_of_October_23,_1976.txt 1 137 
image Solar_eclipse_of_October_23,_1976.txt 1 35 
visible Solar_eclipse_of_October_23,_1976.txt 1 81 
semester Solar_eclipse_of_October_23,_1976.txt 2 187 201 
references Solar_eclipse_of_October_23,_1976.txt 1 354 
approximately Solar_eclipse_of_October_23,_1976.txt 1 193 
177 Solar_eclipse_of_October_23,_1976.txt 1 195 
total Solar_eclipse_of_October_23,_1976.txt 5 8 45 91 258 297 
passes Solar_eclipse_of_October_23,_1976.txt 1 23 
from Solar_eclipse_of_October_23,_1976.txt 2 240 260 
addition Solar_eclipse_of_October_23,_1976.txt 1 338 
contains Solar_eclipse_of_October_23,_1976.txt 2 221 237 
sunlight Solar_eclipse_of_October_23,_1976.txt 1 62 
totality Solar_eclipse_of_October_23,_1976.txt 5 67 108 149 160 286 
6 Solar_eclipse_of_October_23,_1976.txt 1 288 
australian Solar_eclipse_of_October_23,_1976.txt 1 155 
was Solar_eclipse_of_October_23,_1976.txt 2 150 287 
zealand Solar_eclipse_of_October_23,_1976.txt 1 173 
1/5 Solar_eclipse_of_October_23,_1976.txt 1 343 
partly Solar_eclipse_of_October_23,_1976.txt 1 32 
that Solar_eclipse_of_October_23,_1976.txt 2 147 345 
started Solar_eclipse_of_October_23,_1976.txt 1 226 
apparent Solar_eclipse_of_October_23,_1976.txt 1 52 
occurred Solar_eclipse_of_October_23,_1976.txt 1 11 
pierre Solar_eclipse_of_October_23,_1976.txt 1 129 
solar Solar_eclipse_of_October_23,_1976.txt 10 0 9 17 46 79 92 178 190 212 230 
obscuring Solar_eclipse_of_October_23,_1976.txt 1 33 
july Solar_eclipse_of_October_23,_1976.txt 1 233 
with Solar_eclipse_of_October_23,_1976.txt 6 76 102 104 227 248 309 
than Solar_eclipse_of_October_23,_1976.txt 1 56 
11 Solar_eclipse_of_October_23,_1976.txt 1 219 
wide Solar_eclipse_of_October_23,_1976.txt 1 89 
13 Solar_eclipse_of_October_23,_1976.txt 2 234 246 
october Solar_eclipse_of_October_23,_1976.txt 2 3 13 
this Solar_eclipse_of_October_23,_1976.txt 2 90 300 
18 Solar_eclipse_of_October_23,_1976.txt 1 217 
eclipse Solar_eclipse_of_October_23,_1976.txt 9 1 10 18 47 80 93 231 251 277 
near Solar_eclipse_of_October_23,_1976.txt 1 99 
1387.94 Solar_eclipse_of_October_23,_1976.txt 1 350 
crossed Solar_eclipse_of_October_23,_1976.txt 1 123 
of Solar_eclipse_of_October_23,_1976.txt 16 2 36 87 107 112 117 136 159 167 171 180 189 205 285 299 344 
making Solar_eclipse_of_October_23,_1976.txt 1 139 
eclipses Solar_eclipse_of_October_23,_1976.txt 8 176 179 191 239 259 298 319 329 
minutes Solar_eclipse_of_October_23,_1976.txt 1 289 
and Solar_eclipse_of_October_23,_1976.txt 4 26 133 197 306 
farquhar Solar_eclipse_of_October_23,_1976.txt 1 134 
tanzanian Solar_eclipse_of_October_23,_1976.txt 1 115 
viewer Solar_eclipse_of_October_23,_1976.txt 1 41 
is Solar_eclipse_of_October_23,_1976.txt 1 54 
it Solar_eclipse_of_October_23,_1976.txt 3 121 236 256 
surface Solar_eclipse_of_October_23,_1976.txt 2 75 164 
as Solar_eclipse_of_October_23,_1976.txt 1 274 
at Solar_eclipse_of_October_23,_1976.txt 3 95 202 271 
in Solar_eclipse_of_October_23,_1976.txt 6 69 97 141 185 331 337 
burundi Solar_eclipse_of_October_23,_1976.txt 1 103 
north Solar_eclipse_of_October_23,_1976.txt 3 111 166 169 
st Solar_eclipse_of_October_23,_1976.txt 1 128 
border Solar_eclipse_of_October_23,_1976.txt 1 101 
occur Solar_eclipse_of_October_23,_1976.txt 1 330 
contents Solar_eclipse_of_October_23,_1976.txt 1 174 
saw Solar_eclipse_of_October_23,_1976.txt 1 148 
began Solar_eclipse_of_October_23,_1976.txt 1 94 
when Solar_eclipse_of_October_23,_1976.txt 2 20 49 
same Solar_eclipse_of_October_23,_1976.txt 1 334 
member Solar_eclipse_of_October_23,_1976.txt 2 184 272 
5 Solar_eclipse_of_October_23,_1976.txt 2 280 327 
es Solar_eclipse_of_October_23,_1976.txt 1 119 
largest Solar_eclipse_of_October_23,_1976.txt 1 145 
1562 Solar_eclipse_of_October_23,_1976.txt 1 263 
events Solar_eclipse_of_October_23,_1976.txt 1 223 
1219 Solar_eclipse_of_October_23,_1976.txt 1 235 
1975-1978 Solar_eclipse_of_October_23,_1976.txt 1 181 
after Solar_eclipse_of_October_23,_1976.txt 1 152 
june Solar_eclipse_of_October_23,_1976.txt 1 265 
southeastern Solar_eclipse_of_October_23,_1976.txt 1 142 
saros Solar_eclipse_of_October_23,_1976.txt 3 209 213 301 
date Solar_eclipse_of_October_23,_1976.txt 1 336 
salaam Solar_eclipse_of_October_23,_1976.txt 1 120 
totally Solar_eclipse_of_October_23,_1976.txt 1 30 
a Solar_eclipse_of_October_23,_1976.txt 11 7 16 40 44 70 83 186 200 228 249 275 
repeats Solar_eclipse_of_October_23,_1976.txt 3 192 318 342 
1976 Solar_eclipse_of_October_23,_1976.txt 2 5 15 
tanzania Solar_eclipse_of_October_23,_1976.txt 1 98 
orbit Solar_eclipse_of_October_23,_1976.txt 1 208 
ocean Solar_eclipse_of_October_23,_1976.txt 1 126 
city Solar_eclipse_of_October_23,_1976.txt 2 116 146 
metonic Solar_eclipse_of_October_23,_1976.txt 2 312 316 
octon Solar_eclipse_of_October_23,_1976.txt 1 340 
the Solar_eclipse_of_October_23,_1976.txt 24 21 27 34 37 50 57 77 100 105 113 124 144 154 157 162 168 206 224 268 282 296 315 333 339 
2373 Solar_eclipse_of_October_23,_1976.txt 1 267 
left Solar_eclipse_of_October_23,_1976.txt 1 161 
