all St_Ives,_Cornwall.txt 1 2828 
charter St_Ives,_Cornwall.txt 3 120 1521 1527 
work St_Ives,_Cornwall.txt 4 2116 2130 2144 2461 
force St_Ives,_Cornwall.txt 2 837 883 
ten St_Ives,_Cornwall.txt 1 2558 
streets St_Ives,_Cornwall.txt 2 1234 1242 
mediterranean St_Ives,_Cornwall.txt 1 639 
procession St_Ives,_Cornwall.txt 1 2610 
literature St_Ives,_Cornwall.txt 1 2788 
hogsheads St_Ives,_Cornwall.txt 5 497 526 542 635 653 
lengthened St_Ives,_Cornwall.txt 1 457 
sumray St_Ives,_Cornwall.txt 1 2229 
second St_Ives,_Cornwall.txt 3 917 1663 2571 
street St_Ives,_Cornwall.txt 4 787 1688 1715 2010 
design St_Ives,_Cornwall.txt 2 471 1995 
settled St_Ives,_Cornwall.txt 1 2184 
heathrow St_Ives,_Cornwall.txt 1 3158 
replicated St_Ives,_Cornwall.txt 1 709 
port St_Ives,_Cornwall.txt 4 45 440 573 1272 
folk St_Ives,_Cornwall.txt 1 2707 
blue St_Ives,_Cornwall.txt 1 1193 
what St_Ives,_Cornwall.txt 1 1472 
moments St_Ives,_Cornwall.txt 1 2816 
caf St_Ives,_Cornwall.txt 1 2887 
contributions St_Ives,_Cornwall.txt 1 2417 
eliza St_Ives,_Cornwall.txt 1 856 
commemorating St_Ives,_Cornwall.txt 1 2492 
near St_Ives,_Cornwall.txt 5 939 1039 2489 2917 3193 
armadas St_Ives,_Cornwall.txt 1 416 
summers St_Ives,_Cornwall.txt 1 1298 
19th St_Ives,_Cornwall.txt 1 1007 
aground St_Ives,_Cornwall.txt 1 1038 
above St_Ives,_Cornwall.txt 1 1326 
new St_Ives,_Cornwall.txt 4 791 989 1976 2396 
learned St_Ives,_Cornwall.txt 1 2081 
geography St_Ives,_Cornwall.txt 1 1201 
ever St_Ives,_Cornwall.txt 1 535 
method St_Ives,_Cornwall.txt 1 579 
sea-wall St_Ives,_Cornwall.txt 1 1891 
body St_Ives,_Cornwall.txt 2 1440 1653 
dispatched St_Ives,_Cornwall.txt 1 481 
wallis St_Ives,_Cornwall.txt 1 2156 
guardian St_Ives,_Cornwall.txt 1 143 
men St_Ives,_Cornwall.txt 1 913 
commercial St_Ives,_Cornwall.txt 2 83 655 
fishermans St_Ives,_Cornwall.txt 1 223 
hours St_Ives,_Cornwall.txt 1 829 
reported St_Ives,_Cornwall.txt 1 868 
filmed St_Ives,_Cornwall.txt 2 2894 2961 
studio St_Ives,_Cornwall.txt 3 2066 2079 2341 
twentieth St_Ives,_Cornwall.txt 1 2380 
lands St_Ives,_Cornwall.txt 1 3190 
path St_Ives,_Cornwall.txt 1 1334 
along St_Ives,_Cornwall.txt 2 689 1013 
fifteen St_Ives,_Cornwall.txt 1 2702 
legend St_Ives,_Cornwall.txt 2 184 346 
celebration St_Ives,_Cornwall.txt 3 2520 2572 2582 
900 St_Ives,_Cornwall.txt 1 503 
division St_Ives,_Cornwall.txt 1 3041 
shift St_Ives,_Cornwall.txt 1 81 
k St_Ives,_Cornwall.txt 1 549 
1840 St_Ives,_Cornwall.txt 1 752 
1847 St_Ives,_Cornwall.txt 1 516 
camborne St_Ives,_Cornwall.txt 1 57 
1845 St_Ives,_Cornwall.txt 1 2016 
bbc4 St_Ives,_Cornwall.txt 1 2352 
museums St_Ives,_Cornwall.txt 1 2433 
amount St_Ives,_Cornwall.txt 1 1319 
social St_Ives,_Cornwall.txt 1 1691 
cornub St_Ives,_Cornwall.txt 1 353 
narrow St_Ives,_Cornwall.txt 1 1236 
makes St_Ives,_Cornwall.txt 1 1452 
onwards St_Ives,_Cornwall.txt 1 2432 
involves St_Ives,_Cornwall.txt 1 2541 
york St_Ives,_Cornwall.txt 1 2397 
scaremongering St_Ives,_Cornwall.txt 1 1149 
named St_Ives,_Cornwall.txt 1 135 
via St_Ives,_Cornwall.txt 1 3073 
family St_Ives,_Cornwall.txt 2 1695 2867 
nearest St_Ives,_Cornwall.txt 2 2600 3182 
ground St_Ives,_Cornwall.txt 2 1253 2994 
demands St_Ives,_Cornwall.txt 1 1841 
dedicated St_Ives,_Cornwall.txt 2 1726 1906 
private St_Ives,_Cornwall.txt 1 3196 
erected St_Ives,_Cornwall.txt 1 289 
county St_Ives,_Cornwall.txt 1 1621 
1900 St_Ives,_Cornwall.txt 2 3259 3261 
unitary St_Ives,_Cornwall.txt 1 1674 
1909 St_Ives,_Cornwall.txt 2 1954 1992 
1904 St_Ives,_Cornwall.txt 1 1950 
total St_Ives,_Cornwall.txt 3 477 501 605 
route St_Ives,_Cornwall.txt 1 3072 
landscape St_Ives,_Cornwall.txt 1 212 
use St_Ives,_Cornwall.txt 1 665 
from St_Ives,_Cornwall.txt 28 104 209 379 401 425 482 521 641 775 974 1057 1317 1403 1623 1842 1960 2034 2102 2221 2232 2254 2429 2815 2857 3083 3118 3155 3211 
capsized St_Ives,_Cornwall.txt 1 892 
working St_Ives,_Cornwall.txt 1 1271 
warship St_Ives,_Cornwall.txt 2 394 1034 
remains St_Ives,_Cornwall.txt 1 2136 
objectives St_Ives,_Cornwall.txt 1 417 
two St_Ives,_Cornwall.txt 6 361 597 1354 2004 2555 2628 
damaged St_Ives,_Cornwall.txt 1 1893 
figurative St_Ives,_Cornwall.txt 1 2293 
almost St_Ives,_Cornwall.txt 2 1277 2758 
live St_Ives,_Cornwall.txt 1 1082 
wood St_Ives,_Cornwall.txt 1 2162 
music St_Ives,_Cornwall.txt 2 2706 2754 
therefore St_Ives,_Cornwall.txt 1 1306 
taken St_Ives,_Cornwall.txt 1 536 
associated St_Ives,_Cornwall.txt 1 2621 
achieving St_Ives,_Cornwall.txt 1 96 
today St_Ives,_Cornwall.txt 1 2241 
more St_Ives,_Cornwall.txt 2 920 2400 
carbis St_Ives,_Cornwall.txt 2 1508 3141 
parliament St_Ives,_Cornwall.txt 1 1658 
holy St_Ives,_Cornwall.txt 1 1734 
godrevy St_Ives,_Cornwall.txt 1 940 
club St_Ives,_Cornwall.txt 1 2986 
altar St_Ives,_Cornwall.txt 1 1902 
freedom St_Ives,_Cornwall.txt 1 1555 
sister St_Ives,_Cornwall.txt 1 3251 
leonard St_Ives,_Cornwall.txt 1 1919 
it St_Ives,_Cornwall.txt 23 68 133 145 210 235 434 766 779 874 879 888 891 909 986 1122 1132 1304 1964 2450 2606 2623 2683 2717 
payne St_Ives,_Cornwall.txt 2 172 275 
1697 St_Ives,_Cornwall.txt 1 1884 
festival St_Ives,_Cornwall.txt 3 2648 2675 2786 
carrying St_Ives,_Cornwall.txt 1 598 
shelters St_Ives,_Cornwall.txt 1 1428 
known St_Ives,_Cornwall.txt 2 703 2073 
chef St_Ives,_Cornwall.txt 1 2890 
salvaged St_Ives,_Cornwall.txt 1 1046 
sculptor St_Ives,_Cornwall.txt 1 2457 
had St_Ives,_Cornwall.txt 4 369 383 1839 3238 
town St_Ives,_Cornwall.txt 29 10 41 49 87 103 138 244 750 998 1041 1068 1250 1255 1338 1368 1384 1401 1494 1501 1516 1586 1646 2218 2511 2940 2953 3033 3138 3146 
1993 St_Ives,_Cornwall.txt 2 801 2193 
talks St_Ives,_Cornwall.txt 1 2714 
hour St_Ives,_Cornwall.txt 1 848 
rights St_Ives,_Cornwall.txt 1 1780 
this St_Ives,_Cornwall.txt 6 4 614 649 1774 2386 3131 
past St_Ives,_Cornwall.txt 1 2814 
averaged St_Ives,_Cornwall.txt 1 495 
eclipse St_Ives,_Cornwall.txt 2 1076 1095 
roof St_Ives,_Cornwall.txt 2 1895 2036 
patrols St_Ives,_Cornwall.txt 1 1430 
itself St_Ives,_Cornwall.txt 2 1028 1703 
island St_Ives,_Cornwall.txt 3 877 1223 1916 
believed St_Ives,_Cornwall.txt 1 1054 
making St_Ives,_Cornwall.txt 2 234 499 
spratt St_Ives,_Cornwall.txt 1 2322 
example St_Ives,_Cornwall.txt 1 631 
history St_Ives,_Cornwall.txt 4 166 169 943 2475 
control St_Ives,_Cornwall.txt 1 1432 
heart St_Ives,_Cornwall.txt 2 1720 1985 
shark St_Ives,_Cornwall.txt 6 1113 1118 1143 1163 1171 1194 
wharf St_Ives,_Cornwall.txt 1 220 
patron St_Ives,_Cornwall.txt 1 1746 
do St_Ives,_Cornwall.txt 1 2239 
methodist St_Ives,_Cornwall.txt 2 1712 2005 
confused St_Ives,_Cornwall.txt 1 149 
days St_Ives,_Cornwall.txt 1 2703 
founded St_Ives,_Cornwall.txt 2 2719 2987 
council St_Ives,_Cornwall.txt 18 1369 1372 1385 1415 1436 1459 1465 1495 1502 1517 1617 1622 1640 1642 1647 1649 1660 1684 
dominant St_Ives,_Cornwall.txt 1 3002 
bowl St_Ives,_Cornwall.txt 1 2043 
species St_Ives,_Cornwall.txt 1 1179 
returned St_Ives,_Cornwall.txt 1 1049 
ceremony St_Ives,_Cornwall.txt 3 2524 2540 3240 
sir St_Ives,_Cornwall.txt 1 397 
end St_Ives,_Cornwall.txt 3 618 810 3191 
night St_Ives,_Cornwall.txt 1 2760 
thing St_Ives,_Cornwall.txt 1 2825 
inhabitants St_Ives,_Cornwall.txt 1 1844 
1549 St_Ives,_Cornwall.txt 1 259 
travel St_Ives,_Cornwall.txt 2 107 2882 
damage St_Ives,_Cornwall.txt 1 1879 
dismissed St_Ives,_Cornwall.txt 1 1145 
1 St_Ives,_Cornwall.txt 1 1624 
how St_Ives,_Cornwall.txt 2 553 2746 
sunday St_Ives,_Cornwall.txt 4 560 1570 2597 3232 
vital St_Ives,_Cornwall.txt 1 412 
breton St_Ives,_Cornwall.txt 1 3226 
1690 St_Ives,_Cornwall.txt 1 354 
boats St_Ives,_Cornwall.txt 1 591 
native St_Ives,_Cornwall.txt 1 2256 
beach St_Ives,_Cornwall.txt 7 765 948 1204 1262 1429 2886 3247 
burgi St_Ives,_Cornwall.txt 1 348 
allotments St_Ives,_Cornwall.txt 1 1434 
continues St_Ives,_Cornwall.txt 1 2237 
beauty St_Ives,_Cornwall.txt 1 2191 
information St_Ives,_Cornwall.txt 1 406 
may St_Ives,_Cornwall.txt 5 1412 2653 2661 2935 3127 
1797 St_Ives,_Cornwall.txt 1 2513 
waters St_Ives,_Cornwall.txt 1 1183 
after St_Ives,_Cornwall.txt 3 1164 2208 2826 
pinnace St_Ives,_Cornwall.txt 1 368 
roads St_Ives,_Cornwall.txt 1 1687 
customs St_Ives,_Cornwall.txt 1 2548 
membership St_Ives,_Cornwall.txt 1 1397 
fouled St_Ives,_Cornwall.txt 1 905 
newer St_Ives,_Cornwall.txt 1 1246 
facility St_Ives,_Cornwall.txt 1 3111 
1889 St_Ives,_Cornwall.txt 1 2988 
tragedy St_Ives,_Cornwall.txt 1 823 
date St_Ives,_Cornwall.txt 1 461 
such St_Ives,_Cornwall.txt 5 1549 1567 2223 2245 3174 
derives St_Ives,_Cornwall.txt 1 208 
consisting St_Ives,_Cornwall.txt 1 1352 
man St_Ives,_Cornwall.txt 1 927 
a St_Ives,_Cornwall.txt 86 39 80 91 153 222 249 326 364 367 459 466 500 548 562 569 587 693 705 761 770 783 790 802 836 866 962 988 1025 1052 1081 1106 1110 1127 1138 1141 1156 1165 1191 1224 1260 1264 1279 1307 1349 1396 1438 1552 1638 1651 1673 1677 1757 1799 1819 1833 1886 1897 1994 1997 2022 2065 2140 2194 2287 2324 2349 2351 2382 2423 2499 2506 2547 2551 2570 2581 2608 2635 2646 2655 2723 2778 2810 3028 3109 3239 3250 
surfing St_Ives,_Cornwall.txt 1 1261 
third St_Ives,_Cornwall.txt 2 922 2647 
joint St_Ives,_Cornwall.txt 1 2724 
mondrian St_Ives,_Cornwall.txt 1 2226 
coat St_Ives,_Cornwall.txt 1 1578 
nance St_Ives,_Cornwall.txt 1 713 
consecration St_Ives,_Cornwall.txt 2 1763 1824 
or St_Ives,_Cornwall.txt 8 527 611 1140 1739 1783 2568 2771 2941 
shore St_Ives,_Cornwall.txt 1 1212 
123 St_Ives,_Cornwall.txt 1 1708 
so St_Ives,_Cornwall.txt 3 1775 1862 2240 
frequent St_Ives,_Cornwall.txt 1 3081 
allow St_Ives,_Cornwall.txt 1 2742 
atrocity St_Ives,_Cornwall.txt 1 252 
granted St_Ives,_Cornwall.txt 1 1861 
twinned St_Ives,_Cornwall.txt 1 3223 
authorise St_Ives,_Cornwall.txt 1 1761 
rounded St_Ives,_Cornwall.txt 1 875 
office St_Ives,_Cornwall.txt 2 1535 1948 
sloop St_Ives,_Cornwall.txt 2 214 2958 
developed St_Ives,_Cornwall.txt 1 960 
over St_Ives,_Cornwall.txt 3 911 1832 1900 
scoles St_Ives,_Cornwall.txt 1 2000 
trade St_Ives,_Cornwall.txt 2 650 3011 
produced St_Ives,_Cornwall.txt 2 2115 2750 
course St_Ives,_Cornwall.txt 1 292 
celebrations St_Ives,_Cornwall.txt 1 2663 
scott St_Ives,_Cornwall.txt 1 954 
looks St_Ives,_Cornwall.txt 1 2207 
left St_Ives,_Cornwall.txt 1 924 
japan St_Ives,_Cornwall.txt 1 2092 
still St_Ives,_Cornwall.txt 1 663 
nets St_Ives,_Cornwall.txt 1 600 
its St_Ives,_Cornwall.txt 8 129 902 1217 1233 1240 2190 2639 2677 
woolf St_Ives,_Cornwall.txt 1 2805 
before St_Ives,_Cornwall.txt 2 1460 2260 
25 St_Ives,_Cornwall.txt 1 2534 
1830 St_Ives,_Cornwall.txt 1 633 
1831 St_Ives,_Cornwall.txt 1 2012 
group St_Ives,_Cornwall.txt 1 2297 
23 St_Ives,_Cornwall.txt 1 831 
c St_Ives,_Cornwall.txt 1 1999 
1838 St_Ives,_Cornwall.txt 1 644 
recreational St_Ives,_Cornwall.txt 1 670 
ships St_Ives,_Cornwall.txt 1 363 
responsibilities St_Ives,_Cornwall.txt 1 1417 
exhibits St_Ives,_Cornwall.txt 1 2472 
crew St_Ives,_Cornwall.txt 1 608 
forms St_Ives,_Cornwall.txt 1 1474 
resort St_Ives,_Cornwall.txt 3 94 959 1310 
window St_Ives,_Cornwall.txt 1 1899 
parts St_Ives,_Cornwall.txt 1 1247 
categories St_Ives,_Cornwall.txt 2 3277 3279 
2014 St_Ives,_Cornwall.txt 1 3235 
2017 St_Ives,_Cornwall.txt 1 1190 
main St_Ives,_Cornwall.txt 3 732 3053 3070 
2011 St_Ives,_Cornwall.txt 3 113 949 1153 
2010 St_Ives,_Cornwall.txt 2 111 2350 
2013 St_Ives,_Cornwall.txt 1 1413 
lookout St_Ives,_Cornwall.txt 1 464 
then St_Ives,_Cornwall.txt 3 311 322 799 
them St_Ives,_Cornwall.txt 1 1542 
greater St_Ives,_Cornwall.txt 2 507 2575 
than St_Ives,_Cornwall.txt 2 2402 2638 
cupola St_Ives,_Cornwall.txt 1 467 
regarding St_Ives,_Cornwall.txt 1 1444 
halsetown St_Ives,_Cornwall.txt 1 1510 
lunch St_Ives,_Cornwall.txt 2 277 295 
hamilton St_Ives,_Cornwall.txt 1 550 
they St_Ives,_Cornwall.txt 7 388 1770 1776 1786 1811 2099 3007 
1952 St_Ives,_Cornwall.txt 1 1030 
not St_Ives,_Cornwall.txt 2 147 1772 
17471756 St_Ives,_Cornwall.txt 1 475 
now St_Ives,_Cornwall.txt 2 89 1473 
day St_Ives,_Cornwall.txt 5 563 675 2538 2654 2662 
association St_Ives,_Cornwall.txt 1 729 
instructions St_Ives,_Cornwall.txt 1 2517 
going St_Ives,_Cornwall.txt 1 2931 
term St_Ives,_Cornwall.txt 1 1533 
several St_Ives,_Cornwall.txt 1 2944 
airports St_Ives,_Cornwall.txt 1 3183 
rocky St_Ives,_Cornwall.txt 1 211 
porth St_Ives,_Cornwall.txt 1 32 
edit St_Ives,_Cornwall.txt 24 167 170 419 731 944 1099 1202 1342 1711 2028 2030 2434 2486 2792 2975 3049 3207 3255 3260 3265 3268 3270 3273 3276 
january St_Ives,_Cornwall.txt 1 832 
feast St_Ives,_Cornwall.txt 1 2580 
rocks St_Ives,_Cornwall.txt 2 685 938 
into St_Ives,_Cornwall.txt 1 1974 
fisherman St_Ives,_Cornwall.txt 1 557 
undertook St_Ives,_Cornwall.txt 1 1787 
andrew St_Ives,_Cornwall.txt 1 1744 
each St_Ives,_Cornwall.txt 1 2604 
showcasing St_Ives,_Cornwall.txt 1 2143 
councillors St_Ives,_Cornwall.txt 2 1402 1709 
went St_Ives,_Cornwall.txt 1 2368 
cliffs St_Ives,_Cornwall.txt 1 1015 
repaired St_Ives,_Cornwall.txt 1 1047 
ports St_Ives,_Cornwall.txt 2 487 640 
porthgwidden St_Ives,_Cornwall.txt 3 764 1203 1263 
few St_Ives,_Cornwall.txt 1 2383 
democratically St_Ives,_Cornwall.txt 1 1361 
studios St_Ives,_Cornwall.txt 1 2740 
erth St_Ives,_Cornwall.txt 2 976 3085 
generation St_Ives,_Cornwall.txt 1 990 
house St_Ives,_Cornwall.txt 1 2859 
fish St_Ives,_Cornwall.txt 2 505 530 
jonny St_Ives,_Cornwall.txt 1 712 
kilmore St_Ives,_Cornwall.txt 1 2915 
remembrance St_Ives,_Cornwall.txt 1 1569 
books St_Ives,_Cornwall.txt 2 2716 2903 
alfred St_Ives,_Cornwall.txt 1 2155 
hanged St_Ives,_Cornwall.txt 1 323 
year St_Ives,_Cornwall.txt 3 1323 2330 2605 
navy St_Ives,_Cornwall.txt 1 1033 
beyond St_Ives,_Cornwall.txt 1 2799 
agriculture St_Ives,_Cornwall.txt 1 2481 
sandy St_Ives,_Cornwall.txt 1 1266 
out St_Ives,_Cornwall.txt 3 585 1092 1545 
team St_Ives,_Cornwall.txt 1 3030 
large St_Ives,_Cornwall.txt 1 1898 
funding St_Ives,_Cornwall.txt 1 1421 
missed St_Ives,_Cornwall.txt 1 1097 
talland St_Ives,_Cornwall.txt 1 2858 
culture St_Ives,_Cornwall.txt 3 2027 2477 2791 
porthmeor St_Ives,_Cornwall.txt 1 1259 
washed St_Ives,_Cornwall.txt 1 1061 
1542 St_Ives,_Cornwall.txt 2 1830 1857 
attracted St_Ives,_Cornwall.txt 2 2188 2219 
laid St_Ives,_Cornwall.txt 2 2168 2515 
1878 St_Ives,_Cornwall.txt 1 3108 
7 St_Ives,_Cornwall.txt 2 3018 3233 
common St_Ives,_Cornwall.txt 1 2667 
r.c St_Ives,_Cornwall.txt 1 1721 
foundation St_Ives,_Cornwall.txt 1 2170 
illustrating St_Ives,_Cornwall.txt 1 2473 
city St_Ives,_Cornwall.txt 1 3252 
1920s St_Ives,_Cornwall.txt 1 2431 
million St_Ives,_Cornwall.txt 2 504 529 
pub St_Ives,_Cornwall.txt 2 224 2956 
commercially St_Ives,_Cornwall.txt 1 70 
five St_Ives,_Cornwall.txt 2 1631 2531 
houses St_Ives,_Cornwall.txt 1 2139 
california St_Ives,_Cornwall.txt 1 3248 
rebel St_Ives,_Cornwall.txt 1 328 
members St_Ives,_Cornwall.txt 1 1518 
holidays St_Ives,_Cornwall.txt 1 2868 
beginning St_Ives,_Cornwall.txt 1 2838 
care St_Ives,_Cornwall.txt 1 1696 
thrown St_Ives,_Cornwall.txt 1 2042 
australian St_Ives,_Cornwall.txt 1 2889 
1434 St_Ives,_Cornwall.txt 1 1797 
benefits St_Ives,_Cornwall.txt 1 1316 
district St_Ives,_Cornwall.txt 2 1616 1633 
language St_Ives,_Cornwall.txt 1 2871 
launch St_Ives,_Cornwall.txt 1 774 
1940s St_Ives,_Cornwall.txt 2 2262 2284 
could St_Ives,_Cornwall.txt 2 1133 2820 
running St_Ives,_Cornwall.txt 1 2689 
british St_Ives,_Cornwall.txt 4 106 1182 2078 2427 
times St_Ives,_Cornwall.txt 5 67 427 894 3257 3264 
gusts St_Ives,_Cornwall.txt 1 842 
produce St_Ives,_Cornwall.txt 1 2371 
place St_Ives,_Cornwall.txt 3 2387 2529 2594 
raleigh St_Ives,_Cornwall.txt 1 399 
incorporated St_Ives,_Cornwall.txt 2 117 1654 
lighting St_Ives,_Cornwall.txt 1 1689 
museum St_Ives,_Cornwall.txt 5 2124 2142 2212 2438 2470 
south St_Ives,_Cornwall.txt 1 1331 
first St_Ives,_Cornwall.txt 4 744 907 1071 1374 
origin St_Ives,_Cornwall.txt 1 177 
promoted St_Ives,_Cornwall.txt 1 2100 
major St_Ives,_Cornwall.txt 2 2424 2645 
surviving St_Ives,_Cornwall.txt 1 2629 
potter St_Ives,_Cornwall.txt 1 2067 
number St_Ives,_Cornwall.txt 4 130 478 534 606 
explored St_Ives,_Cornwall.txt 1 2406 
one St_Ives,_Cornwall.txt 11 236 538 919 926 2007 2329 2625 2685 2824 2942 2999 
well-known St_Ives,_Cornwall.txt 1 2923 
1877 St_Ives,_Cornwall.txt 2 984 3092 
century...for St_Ives,_Cornwall.txt 1 2381 
another St_Ives,_Cornwall.txt 2 2014 2827 
spanish St_Ives,_Cornwall.txt 3 357 362 386 
carry St_Ives,_Cornwall.txt 1 1544 
impossible St_Ives,_Cornwall.txt 1 1124 
saltings St_Ives,_Cornwall.txt 1 3120 
open St_Ives,_Cornwall.txt 1 2737 
resisted St_Ives,_Cornwall.txt 1 1840 
take St_Ives,_Cornwall.txt 1 2528 
passes St_Ives,_Cornwall.txt 1 1335 
given St_Ives,_Cornwall.txt 1 407 
zennor St_Ives,_Cornwall.txt 2 2918 3176 
service St_Ives,_Cornwall.txt 1 1051 
their St_Ives,_Cornwall.txt 8 371 1532 1765 1866 2416 2739 2747 3010 
bears St_Ives,_Cornwall.txt 1 202 
together St_Ives,_Cornwall.txt 1 2829 
5th St_Ives,_Cornwall.txt 2 197 1738 
maurice St_Ives,_Cornwall.txt 1 2228 
girls St_Ives,_Cornwall.txt 1 2559 
system St_Ives,_Cornwall.txt 2 3024 3047 
boating St_Ives,_Cornwall.txt 1 671 
teacher St_Ives,_Cornwall.txt 1 2070 
station St_Ives,_Cornwall.txt 8 737 739 804 3052 3058 3062 3086 3122 
saint St_Ives,_Cornwall.txt 3 191 1728 1747 
burial St_Ives,_Cornwall.txt 1 1784 
white St_Ives,_Cornwall.txt 1 1112 
john St_Ives,_Cornwall.txt 6 171 274 450 853 2495 2497 
crewmen St_Ives,_Cornwall.txt 1 816 
ias St_Ives,_Cornwall.txt 1 36 
free St_Ives,_Cornwall.txt 1 2753 
mining St_Ives,_Cornwall.txt 1 2479 
quay St_Ives,_Cornwall.txt 2 797 1922 
storm St_Ives,_Cornwall.txt 5 381 404 839 886 1887 
that St_Ives,_Cornwall.txt 6 1121 1131 1174 1324 2363 2664 
public St_Ives,_Cornwall.txt 4 1394 1425 1699 2463 
hotel St_Ives,_Cornwall.txt 1 2770 
leaking St_Ives,_Cornwall.txt 1 400 
took St_Ives,_Cornwall.txt 2 2250 2323 
cornwall St_Ives,_Cornwall.txt 21 2 14 19 47 160 194 242 522 873 1371 1458 1620 1641 1648 1659 1731 2270 2357 2660 2670 3039 
exhilarating St_Ives,_Cornwall.txt 1 2376 
part St_Ives,_Cornwall.txt 3 977 1004 3101 
western St_Ives,_Cornwall.txt 6 981 1211 2108 2769 3014 3105 
manifestation St_Ives,_Cornwall.txt 1 2641 
1911 St_Ives,_Cornwall.txt 1 789 
off St_Ives,_Cornwall.txt 1 871 
july St_Ives,_Cornwall.txt 3 1102 1189 2535 
representing St_Ives,_Cornwall.txt 1 1561 
institution St_Ives,_Cornwall.txt 1 759 
11 St_Ives,_Cornwall.txt 1 1078 
10 St_Ives,_Cornwall.txt 1 838 
176770 St_Ives,_Cornwall.txt 1 453 
circa St_Ives,_Cornwall.txt 1 232 
ben St_Ives,_Cornwall.txt 3 2158 2177 2317 
14 St_Ives,_Cornwall.txt 1 1151 
16 St_Ives,_Cornwall.txt 1 1399 
18 St_Ives,_Cornwall.txt 1 1188 
1978 St_Ives,_Cornwall.txt 2 2721 3128 
transferred St_Ives,_Cornwall.txt 1 1865 
ranging St_Ives,_Cornwall.txt 1 2692 
politics St_Ives,_Cornwall.txt 1 1339 
i St_Ives,_Cornwall.txt 2 2819 2929 
victorian St_Ives,_Cornwall.txt 2 696 992 
beeching St_Ives,_Cornwall.txt 1 1020 
porbeagle St_Ives,_Cornwall.txt 1 1142 
venture St_Ives,_Cornwall.txt 1 2725 
were St_Ives,_Cornwall.txt 12 389 509 636 914 1184 1409 1612 1635 1812 1924 2665 2960 
fishermen St_Ives,_Cornwall.txt 3 1749 1928 2566 
