galveston Solar_eclipse_of_November_22,_1919.txt 1 133 
diameter Solar_eclipse_of_November_22,_1919.txt 1 53 
there Solar_eclipse_of_November_22,_1919.txt 1 396 
image Solar_eclipse_of_November_22,_1919.txt 1 35 
each Solar_eclipse_of_November_22,_1919.txt 1 331 
africa Solar_eclipse_of_November_22,_1919.txt 2 115 218 
semester Solar_eclipse_of_November_22,_1919.txt 2 335 349 
references Solar_eclipse_of_November_22,_1919.txt 1 420 
177 Solar_eclipse_of_November_22,_1919.txt 1 343 
ring Solar_eclipse_of_November_22,_1919.txt 1 74 
total Solar_eclipse_of_November_22,_1919.txt 1 399 
ct Solar_eclipse_of_November_22,_1919.txt 1 147 
1739 Solar_eclipse_of_November_22,_1919.txt 1 391 
passes Solar_eclipse_of_November_22,_1919.txt 1 23 
from Solar_eclipse_of_November_22,_1919.txt 1 388 
mauritania Solar_eclipse_of_November_22,_1919.txt 1 247 
casamance Solar_eclipse_of_November_22,_1919.txt 1 226 
contains Solar_eclipse_of_November_22,_1919.txt 2 370 385 
approximately Solar_eclipse_of_November_22,_1919.txt 1 341 
almost Solar_eclipse_of_November_22,_1919.txt 1 190 
much Solar_eclipse_of_November_22,_1919.txt 1 101 
15:45 Solar_eclipse_of_November_22,_1919.txt 1 242 
saint Solar_eclipse_of_November_22,_1919.txt 1 196 
series Solar_eclipse_of_November_22,_1919.txt 4 336 374 403 405 
was Solar_eclipse_of_November_22,_1919.txt 4 140 189 290 303 
18 Solar_eclipse_of_November_22,_1919.txt 1 365 
more Solar_eclipse_of_November_22,_1919.txt 1 150 
partly Solar_eclipse_of_November_22,_1919.txt 1 32 
1613 Solar_eclipse_of_November_22,_1919.txt 1 383 
et Solar_eclipse_of_November_22,_1919.txt 1 173 
apparent Solar_eclipse_of_November_22,_1919.txt 1 52 
occurred Solar_eclipse_of_November_22,_1919.txt 6 11 94 170 213 240 264 
but Solar_eclipse_of_November_22,_1919.txt 2 283 313 
1919 Solar_eclipse_of_November_22,_1919.txt 2 5 15 
part Solar_eclipse_of_November_22,_1919.txt 2 106 233 
atlantic Solar_eclipse_of_November_22,_1919.txt 1 297 
western Solar_eclipse_of_November_22,_1919.txt 1 108 
solar Solar_eclipse_of_November_22,_1919.txt 10 0 9 17 46 307 315 327 338 360 378 
obscuring Solar_eclipse_of_November_22,_1919.txt 1 33 
with Solar_eclipse_of_November_22,_1919.txt 1 376 
than Solar_eclipse_of_November_22,_1919.txt 3 56 151 286 
13:45 Solar_eclipse_of_November_22,_1919.txt 1 174 
11 Solar_eclipse_of_November_22,_1919.txt 2 291 367 
wide Solar_eclipse_of_November_22,_1919.txt 1 92 
13 Solar_eclipse_of_November_22,_1919.txt 1 416 
17:00 Solar_eclipse_of_November_22,_1919.txt 1 272 
look Solar_eclipse_of_November_22,_1919.txt 1 70 
places Solar_eclipse_of_November_22,_1919.txt 1 116 
19 Solar_eclipse_of_November_22,_1919.txt 1 382 
1647 Solar_eclipse_of_November_22,_1919.txt 1 312 
inside Solar_eclipse_of_November_22,_1919.txt 1 117 
eclipse Solar_eclipse_of_November_22,_1919.txt 13 1 10 18 47 77 82 120 212 280 308 316 379 413 
maximum Solar_eclipse_of_November_22,_1919.txt 1 279 
near Solar_eclipse_of_November_22,_1919.txt 1 191 
gambia Solar_eclipse_of_November_22,_1919.txt 1 222 
eclipses Solar_eclipse_of_November_22,_1919.txt 5 325 328 339 387 400 
minutes Solar_eclipse_of_November_22,_1919.txt 1 292 
8:45 Solar_eclipse_of_November_22,_1919.txt 1 172 
and Solar_eclipse_of_November_22,_1919.txt 16 26 65 110 124 132 139 159 183 193 198 201 245 248 261 345 369 
san Solar_eclipse_of_November_22,_1919.txt 1 129 
mexico Solar_eclipse_of_November_22,_1919.txt 2 143 158 
viewer Solar_eclipse_of_November_22,_1919.txt 1 41 
december Solar_eclipse_of_November_22,_1919.txt 1 318 
is Solar_eclipse_of_November_22,_1919.txt 1 54 
orbit Solar_eclipse_of_November_22,_1919.txt 1 356 
it Solar_eclipse_of_November_22,_1919.txt 8 93 176 188 194 219 263 302 384 
an Solar_eclipse_of_November_22,_1919.txt 4 7 44 72 75 
states Solar_eclipse_of_November_22,_1919.txt 2 138 168 
middle Solar_eclipse_of_November_22,_1919.txt 1 250 
as Solar_eclipse_of_November_22,_1919.txt 2 79 410 
at Solar_eclipse_of_November_22,_1919.txt 6 144 214 271 278 350 407 
in Solar_eclipse_of_November_22,_1919.txt 9 95 135 165 205 217 265 295 333 401 
north Solar_eclipse_of_November_22,_1919.txt 3 99 122 299 
ocean Solar_eclipse_of_November_22,_1919.txt 1 298 
contents Solar_eclipse_of_November_22,_1919.txt 1 323 
united Solar_eclipse_of_November_22,_1919.txt 2 137 167 
no Solar_eclipse_of_November_22,_1919.txt 1 398 
cuba Solar_eclipse_of_November_22,_1919.txt 1 179 
when Solar_eclipse_of_November_22,_1919.txt 2 20 49 
mid Solar_eclipse_of_November_22,_1919.txt 1 207 
shorter Solar_eclipse_of_November_22,_1919.txt 1 285 
also Solar_eclipse_of_November_22,_1919.txt 1 177 
causing Solar_eclipse_of_November_22,_1919.txt 1 66 
republic Solar_eclipse_of_November_22,_1919.txt 1 187 
which Solar_eclipse_of_November_22,_1919.txt 4 169 203 239 258 
events Solar_eclipse_of_November_22,_1919.txt 1 372 
southeasternmost Solar_eclipse_of_November_22,_1919.txt 1 246 
southwesternmost Solar_eclipse_of_November_22,_1919.txt 1 185 
slightly Solar_eclipse_of_November_22,_1919.txt 1 284 
closest Solar_eclipse_of_November_22,_1919.txt 1 281 
141 Solar_eclipse_of_November_22,_1919.txt 2 358 362 
keys Solar_eclipse_of_November_22,_1919.txt 1 164 
southern Solar_eclipse_of_November_22,_1919.txt 1 223 
most Solar_eclipse_of_November_22,_1919.txt 2 60 180 
saros Solar_eclipse_of_November_22,_1919.txt 2 357 361 
70 Solar_eclipse_of_November_22,_1919.txt 2 371 409 
included Solar_eclipse_of_November_22,_1919.txt 5 121 178 195 220 259 
america Solar_eclipse_of_November_22,_1919.txt 3 100 104 123 
totally Solar_eclipse_of_November_22,_1919.txt 1 30 
grenadines Solar_eclipse_of_November_22,_1919.txt 1 200 
a Solar_eclipse_of_November_22,_1919.txt 10 16 40 80 84 105 112 152 334 348 411 
annulus Solar_eclipse_of_November_22,_1919.txt 1 73 
longer Solar_eclipse_of_November_22,_1919.txt 1 322 
third Solar_eclipse_of_November_22,_1919.txt 1 113 
light Solar_eclipse_of_November_22,_1919.txt 1 64 
lasted Solar_eclipse_of_November_22,_1919.txt 1 321 
antonio Solar_eclipse_of_November_22,_1919.txt 1 130 
portion Solar_eclipse_of_November_22,_1919.txt 1 251 
sunset Solar_eclipse_of_November_22,_1919.txt 1 270 
greatest Solar_eclipse_of_November_22,_1919.txt 1 211 
guinea Solar_eclipse_of_November_22,_1919.txt 3 228 236 238 
bamako Solar_eclipse_of_November_22,_1919.txt 1 260 
the Solar_eclipse_of_November_22,_1919.txt 32 21 27 34 37 50 57 62 67 87 118 125 136 155 162 166 184 199 206 210 221 231 249 253 266 274 287 296 304 314 354 373 404 
7:30 Solar_eclipse_of_November_22,_1919.txt 1 146 
