all Solar_eclipse_of_September_2,_2035.txt 1 61 
cities Solar_eclipse_of_September_2,_2035.txt 1 118 
on Solar_eclipse_of_September_2,_2035.txt 7 13 43 200 210 219 244 253 
about Solar_eclipse_of_September_2,_2035.txt 1 282 
hidden Solar_eclipse_of_September_2,_2035.txt 1 314 
of Solar_eclipse_of_September_2,_2035.txt 14 2 37 88 95 107 111 129 139 148 164 177 261 263 300 
region Solar_eclipse_of_September_2,_2035.txt 1 86 
larger Solar_eclipse_of_September_2,_2035.txt 1 56 
days Solar_eclipse_of_September_2,_2035.txt 4 155 186 280 307 
april Solar_eclipse_of_September_2,_2035.txt 1 245 
narrow Solar_eclipse_of_September_2,_2035.txt 1 72 
or Solar_eclipse_of_September_2,_2035.txt 2 32 302 
saros Solar_eclipse_of_September_2,_2035.txt 2 168 178 
diameter Solar_eclipse_of_September_2,_2035.txt 1 54 
image Solar_eclipse_of_September_2,_2035.txt 1 36 
visible Solar_eclipse_of_September_2,_2035.txt 1 82 
semester Solar_eclipse_of_September_2,_2035.txt 2 146 160 
references Solar_eclipse_of_September_2,_2035.txt 1 308 
approximately Solar_eclipse_of_September_2,_2035.txt 1 152 
pyongyang Solar_eclipse_of_September_2,_2035.txt 1 122 
177 Solar_eclipse_of_September_2,_2035.txt 1 154 
reached Solar_eclipse_of_September_2,_2035.txt 1 205 
total Solar_eclipse_of_September_2,_2035.txt 3 8 46 224 
3009 Solar_eclipse_of_September_2,_2035.txt 1 247 
passes Solar_eclipse_of_September_2,_2035.txt 1 24 
from Solar_eclipse_of_September_2,_2035.txt 1 226 
addition Solar_eclipse_of_September_2,_2035.txt 1 294 
1639 Solar_eclipse_of_September_2,_2035.txt 1 203 
two Solar_eclipse_of_September_2,_2035.txt 1 115 
sunlight Solar_eclipse_of_September_2,_2035.txt 1 63 
2 Solar_eclipse_of_September_2,_2035.txt 2 4 15 
totality Solar_eclipse_of_September_2,_2035.txt 4 68 108 112 262 
6 Solar_eclipse_of_September_2,_2035.txt 1 212 
was Solar_eclipse_of_September_2,_2035.txt 1 215 
1/5 Solar_eclipse_of_September_2,_2035.txt 1 299 
partly Solar_eclipse_of_September_2,_2035.txt 1 33 
that Solar_eclipse_of_September_2,_2035.txt 1 301 
started Solar_eclipse_of_September_2,_2035.txt 1 194 
apparent Solar_eclipse_of_September_2,_2035.txt 1 53 
visibility Solar_eclipse_of_September_2,_2035.txt 1 92 
part Solar_eclipse_of_September_2,_2035.txt 1 176 
external Solar_eclipse_of_September_2,_2035.txt 1 310 
solar Solar_eclipse_of_September_2,_2035.txt 9 0 9 18 47 80 137 149 172 198 
obscuring Solar_eclipse_of_September_2,_2035.txt 1 34 
with Solar_eclipse_of_September_2,_2035.txt 3 77 195 257 
than Solar_eclipse_of_September_2,_2035.txt 1 57 
11 Solar_eclipse_of_September_2,_2035.txt 1 185 
wide Solar_eclipse_of_September_2,_2035.txt 1 90 
12 Solar_eclipse_of_September_2,_2035.txt 1 266 
17 Solar_eclipse_of_September_2,_2035.txt 2 221 246 
tokyo Solar_eclipse_of_September_2,_2035.txt 1 132 
this Solar_eclipse_of_September_2,_2035.txt 1 171 
18 Solar_eclipse_of_September_2,_2035.txt 1 183 
eclipse Solar_eclipse_of_September_2,_2035.txt 11 1 10 19 48 81 97 173 199 209 243 250 
maximum Solar_eclipse_of_September_2,_2035.txt 1 259 
will Solar_eclipse_of_September_2,_2035.txt 4 11 113 126 251 
1387.94 Solar_eclipse_of_September_2,_2035.txt 1 306 
japan Solar_eclipse_of_September_2,_2035.txt 1 133 
eclipses Solar_eclipse_of_September_2,_2035.txt 6 135 138 150 225 275 285 
minutes Solar_eclipse_of_September_2,_2035.txt 1 265 
and Solar_eclipse_of_September_2,_2035.txt 6 27 121 125 156 204 223 
beijing Solar_eclipse_of_September_2,_2035.txt 1 119 
links Solar_eclipse_of_September_2,_2035.txt 1 311 
viewer Solar_eclipse_of_September_2,_2035.txt 1 42 
is Solar_eclipse_of_September_2,_2035.txt 2 55 174 
1927 Solar_eclipse_of_September_2,_2035.txt 1 229 
it Solar_eclipse_of_September_2,_2035.txt 1 214 
surface Solar_eclipse_of_September_2,_2035.txt 1 76 
as Solar_eclipse_of_September_2,_2035.txt 1 240 
at Solar_eclipse_of_September_2,_2035.txt 2 161 237 
in Solar_eclipse_of_September_2,_2035.txt 5 70 101 144 287 293 
north Solar_eclipse_of_September_2,_2035.txt 2 123 128 
occur Solar_eclipse_of_September_2,_2035.txt 3 12 252 286 
contents Solar_eclipse_of_September_2,_2035.txt 1 91 
containing Solar_eclipse_of_September_2,_2035.txt 1 189 
when Solar_eclipse_of_September_2,_2035.txt 2 21 50 
cross Solar_eclipse_of_September_2,_2035.txt 1 114 
same Solar_eclipse_of_September_2,_2035.txt 1 290 
1891 Solar_eclipse_of_September_2,_2035.txt 1 213 
member Solar_eclipse_of_September_2,_2035.txt 2 143 238 
2035 Solar_eclipse_of_September_2,_2035.txt 2 5 16 
animation Solar_eclipse_of_September_2,_2035.txt 1 94 
5 Solar_eclipse_of_September_2,_2035.txt 1 283 
9 Solar_eclipse_of_September_2,_2035.txt 1 232 
events Solar_eclipse_of_September_2,_2035.txt 1 191 
2648 Solar_eclipse_of_September_2,_2035.txt 1 233 
145 Solar_eclipse_of_September_2,_2035.txt 2 169 180 
june Solar_eclipse_of_September_2,_2035.txt 4 211 220 227 254 
77 Solar_eclipse_of_September_2,_2035.txt 2 190 239 
2033-2036 Solar_eclipse_of_September_2,_2035.txt 1 140 
date Solar_eclipse_of_September_2,_2035.txt 1 292 
totally Solar_eclipse_of_September_2,_2035.txt 1 31 
moons Solar_eclipse_of_September_2,_2035.txt 2 52 166 
cycle Solar_eclipse_of_September_2,_2035.txt 1 179 
a Solar_eclipse_of_September_2,_2035.txt 15 7 17 41 45 71 84 130 145 159 175 196 206 216 241 258 
repeats Solar_eclipse_of_September_2,_2035.txt 3 151 274 298 
center Solar_eclipse_of_September_2,_2035.txt 1 103 
third Solar_eclipse_of_September_2,_2035.txt 1 131 
orbit Solar_eclipse_of_September_2,_2035.txt 1 167 
metonic Solar_eclipse_of_September_2,_2035.txt 2 268 272 
octon Solar_eclipse_of_September_2,_2035.txt 1 296 
the Solar_eclipse_of_September_2,_2035.txt 19 22 28 35 38 51 58 78 96 99 102 105 109 165 192 234 248 271 289 295 
first Solar_eclipse_of_September_2,_2035.txt 1 207 
dot Solar_eclipse_of_September_2,_2035.txt 1 100 
nearly Solar_eclipse_of_September_2,_2035.txt 1 288 
