partial Solar_eclipse_of_April_29,_2014.txt 2 81 107 
earths Solar_eclipse_of_April_29,_2014.txt 1 102 
annular Solar_eclipse_of_April_29,_2014.txt 4 8 45 76 119 
hours Solar_eclipse_of_April_29,_2014.txt 1 155 
appears Solar_eclipse_of_April_29,_2014.txt 1 78 
on Solar_eclipse_of_April_29,_2014.txt 2 12 42 
about Solar_eclipse_of_April_29,_2014.txt 1 179 
hidden Solar_eclipse_of_April_29,_2014.txt 1 210 
of Solar_eclipse_of_April_29,_2014.txt 11 2 36 61 86 90 95 113 127 145 161 197 
region Solar_eclipse_of_April_29,_2014.txt 1 85 
days Solar_eclipse_of_April_29,_2014.txt 3 152 177 204 
april Solar_eclipse_of_April_29,_2014.txt 2 3 13 
s Solar_eclipse_of_April_29,_2014.txt 1 98 
repeats Solar_eclipse_of_April_29,_2014.txt 3 148 171 195 
or Solar_eclipse_of_April_29,_2014.txt 2 31 199 
south Solar_eclipse_of_April_29,_2014.txt 1 103 
diameter Solar_eclipse_of_April_29,_2014.txt 1 53 
image Solar_eclipse_of_April_29,_2014.txt 1 35 
visible Solar_eclipse_of_April_29,_2014.txt 2 110 122 
semester Solar_eclipse_of_April_29,_2014.txt 2 143 157 
references Solar_eclipse_of_April_29,_2014.txt 1 207 
177 Solar_eclipse_of_April_29,_2014.txt 1 151 
ring Solar_eclipse_of_April_29,_2014.txt 1 74 
passes Solar_eclipse_of_April_29,_2014.txt 1 23 
from Solar_eclipse_of_April_29,_2014.txt 2 111 123 
addition Solar_eclipse_of_April_29,_2014.txt 1 191 
approximately Solar_eclipse_of_April_29,_2014.txt 1 149 
was Solar_eclipse_of_April_29,_2014.txt 2 109 121 
1/5 Solar_eclipse_of_April_29,_2014.txt 1 196 
partly Solar_eclipse_of_April_29,_2014.txt 1 32 
that Solar_eclipse_of_April_29,_2014.txt 1 198 
apparent Solar_eclipse_of_April_29,_2014.txt 1 52 
occurred Solar_eclipse_of_April_29,_2014.txt 1 11 
but Solar_eclipse_of_April_29,_2014.txt 1 105 
part Solar_eclipse_of_April_29,_2014.txt 1 126 
solar Solar_eclipse_of_April_29,_2014.txt 6 0 9 17 46 135 146 
obscuring Solar_eclipse_of_April_29,_2014.txt 1 33 
than Solar_eclipse_of_April_29,_2014.txt 1 56 
wide Solar_eclipse_of_April_29,_2014.txt 1 92 
look Solar_eclipse_of_April_29,_2014.txt 1 70 
19 Solar_eclipse_of_April_29,_2014.txt 1 174 
eclipse Solar_eclipse_of_April_29,_2014.txt 8 1 10 18 47 77 82 108 120 
antarctica Solar_eclipse_of_April_29,_2014.txt 2 114 128 
1387.94 Solar_eclipse_of_April_29,_2014.txt 1 203 
eclipses Solar_eclipse_of_April_29,_2014.txt 5 133 136 147 172 182 
and Solar_eclipse_of_April_29,_2014.txt 5 26 65 115 117 153 
viewer Solar_eclipse_of_April_29,_2014.txt 1 41 
is Solar_eclipse_of_April_29,_2014.txt 1 54 
an Solar_eclipse_of_April_29,_2014.txt 5 7 44 72 75 118 
as Solar_eclipse_of_April_29,_2014.txt 1 79 
at Solar_eclipse_of_April_29,_2014.txt 1 158 
in Solar_eclipse_of_April_29,_2014.txt 3 141 184 190 
occur Solar_eclipse_of_April_29,_2014.txt 1 183 
contents Solar_eclipse_of_April_29,_2014.txt 1 129 
when Solar_eclipse_of_April_29,_2014.txt 2 20 49 
same Solar_eclipse_of_April_29,_2014.txt 1 187 
member Solar_eclipse_of_April_29,_2014.txt 1 140 
causing Solar_eclipse_of_April_29,_2014.txt 1 66 
5 Solar_eclipse_of_April_29,_2014.txt 1 180 
most Solar_eclipse_of_April_29,_2014.txt 1 60 
date Solar_eclipse_of_April_29,_2014.txt 1 189 
totally Solar_eclipse_of_April_29,_2014.txt 1 30 
a Solar_eclipse_of_April_29,_2014.txt 7 16 40 80 84 124 142 156 
annulus Solar_eclipse_of_April_29,_2014.txt 1 73 
center Solar_eclipse_of_April_29,_2014.txt 1 94 
light Solar_eclipse_of_April_29,_2014.txt 1 64 
orbit Solar_eclipse_of_April_29,_2014.txt 1 164 
metonic Solar_eclipse_of_April_29,_2014.txt 2 165 169 
octon Solar_eclipse_of_April_29,_2014.txt 1 193 
the Solar_eclipse_of_April_29,_2014.txt 17 21 27 34 37 50 57 62 67 87 93 96 101 106 162 168 186 192 
