summer Solar_eclipse_of_January_5,_1935.txt 1 17 
antarctic Solar_eclipse_of_January_5,_1935.txt 2 176 255 
passes Solar_eclipse_of_January_5,_1935.txt 1 25 
from Solar_eclipse_of_January_5,_1935.txt 1 186 
area Solar_eclipse_of_January_5,_1935.txt 1 171 
1639 Solar_eclipse_of_January_5,_1935.txt 1 138 
approximately Solar_eclipse_of_January_5,_1935.txt 1 283 
next Solar_eclipse_of_January_5,_1935.txt 2 83 120 
much Solar_eclipse_of_January_5,_1935.txt 1 95 
was Solar_eclipse_of_January_5,_1935.txt 8 72 85 100 131 163 237 241 259 
partly Solar_eclipse_of_January_5,_1935.txt 1 34 
that Solar_eclipse_of_January_5,_1935.txt 4 77 80 130 222 
occurred Solar_eclipse_of_January_5,_1935.txt 3 11 134 199 
110th Solar_eclipse_of_January_5,_1935.txt 1 233 
hemisphere Solar_eclipse_of_January_5,_1935.txt 1 89 
part Solar_eclipse_of_January_5,_1935.txt 1 223 
related Solar_eclipse_of_January_5,_1935.txt 1 266 
solar Solar_eclipse_of_January_5,_1935.txt 8 0 9 19 48 105 128 269 280 
obscuring Solar_eclipse_of_January_5,_1935.txt 1 35 
with Solar_eclipse_of_January_5,_1935.txt 1 108 
nodes Solar_eclipse_of_January_5,_1935.txt 1 294 
10 Solar_eclipse_of_January_5,_1935.txt 1 117 
eclipse Solar_eclipse_of_January_5,_1935.txt 9 1 10 20 49 103 122 129 198 258 
antarctica Solar_eclipse_of_January_5,_1935.txt 2 187 225 
110.2 Solar_eclipse_of_January_5,_1935.txt 1 209 
eclipses Solar_eclipse_of_January_5,_1935.txt 4 76 267 270 281 
minutes Solar_eclipse_of_January_5,_1935.txt 2 118 150 
and Solar_eclipse_of_January_5,_1935.txt 6 28 93 139 145 208 287 
mini Solar_eclipse_of_January_5,_1935.txt 1 121 
links Solar_eclipse_of_January_5,_1935.txt 1 302 
century Solar_eclipse_of_January_5,_1935.txt 1 265 
viewer Solar_eclipse_of_January_5,_1935.txt 1 43 
is Solar_eclipse_of_January_5,_1935.txt 1 152 
moved Solar_eclipse_of_January_5,_1935.txt 2 214 242 
it Solar_eclipse_of_January_5,_1935.txt 4 71 99 236 240 
orbit Solar_eclipse_of_January_5,_1935.txt 1 298 
as Solar_eclipse_of_January_5,_1935.txt 4 151 211 239 246 
at Solar_eclipse_of_January_5,_1935.txt 5 192 200 206 231 292 
in Solar_eclipse_of_January_5,_1935.txt 7 51 86 123 188 221 262 275 
north Solar_eclipse_of_January_5,_1935.txt 3 97 173 226 
contents Solar_eclipse_of_January_5,_1935.txt 1 68 
axis Solar_eclipse_of_January_5,_1935.txt 1 248 
when Solar_eclipse_of_January_5,_1935.txt 2 22 58 
1 Solar_eclipse_of_January_5,_1935.txt 1 155 
5 Solar_eclipse_of_January_5,_1935.txt 2 4 14 
offshore Solar_eclipse_of_January_5,_1935.txt 1 185 
polar Solar_eclipse_of_January_5,_1935.txt 1 53 
towards Solar_eclipse_of_January_5,_1935.txt 2 215 243 
description Solar_eclipse_of_January_5,_1935.txt 1 69 
categories Solar_eclipse_of_January_5,_1935.txt 2 304 306 
took Solar_eclipse_of_January_5,_1935.txt 2 78 180 
saros Solar_eclipse_of_January_5,_1935.txt 1 106 
america Solar_eclipse_of_January_5,_1935.txt 1 98 
totally Solar_eclipse_of_January_5,_1935.txt 1 32 
a Solar_eclipse_of_January_5,_1935.txt 7 7 18 42 46 141 276 290 
short Solar_eclipse_of_January_5,_1935.txt 1 133 
center Solar_eclipse_of_January_5,_1935.txt 2 60 158 
lasted Solar_eclipse_of_January_5,_1935.txt 1 146 
km Solar_eclipse_of_January_5,_1935.txt 1 168 
ocean Solar_eclipse_of_January_5,_1935.txt 1 191 
greatest Solar_eclipse_of_January_5,_1935.txt 1 197 
time Solar_eclipse_of_January_5,_1935.txt 1 205 
every Solar_eclipse_of_January_5,_1935.txt 1 284 
the Solar_eclipse_of_January_5,_1935.txt 36 23 29 36 39 52 56 59 62 66 82 87 101 109 113 119 126 157 160 170 175 178 189 193 196 212 216 219 228 232 244 247 254 257 260 263 296 
obscuration Solar_eclipse_of_January_5,_1935.txt 1 156 
external Solar_eclipse_of_January_5,_1935.txt 1 301 
