summer Solar_eclipse_of_November_25,_2011.txt 1 74 
antarctic Solar_eclipse_of_November_25,_2011.txt 1 95 
total Solar_eclipse_of_November_25,_2011.txt 1 141 
20112014 Solar_eclipse_of_November_25,_2011.txt 1 152 
passes Solar_eclipse_of_November_25,_2011.txt 1 23 
proceeded Solar_eclipse_of_November_25,_2011.txt 1 139 
addition Solar_eclipse_of_November_25,_2011.txt 1 206 
there Solar_eclipse_of_November_25,_2011.txt 1 224 
sunlight Solar_eclipse_of_November_25,_2011.txt 1 77 
was Solar_eclipse_of_November_25,_2011.txt 2 68 105 
cite Solar_eclipse_of_November_25,_2011.txt 1 222 
zealand Solar_eclipse_of_November_25,_2011.txt 1 80 
1/5 Solar_eclipse_of_November_25,_2011.txt 1 211 
partly Solar_eclipse_of_November_25,_2011.txt 1 32 
that Solar_eclipse_of_November_25,_2011.txt 1 213 
occurred Solar_eclipse_of_November_25,_2011.txt 2 11 145 
but Solar_eclipse_of_November_25,_2011.txt 1 232 
peninsula Solar_eclipse_of_November_25,_2011.txt 1 96 
western Solar_eclipse_of_November_25,_2011.txt 1 94 
solar Solar_eclipse_of_November_25,_2011.txt 7 0 9 17 46 111 150 161 
reflist|groupnote Solar_eclipse_of_November_25,_2011.txt 1 240 
obscuring Solar_eclipse_of_November_25,_2011.txt 1 33 
july Solar_eclipse_of_November_25,_2011.txt 1 127 
with Solar_eclipse_of_November_25,_2011.txt 2 83 115 
than Solar_eclipse_of_November_25,_2011.txt 1 85 
10 Solar_eclipse_of_November_25,_2011.txt 1 148 
this Solar_eclipse_of_November_25,_2011.txt 3 66 104 230 
eclipse Solar_eclipse_of_November_25,_2011.txt 6 1 10 18 47 67 143 
will Solar_eclipse_of_November_25,_2011.txt 1 235 
near Solar_eclipse_of_November_25,_2011.txt 1 81 
1387.94 Solar_eclipse_of_November_25,_2011.txt 1 218 
error Solar_eclipse_of_November_25,_2011.txt 1 223 
eclipses Solar_eclipse_of_November_25,_2011.txt 6 112 136 151 162 187 197 
animated Solar_eclipse_of_November_25,_2011.txt 1 133 
and Solar_eclipse_of_November_25,_2011.txt 4 26 78 126 168 
viewer Solar_eclipse_of_November_25,_2011.txt 1 41 
december Solar_eclipse_of_November_25,_2011.txt 1 147 
it Solar_eclipse_of_November_25,_2011.txt 1 138 
antarctica Solar_eclipse_of_November_25,_2011.txt 1 71 
at Solar_eclipse_of_November_25,_2011.txt 1 173 
in Solar_eclipse_of_November_25,_2011.txt 6 49 72 113 156 199 205 
occur Solar_eclipse_of_November_25,_2011.txt 1 198 
contents Solar_eclipse_of_November_25,_2011.txt 1 130 
when Solar_eclipse_of_November_25,_2011.txt 2 20 56 
same Solar_eclipse_of_November_25,_2011.txt 1 202 
regions Solar_eclipse_of_November_25,_2011.txt 1 52 
parts Solar_eclipse_of_November_25,_2011.txt 1 91 
5 Solar_eclipse_of_November_25,_2011.txt 1 195 
which Solar_eclipse_of_November_25,_2011.txt 1 144 
polar Solar_eclipse_of_November_25,_2011.txt 1 51 
experienced Solar_eclipse_of_November_25,_2011.txt 1 97 
june Solar_eclipse_of_November_25,_2011.txt 1 123 
date Solar_eclipse_of_November_25,_2011.txt 1 204 
totally Solar_eclipse_of_November_25,_2011.txt 1 30 
a Solar_eclipse_of_November_25,_2011.txt 7 7 16 40 44 157 171 239 
center Solar_eclipse_of_November_25,_2011.txt 1 58 
orbit Solar_eclipse_of_November_25,_2011.txt 1 179 
without Solar_eclipse_of_November_25,_2011.txt 1 238 
1 Solar_eclipse_of_November_25,_2011.txt 2 124 128 
sunset Solar_eclipse_of_November_25,_2011.txt 1 82 
metonic Solar_eclipse_of_November_25,_2011.txt 2 180 184 
octon Solar_eclipse_of_November_25,_2011.txt 1 208 
the Solar_eclipse_of_November_25,_2011.txt 21 21 27 34 37 50 54 57 60 64 88 93 102 106 116 140 177 183 201 207 233 243 
obscuration Solar_eclipse_of_November_25,_2011.txt 1 100 
