all Solar_eclipse_of_July_22,_1990.txt 1 60 
or Solar_eclipse_of_July_22,_1990.txt 3 31 270 331 
72 Solar_eclipse_of_July_22,_1990.txt 1 254 
diameter Solar_eclipse_of_July_22,_1990.txt 1 53 
2459 Solar_eclipse_of_July_22,_1990.txt 1 262 
image Solar_eclipse_of_July_22,_1990.txt 1 35 
visible Solar_eclipse_of_July_22,_1990.txt 2 81 92 
semester Solar_eclipse_of_July_22,_1990.txt 2 161 175 
references Solar_eclipse_of_July_22,_1990.txt 1 339 
approximately Solar_eclipse_of_July_22,_1990.txt 1 167 
177 Solar_eclipse_of_July_22,_1990.txt 1 169 
total Solar_eclipse_of_July_22,_1990.txt 4 8 45 239 271 
passes Solar_eclipse_of_July_22,_1990.txt 1 23 
from Solar_eclipse_of_July_22,_1990.txt 3 218 229 241 
union Solar_eclipse_of_July_22,_1990.txt 1 98 
contains Solar_eclipse_of_July_22,_1990.txt 2 215 238 
sunlight Solar_eclipse_of_July_22,_1990.txt 1 62 
2 Solar_eclipse_of_July_22,_1990.txt 1 289 
totality Solar_eclipse_of_July_22,_1990.txt 3 67 90 287 
series Solar_eclipse_of_July_22,_1990.txt 4 162 204 250 302 
was Solar_eclipse_of_July_22,_1990.txt 5 91 131 139 272 288 
18 Solar_eclipse_of_July_22,_1990.txt 1 196 
1/5 Solar_eclipse_of_July_22,_1990.txt 1 328 
partly Solar_eclipse_of_July_22,_1990.txt 1 32 
eastern Solar_eclipse_of_July_22,_1990.txt 1 107 
started Solar_eclipse_of_July_22,_1990.txt 1 205 
apparent Solar_eclipse_of_July_22,_1990.txt 1 52 
occurred Solar_eclipse_of_July_22,_1990.txt 2 11 119 
photos Solar_eclipse_of_July_22,_1990.txt 1 341 
part Solar_eclipse_of_July_22,_1990.txt 1 189 
1864 Solar_eclipse_of_July_22,_1990.txt 1 236 
solar Solar_eclipse_of_July_22,_1990.txt 9 0 9 17 46 79 117 153 164 208 
obscuring Solar_eclipse_of_July_22,_1990.txt 1 33 
july Solar_eclipse_of_July_22,_1990.txt 3 3 13 294 
with Solar_eclipse_of_July_22,_1990.txt 2 76 206 
than Solar_eclipse_of_July_22,_1990.txt 1 56 
11 Solar_eclipse_of_July_22,_1990.txt 1 198 
wide Solar_eclipse_of_July_22,_1990.txt 1 89 
amukta Solar_eclipse_of_July_22,_1990.txt 1 111 
17 Solar_eclipse_of_July_22,_1990.txt 1 243 
19 Solar_eclipse_of_July_22,_1990.txt 1 306 
local Solar_eclipse_of_July_22,_1990.txt 1 147 
1972 Solar_eclipse_of_July_22,_1990.txt 1 296 
enabled Solar_eclipse_of_July_22,_1990.txt 1 123 
eclipsed Solar_eclipse_of_July_22,_1990.txt 1 141 
1387.94 Solar_eclipse_of_July_22,_1990.txt 1 335 
about Solar_eclipse_of_July_22,_1990.txt 1 311 
eclipses Solar_eclipse_of_July_22,_1990.txt 8 151 154 165 217 228 240 304 314 
minutes Solar_eclipse_of_July_22,_1990.txt 2 274 290 
russia Solar_eclipse_of_July_22,_1990.txt 1 105 
and Solar_eclipse_of_July_22,_1990.txt 8 26 103 106 110 122 125 171 226 
larger Solar_eclipse_of_July_22,_1990.txt 1 55 
estonia Solar_eclipse_of_July_22,_1990.txt 1 102 
viewer Solar_eclipse_of_July_22,_1990.txt 1 41 
is Solar_eclipse_of_July_22,_1990.txt 2 54 187 
it Solar_eclipse_of_July_22,_1990.txt 3 186 214 237 
surface Solar_eclipse_of_July_22,_1990.txt 1 75 
days Solar_eclipse_of_July_22,_1990.txt 4 170 199 309 336 
as Solar_eclipse_of_July_22,_1990.txt 1 255 
at Solar_eclipse_of_July_22,_1990.txt 3 145 176 252 
in Solar_eclipse_of_July_22,_1990.txt 7 69 93 114 142 159 316 322 
occur Solar_eclipse_of_July_22,_1990.txt 1 315 
contents Solar_eclipse_of_July_22,_1990.txt 1 149 
containing Solar_eclipse_of_July_22,_1990.txt 1 200 
1810 Solar_eclipse_of_July_22,_1990.txt 1 225 
46 Solar_eclipse_of_July_22,_1990.txt 1 275 
began Solar_eclipse_of_July_22,_1990.txt 1 144 
that Solar_eclipse_of_July_22,_1990.txt 1 330 
when Solar_eclipse_of_July_22,_1990.txt 2 20 49 
same Solar_eclipse_of_July_22,_1990.txt 1 319 
hampered Solar_eclipse_of_July_22,_1990.txt 1 133 
5 Solar_eclipse_of_July_22,_1990.txt 2 273 312 
3.8 Solar_eclipse_of_July_22,_1990.txt 1 333 
which Solar_eclipse_of_July_22,_1990.txt 1 130 
events Solar_eclipse_of_July_22,_1990.txt 1 202 
10 Solar_eclipse_of_July_22,_1990.txt 2 212 295 
may Solar_eclipse_of_July_22,_1990.txt 3 234 242 260 
southern Solar_eclipse_of_July_22,_1990.txt 1 94 
1179 Solar_eclipse_of_July_22,_1990.txt 1 213 
saros Solar_eclipse_of_July_22,_1990.txt 2 183 191 
71 Solar_eclipse_of_July_22,_1990.txt 1 201 
date Solar_eclipse_of_July_22,_1990.txt 1 321 
totally Solar_eclipse_of_July_22,_1990.txt 2 30 140 
1882 Solar_eclipse_of_July_22,_1990.txt 1 244 
cycle Solar_eclipse_of_July_22,_1990.txt 2 192 298 
a Solar_eclipse_of_July_22,_1990.txt 10 7 16 40 44 70 83 160 174 188 256 
andreanof Solar_eclipse_of_July_22,_1990.txt 1 108 
observation Solar_eclipse_of_July_22,_1990.txt 1 124 
helsinki Solar_eclipse_of_July_22,_1990.txt 1 143 
orbit Solar_eclipse_of_July_22,_1990.txt 1 182 
without Solar_eclipse_of_July_22,_1990.txt 1 127 
metonic Solar_eclipse_of_July_22,_1990.txt 2 297 301 
time Solar_eclipse_of_July_22,_1990.txt 1 148 
octon Solar_eclipse_of_July_22,_1990.txt 1 325 
the Solar_eclipse_of_July_22,_1990.txt 18 21 27 34 37 50 57 77 96 116 137 180 203 249 263 283 300 318 324 
lasting Solar_eclipse_of_July_22,_1990.txt 1 310 
soviet Solar_eclipse_of_July_22,_1990.txt 1 97 
nearly Solar_eclipse_of_July_22,_1990.txt 1 317 
