45.1n Solar_eclipse_of_August_11,_1999.txt 1 142 
was Solar_eclipse_of_August_11,_1999.txt 8 111 135 188 233 293 310 325 446 
18 Solar_eclipse_of_August_11,_1999.txt 1 414 
4 Solar_eclipse_of_August_11,_1999.txt 2 388 433 
1/5 Solar_eclipse_of_August_11,_1999.txt 1 530 
partly Solar_eclipse_of_August_11,_1999.txt 1 38 
19 Solar_eclipse_of_August_11,_1999.txt 1 508 
started Solar_eclipse_of_August_11,_1999.txt 1 425 
organized Solar_eclipse_of_August_11,_1999.txt 1 267 
offered Solar_eclipse_of_August_11,_1999.txt 1 256 
apparent Solar_eclipse_of_August_11,_1999.txt 1 58 
occurred Solar_eclipse_of_August_11,_1999.txt 1 11 
visibility Solar_eclipse_of_August_11,_1999.txt 1 258 
broadcast Solar_eclipse_of_August_11,_1999.txt 1 326 
part Solar_eclipse_of_August_11,_1999.txt 1 407 
atlantic Solar_eclipse_of_August_11,_1999.txt 1 106 
rmnicu Solar_eclipse_of_August_11,_1999.txt 1 156 
solar Solar_eclipse_of_August_11,_1999.txt 10 0 9 23 52 85 239 369 380 403 429 
russian Solar_eclipse_of_August_11,_1999.txt 1 315 
obscuring Solar_eclipse_of_August_11,_1999.txt 1 39 
july Solar_eclipse_of_August_11,_1999.txt 1 198 
with Solar_eclipse_of_August_11,_1999.txt 4 16 82 426 488 
than Solar_eclipse_of_August_11,_1999.txt 1 62 
population Solar_eclipse_of_August_11,_1999.txt 1 225 
11 Solar_eclipse_of_August_11,_1999.txt 3 4 13 416 
wide Solar_eclipse_of_August_11,_1999.txt 1 95 
television Solar_eclipse_of_August_11,_1999.txt 1 329 
made Solar_eclipse_of_August_11,_1999.txt 1 343 
17 Solar_eclipse_of_August_11,_1999.txt 2 452 477 
1999 Solar_eclipse_of_August_11,_1999.txt 3 5 15 346 
type Solar_eclipse_of_August_11,_1999.txt 1 361 
tip Solar_eclipse_of_August_11,_1999.txt 1 168 
eclipse Solar_eclipse_of_August_11,_1999.txt 18 1 10 18 24 53 86 192 216 305 321 348 354 364 404 430 440 474 481 
maximum Solar_eclipse_of_August_11,_1999.txt 2 134 490 
will Solar_eclipse_of_August_11,_1999.txt 1 482 
near Solar_eclipse_of_August_11,_1999.txt 1 155 
1387.94 Solar_eclipse_of_August_11,_1999.txt 1 537 
video Solar_eclipse_of_August_11,_1999.txt 2 277 322 
eclipses Solar_eclipse_of_August_11,_1999.txt 8 133 240 367 370 381 456 506 516 
animated Solar_eclipse_of_August_11,_1999.txt 1 337 
minutes Solar_eclipse_of_August_11,_1999.txt 1 496 
called Solar_eclipse_of_August_11,_1999.txt 1 152 
history Solar_eclipse_of_August_11,_1999.txt 1 243 
and Solar_eclipse_of_August_11,_1999.txt 11 32 108 127 158 176 180 200 334 387 435 454 
alternating Solar_eclipse_of_August_11,_1999.txt 1 393 
viewer Solar_eclipse_of_August_11,_1999.txt 1 47 
is Solar_eclipse_of_August_11,_1999.txt 2 60 405 
1927 Solar_eclipse_of_August_11,_1999.txt 2 211 460 
india Solar_eclipse_of_August_11,_1999.txt 1 179 
it Solar_eclipse_of_August_11,_1999.txt 4 159 187 288 445 
surface Solar_eclipse_of_August_11,_1999.txt 1 81 
an Solar_eclipse_of_August_11,_1999.txt 1 17 
high Solar_eclipse_of_August_11,_1999.txt 1 224 
2522 Solar_eclipse_of_August_11,_1999.txt 1 487 
as Solar_eclipse_of_August_11,_1999.txt 3 217 287 471 
substantial Solar_eclipse_of_August_11,_1999.txt 1 294 
at Solar_eclipse_of_August_11,_1999.txt 4 136 139 392 468 
in Solar_eclipse_of_August_11,_1999.txt 13 75 104 146 178 182 204 227 241 247 253 375 518 524 
seen Solar_eclipse_of_August_11,_1999.txt 1 218 
11:03 Solar_eclipse_of_August_11,_1999.txt 1 137 
1891 Solar_eclipse_of_August_11,_1999.txt 1 444 
vlcea Solar_eclipse_of_August_11,_1999.txt 1 157 
containing Solar_eclipse_of_August_11,_1999.txt 1 420 
united Solar_eclipse_of_August_11,_1999.txt 2 115 206 
january Solar_eclipse_of_August_11,_1999.txt 1 432 
began Solar_eclipse_of_August_11,_1999.txt 1 103 
that Solar_eclipse_of_August_11,_1999.txt 1 532 
when Solar_eclipse_of_August_11,_1999.txt 2 26 55 
same Solar_eclipse_of_August_11,_1999.txt 1 521 
bengal Solar_eclipse_of_August_11,_1999.txt 1 186 
note Solar_eclipse_of_August_11,_1999.txt 1 342 
adverse Solar_eclipse_of_August_11,_1999.txt 1 261 
5 Solar_eclipse_of_August_11,_1999.txt 1 514 
contents Solar_eclipse_of_August_11,_1999.txt 1 212 
which Solar_eclipse_of_August_11,_1999.txt 1 280 
9 Solar_eclipse_of_August_11,_1999.txt 1 463 
categories Solar_eclipse_of_August_11,_1999.txt 1 546 
mir Solar_eclipse_of_August_11,_1999.txt 2 316 324 
showing Solar_eclipse_of_August_11,_1999.txt 1 352 
2648 Solar_eclipse_of_August_11,_1999.txt 1 464 
map Solar_eclipse_of_August_11,_1999.txt 1 358 
fr Solar_eclipse_of_August_11,_1999.txt 1 129 
towards Solar_eclipse_of_August_11,_1999.txt 1 290 
most-viewed Solar_eclipse_of_August_11,_1999.txt 1 237 
lasting Solar_eclipse_of_August_11,_1999.txt 1 512 
southern Solar_eclipse_of_August_11,_1999.txt 3 114 121 174 
77 Solar_eclipse_of_August_11,_1999.txt 2 421 470 
slovenia Solar_eclipse_of_August_11,_1999.txt 1 124 
germany Solar_eclipse_of_August_11,_1999.txt 1 122 
saros Solar_eclipse_of_August_11,_1999.txt 2 399 409 
coverage Solar_eclipse_of_August_11,_1999.txt 1 295 
date Solar_eclipse_of_August_11,_1999.txt 1 523 
totally Solar_eclipse_of_August_11,_1999.txt 1 36 
gallery Solar_eclipse_of_August_11,_1999.txt 1 330 
cycle Solar_eclipse_of_August_11,_1999.txt 1 410 
a Solar_eclipse_of_August_11,_1999.txt 15 7 22 46 50 76 89 150 376 390 406 427 437 447 472 489 
repeats Solar_eclipse_of_August_11,_1999.txt 3 382 505 529 
24.3e Solar_eclipse_of_August_11,_1999.txt 1 143 
june Solar_eclipse_of_August_11,_1999.txt 5 210 442 451 458 485 
orbit Solar_eclipse_of_August_11,_1999.txt 1 398 
ocean Solar_eclipse_of_August_11,_1999.txt 1 107 
metonic Solar_eclipse_of_August_11,_1999.txt 2 499 503 
octon Solar_eclipse_of_August_11,_1999.txt 1 527 
the Solar_eclipse_of_August_11,_1999.txt 42 27 33 40 43 56 63 83 96 99 105 113 132 163 183 189 201 205 215 223 230 236 248 266 271 284 301 304 307 314 320 345 350 353 357 363 396 423 465 479 502 520 526 
12 Solar_eclipse_of_August_11,_1999.txt 1 497 
western Solar_eclipse_of_August_11,_1999.txt 1 254 
