all Solar_eclipse_of_April_8,_2024.txt 2 67 289 
hours Solar_eclipse_of_April_8,_2024.txt 2 647 675 
4000bc Solar_eclipse_of_April_8,_2024.txt 1 795 
path Solar_eclipse_of_April_8,_2024.txt 8 79 195 385 419 501 514 528 535 
eclipses Solar_eclipse_of_April_8,_2024.txt 12 525 607 620 628 639 693 704 862 875 885 910 921 
39 Solar_eclipse_of_April_8,_2024.txt 1 777 
fredericton Solar_eclipse_of_April_8,_2024.txt 1 453 
canadian Solar_eclipse_of_April_8,_2024.txt 1 487 
1843 Solar_eclipse_of_April_8,_2024.txt 1 708 
tignish Solar_eclipse_of_April_8,_2024.txt 1 461 
larger Solar_eclipse_of_April_8,_2024.txt 1 62 
prior Solar_eclipse_of_April_8,_2024.txt 1 538 
narrow Solar_eclipse_of_April_8,_2024.txt 2 78 202 
montreal Solar_eclipse_of_April_8,_2024.txt 2 442 494 
diameter Solar_eclipse_of_April_8,_2024.txt 1 60 
20222025 Solar_eclipse_of_April_8,_2024.txt 1 629 
visible Solar_eclipse_of_April_8,_2024.txt 8 19 88 140 180 199 273 397 922 
semester Solar_eclipse_of_April_8,_2024.txt 2 635 649 
lima Solar_eclipse_of_April_8,_2024.txt 1 331 
1900 Solar_eclipse_of_April_8,_2024.txt 1 938 
from Solar_eclipse_of_April_8,_2024.txt 5 141 398 705 923 937 
beginning Solar_eclipse_of_April_8,_2024.txt 1 207 
contains Solar_eclipse_of_April_8,_2024.txt 1 691 
two Solar_eclipse_of_April_8,_2024.txt 2 551 617 
by Solar_eclipse_of_April_8,_2024.txt 1 775 
therefore Solar_eclipse_of_April_8,_2024.txt 1 608 
totality Solar_eclipse_of_April_8,_2024.txt 12 74 106 178 196 235 270 368 421 503 516 600 771 
6 Solar_eclipse_of_April_8,_2024.txt 1 763 
indiana Solar_eclipse_of_April_8,_2024.txt 1 311 
brunswick Solar_eclipse_of_April_8,_2024.txt 1 451 
1/5 Solar_eclipse_of_April_8,_2024.txt 1 899 
started Solar_eclipse_of_April_8,_2024.txt 1 681 
apparent Solar_eclipse_of_April_8,_2024.txt 1 59 
visibility Solar_eclipse_of_April_8,_2024.txt 1 191 
central Solar_eclipse_of_April_8,_2024.txt 3 400 449 465 
blocking Solar_eclipse_of_April_8,_2024.txt 1 66 
1991 Solar_eclipse_of_April_8,_2024.txt 2 154 761 
1627 Solar_eclipse_of_April_8,_2024.txt 1 697 
this Solar_eclipse_of_April_8,_2024.txt 4 129 530 787 801 
eclipse Solar_eclipse_of_April_8,_2024.txt 19 1 10 25 54 87 130 137 172 396 409 531 541 685 722 746 757 792 802 932 
longitude Solar_eclipse_of_April_8,_2024.txt 1 829 
island Solar_eclipse_of_April_8,_2024.txt 2 459 467 
newfoundland Solar_eclipse_of_April_8,_2024.txt 2 466 483 
texarkana Solar_eclipse_of_April_8,_2024.txt 1 295 
links Solar_eclipse_of_April_8,_2024.txt 1 944 
december Solar_eclipse_of_April_8,_2024.txt 2 699 706 
states Solar_eclipse_of_April_8,_2024.txt 11 185 222 240 264 269 276 374 402 914 926 936 
niagara Solar_eclipse_of_April_8,_2024.txt 1 432 
occur Solar_eclipse_of_April_8,_2024.txt 2 738 886 
information Solar_eclipse_of_April_8,_2024.txt 1 917 
united Solar_eclipse_of_April_8,_2024.txt 8 184 221 263 268 401 913 925 935 
hampshire Solar_eclipse_of_April_8,_2024.txt 1 361 
matamoros Solar_eclipse_of_April_8,_2024.txt 1 255 
hot Solar_eclipse_of_April_8,_2024.txt 1 302 
may Solar_eclipse_of_April_8,_2024.txt 1 687 
vincennes Solar_eclipse_of_April_8,_2024.txt 1 320 
after Solar_eclipse_of_April_8,_2024.txt 1 407 
southern Solar_eclipse_of_April_8,_2024.txt 3 427 439 555 
saros Solar_eclipse_of_April_8,_2024.txt 2 657 665 
date Solar_eclipse_of_April_8,_2024.txt 1 892 
such Solar_eclipse_of_April_8,_2024.txt 1 490 
upstate Solar_eclipse_of_April_8,_2024.txt 1 343 
a Solar_eclipse_of_April_8,_2024.txt 19 7 23 47 51 77 90 98 201 215 321 590 622 634 648 662 720 804 807 834 
killeen Solar_eclipse_of_April_8,_2024.txt 1 293 
summerside Solar_eclipse_of_April_8,_2024.txt 1 463 
so Solar_eclipse_of_April_8,_2024.txt 1 861 
metonic Solar_eclipse_of_April_8,_2024.txt 2 868 872 
octon Solar_eclipse_of_April_8,_2024.txt 1 896 
geographic Solar_eclipse_of_April_8,_2024.txt 1 742 
nearly Solar_eclipse_of_April_8,_2024.txt 1 888 
over Solar_eclipse_of_April_8,_2024.txt 3 89 372 424 
years Solar_eclipse_of_April_8,_2024.txt 7 406 626 671 822 852 878 905 
produced Solar_eclipse_of_April_8,_2024.txt 1 774 
through Solar_eclipse_of_April_8,_2024.txt 5 218 238 274 698 709 
sinaloa Solar_eclipse_of_April_8,_2024.txt 1 242 
135 Solar_eclipse_of_April_8,_2024.txt 1 815 
139 Solar_eclipse_of_April_8,_2024.txt 2 658 667 
its Solar_eclipse_of_April_8,_2024.txt 1 102 
before Solar_eclipse_of_April_8,_2024.txt 1 225 
1 Solar_eclipse_of_April_8,_2024.txt 1 824 
26 Solar_eclipse_of_April_8,_2024.txt 2 145 711 
21 Solar_eclipse_of_April_8,_2024.txt 4 163 412 544 707 
28 Solar_eclipse_of_April_8,_2024.txt 1 113 
29 Solar_eclipse_of_April_8,_2024.txt 1 781 
tyler Solar_eclipse_of_April_8,_2024.txt 1 296 
2017 Solar_eclipse_of_April_8,_2024.txt 4 164 413 545 604 
northeasterly Solar_eclipse_of_April_8,_2024.txt 1 216 
into Solar_eclipse_of_April_8,_2024.txt 1 72 
texas Solar_eclipse_of_April_8,_2024.txt 2 278 389 
then Solar_eclipse_of_April_8,_2024.txt 2 212 473 
thereby Solar_eclipse_of_April_8,_2024.txt 1 36 
largest Solar_eclipse_of_April_8,_2024.txt 1 380 
harrisburg Solar_eclipse_of_April_8,_2024.txt 1 569 
hamilton Solar_eclipse_of_April_8,_2024.txt 2 431 492 
monclova Solar_eclipse_of_April_8,_2024.txt 1 256 
akron Solar_eclipse_of_April_8,_2024.txt 1 329 
day Solar_eclipse_of_April_8,_2024.txt 1 71 
kilometres Solar_eclipse_of_April_8,_2024.txt 1 95 
february Solar_eclipse_of_April_8,_2024.txt 1 144 
edit Solar_eclipse_of_April_8,_2024.txt 12 192 232 265 415 526 630 659 800 870 915 942 945 
magnitude Solar_eclipse_of_April_8,_2024.txt 1 99 
rock Solar_eclipse_of_April_8,_2024.txt 1 307 
crossing Solar_eclipse_of_April_8,_2024.txt 2 911 933 
repeating Solar_eclipse_of_April_8,_2024.txt 2 668 810 
lasting Solar_eclipse_of_April_8,_2024.txt 1 881 
square Solar_eclipse_of_April_8,_2024.txt 1 593 
series Solar_eclipse_of_April_8,_2024.txt 7 636 666 680 714 799 869 873 
related Solar_eclipse_of_April_8,_2024.txt 1 524 
witness Solar_eclipse_of_April_8,_2024.txt 1 615 
canada Solar_eclipse_of_April_8,_2024.txt 5 142 189 224 414 417 
oklahoma Solar_eclipse_of_April_8,_2024.txt 1 299 
since Solar_eclipse_of_April_8,_2024.txt 4 143 151 161 758 
arkansas Solar_eclipse_of_April_8,_2024.txt 1 300 
7 Solar_eclipse_of_April_8,_2024.txt 1 779 
occurs Solar_eclipse_of_April_8,_2024.txt 3 26 55 75 
turning Solar_eclipse_of_April_8,_2024.txt 1 70 
earths Solar_eclipse_of_April_8,_2024.txt 1 81 
ascending Solar_eclipse_of_April_8,_2024.txt 1 213 
york Solar_eclipse_of_April_8,_2024.txt 1 345 
members Solar_eclipse_of_April_8,_2024.txt 1 727 
ohio Solar_eclipse_of_April_8,_2024.txt 1 327 
torren Solar_eclipse_of_April_8,_2024.txt 2 127 254 
days Solar_eclipse_of_April_8,_2024.txt 5 644 673 819 880 907 
place Solar_eclipse_of_April_8,_2024.txt 1 13 
repeats Solar_eclipse_of_April_8,_2024.txt 3 640 874 898 
austin Solar_eclipse_of_April_8,_2024.txt 1 284 
south Solar_eclipse_of_April_8,_2024.txt 2 521 560 
first Solar_eclipse_of_April_8,_2024.txt 3 134 148 157 
one Solar_eclipse_of_April_8,_2024.txt 1 733 
directly Solar_eclipse_of_April_8,_2024.txt 1 371 
177 Solar_eclipse_of_April_8,_2024.txt 1 643 
city Solar_eclipse_of_April_8,_2024.txt 2 125 381 
little Solar_eclipse_of_April_8,_2024.txt 1 306 
arlington Solar_eclipse_of_April_8,_2024.txt 1 291 
approximately Solar_eclipse_of_April_8,_2024.txt 1 641 
their Solar_eclipse_of_April_8,_2024.txt 1 826 
1501 Solar_eclipse_of_April_8,_2024.txt 1 689 
listed Solar_eclipse_of_April_8,_2024.txt 1 489 
evansville Solar_eclipse_of_April_8,_2024.txt 1 314 
perryville Solar_eclipse_of_April_8,_2024.txt 1 579 
that Solar_eclipse_of_April_8,_2024.txt 1 901 
cornwall Solar_eclipse_of_April_8,_2024.txt 1 436 
part Solar_eclipse_of_April_8,_2024.txt 2 663 805 
western Solar_eclipse_of_April_8,_2024.txt 1 456 
july Solar_eclipse_of_April_8,_2024.txt 4 152 724 759 784 
than Solar_eclipse_of_April_8,_2024.txt 1 63 
11 Solar_eclipse_of_April_8,_2024.txt 5 153 672 696 760 821 
wide Solar_eclipse_of_April_8,_2024.txt 1 96 
13 Solar_eclipse_of_April_8,_2024.txt 1 749 
observatory Solar_eclipse_of_April_8,_2024.txt 1 448 
17 Solar_eclipse_of_April_8,_2024.txt 1 688 
16 Solar_eclipse_of_April_8,_2024.txt 1 785 
19 Solar_eclipse_of_April_8,_2024.txt 1 877 
18 Solar_eclipse_of_April_8,_2024.txt 1 670 
2024 Solar_eclipse_of_April_8,_2024.txt 3 5 18 606 
1387.94 Solar_eclipse_of_April_8,_2024.txt 1 906 
mazatln Solar_eclipse_of_April_8,_2024.txt 1 244 
minus Solar_eclipse_of_April_8,_2024.txt 2 823 853 
and Solar_eclipse_of_April_8,_2024.txt 36 33 112 122 155 188 223 248 251 260 285 288 297 305 319 338 353 355 362 435 444 454 462 464 470 493 507 517 571 578 605 645 702 736 796 828 929 
san Solar_eclipse_of_April_8,_2024.txt 1 282 
viewer Solar_eclipse_of_April_8,_2024.txt 1 48 
ocean Solar_eclipse_of_April_8,_2024.txt 1 230 
windsor Solar_eclipse_of_April_8,_2024.txt 1 504 
contents Solar_eclipse_of_April_8,_2024.txt 1 190 
paths Solar_eclipse_of_April_8,_2024.txt 2 552 598 
u.s Solar_eclipse_of_April_8,_2024.txt 1 160 
rochester Solar_eclipse_of_April_8,_2024.txt 1 348 
dallas Solar_eclipse_of_April_8,_2024.txt 2 292 388 
animation Solar_eclipse_of_April_8,_2024.txt 1 193 
take Solar_eclipse_of_April_8,_2024.txt 1 12 
exeligmos Solar_eclipse_of_April_8,_2024.txt 1 734 
dayton Solar_eclipse_of_April_8,_2024.txt 1 330 
falls Solar_eclipse_of_April_8,_2024.txt 2 337 433 
falls-windsor Solar_eclipse_of_April_8,_2024.txt 1 472 
71 Solar_eclipse_of_April_8,_2024.txt 2 677 718 
america Solar_eclipse_of_April_8,_2024.txt 3 22 187 206 
chester Solar_eclipse_of_April_8,_2024.txt 1 568 
mexico Solar_eclipse_of_April_8,_2024.txt 6 121 150 182 219 231 234 
ending Solar_eclipse_of_April_8,_2024.txt 1 226 
earth Solar_eclipse_of_April_8,_2024.txt 2 32 50 
maine Solar_eclipse_of_April_8,_2024.txt 1 363 
northern Solar_eclipse_of_April_8,_2024.txt 1 356 
only Solar_eclipse_of_April_8,_2024.txt 1 169 
going Solar_eclipse_of_April_8,_2024.txt 1 369 
8 Solar_eclipse_of_April_8,_2024.txt 3 4 17 674 
groupings Solar_eclipse_of_April_8,_2024.txt 2 846 867 
thousands Solar_eclipse_of_April_8,_2024.txt 1 93 
haute Solar_eclipse_of_April_8,_2024.txt 1 318 
toronto Solar_eclipse_of_April_8,_2024.txt 1 506 
perigee Solar_eclipse_of_April_8,_2024.txt 1 844 
anomalistic Solar_eclipse_of_April_8,_2024.txt 2 840 859 
muncie Solar_eclipse_of_April_8,_2024.txt 1 316 
michigan Solar_eclipse_of_April_8,_2024.txt 1 326 
toledo Solar_eclipse_of_April_8,_2024.txt 1 333 
coast Solar_eclipse_of_April_8,_2024.txt 2 211 481 
synchronization Solar_eclipse_of_April_8,_2024.txt 1 837 
longest Solar_eclipse_of_April_8,_2024.txt 4 103 754 768 790 
leamington Solar_eclipse_of_April_8,_2024.txt 1 430 
girardeau Solar_eclipse_of_April_8,_2024.txt 1 576 
1825 Solar_eclipse_of_April_8,_2024.txt 1 701 
london Solar_eclipse_of_April_8,_2024.txt 1 505 
acua Solar_eclipse_of_April_8,_2024.txt 1 259 
cycles Solar_eclipse_of_April_8,_2024.txt 2 850 884 
where Solar_eclipse_of_April_8,_2024.txt 1 177 
computed Solar_eclipse_of_April_8,_2024.txt 1 793 
are Solar_eclipse_of_April_8,_2024.txt 4 495 732 830 863 
austintown Solar_eclipse_of_April_8,_2024.txt 1 339 
close Solar_eclipse_of_April_8,_2024.txt 1 857 
calendar Solar_eclipse_of_April_8,_2024.txt 1 891 
wikipedia Solar_eclipse_of_April_8,_2024.txt 1 6 
3 Solar_eclipse_of_April_8,_2024.txt 3 725 848 854 
moons Solar_eclipse_of_April_8,_2024.txt 2 58 655 
warren Solar_eclipse_of_April_8,_2024.txt 1 335 
across Solar_eclipse_of_April_8,_2024.txt 2 20 80 
ends Solar_eclipse_of_April_8,_2024.txt 1 715 
august Solar_eclipse_of_April_8,_2024.txt 4 162 411 543 695 
cities Solar_eclipse_of_April_8,_2024.txt 2 488 564 
come Solar_eclipse_of_April_8,_2024.txt 1 856 
both Solar_eclipse_of_April_8,_2024.txt 1 602 
irregular Solar_eclipse_of_April_8,_2024.txt 1 831 
similar Solar_eclipse_of_April_8,_2024.txt 1 864 
region Solar_eclipse_of_April_8,_2024.txt 1 92 
april Solar_eclipse_of_April_8,_2024.txt 2 3 16 
mont Solar_eclipse_of_April_8,_2024.txt 1 446 
distinction Solar_eclipse_of_April_8,_2024.txt 1 612 
nearby Solar_eclipse_of_April_8,_2024.txt 1 124 
point Solar_eclipse_of_April_8,_2024.txt 1 376 
period Solar_eclipse_of_April_8,_2024.txt 1 842 
springs Solar_eclipse_of_April_8,_2024.txt 1 303 
earning Solar_eclipse_of_April_8,_2024.txt 1 609 
addition Solar_eclipse_of_April_8,_2024.txt 1 894 
due Solar_eclipse_of_April_8,_2024.txt 1 832 
sabinas Solar_eclipse_of_April_8,_2024.txt 1 257 
direction Solar_eclipse_of_April_8,_2024.txt 1 217 
partly Solar_eclipse_of_April_8,_2024.txt 1 39 
eastern Solar_eclipse_of_April_8,_2024.txt 1 479 
gander Solar_eclipse_of_April_8,_2024.txt 1 469 
external Solar_eclipse_of_April_8,_2024.txt 1 943 
obscuring Solar_eclipse_of_April_8,_2024.txt 1 40 
hidden Solar_eclipse_of_April_8,_2024.txt 1 947 
adirondacks Solar_eclipse_of_April_8,_2024.txt 1 351 
434.044 Solar_eclipse_of_April_8,_2024.txt 1 858 
mount Solar_eclipse_of_April_8,_2024.txt 1 377 
appearance Solar_eclipse_of_April_8,_2024.txt 1 827 
kentucky Solar_eclipse_of_April_8,_2024.txt 2 310 586 
will Solar_eclipse_of_April_8,_2024.txt 15 11 107 131 166 197 236 271 386 391 422 475 532 587 751 772 
33 Solar_eclipse_of_April_8,_2024.txt 1 851 
near Solar_eclipse_of_April_8,_2024.txt 1 115 
negras Solar_eclipse_of_April_8,_2024.txt 1 262 
passes Solar_eclipse_of_April_8,_2024.txt 1 30 
seven Solar_eclipse_of_April_8,_2024.txt 2 405 625 
century Solar_eclipse_of_April_8,_2024.txt 1 176 
almost Solar_eclipse_of_April_8,_2024.txt 1 370 
is Solar_eclipse_of_April_8,_2024.txt 5 61 179 661 788 803 
thus Solar_eclipse_of_April_8,_2024.txt 1 737 
it Solar_eclipse_of_April_8,_2024.txt 6 165 390 474 523 660 690 
surface Solar_eclipse_of_April_8,_2024.txt 1 82 
in Solar_eclipse_of_April_8,_2024.txt 24 76 149 158 173 181 200 204 214 227 233 266 383 403 416 554 557 573 580 633 728 739 865 887 893 
vanish Solar_eclipse_of_April_8,_2024.txt 1 476 
synodic Solar_eclipse_of_April_8,_2024.txt 1 816 
containing Solar_eclipse_of_April_8,_2024.txt 1 676 
cross Solar_eclipse_of_April_8,_2024.txt 1 533 
same Solar_eclipse_of_April_8,_2024.txt 3 730 741 890 
member Solar_eclipse_of_April_8,_2024.txt 3 632 717 776 
parts Solar_eclipse_of_April_8,_2024.txt 3 280 425 437 
grand Solar_eclipse_of_April_8,_2024.txt 1 471 
9 Solar_eclipse_of_April_8,_2024.txt 1 700 
carbondale Solar_eclipse_of_April_8,_2024.txt 2 562 567 
events Solar_eclipse_of_April_8,_2024.txt 1 678 
indianapolis Solar_eclipse_of_April_8,_2024.txt 1 315 
lie Solar_eclipse_of_April_8,_2024.txt 1 509 
palacio Solar_eclipse_of_April_8,_2024.txt 1 250 
totally Solar_eclipse_of_April_8,_2024.txt 1 37 
cycle Solar_eclipse_of_April_8,_2024.txt 1 809 
vermont Solar_eclipse_of_April_8,_2024.txt 1 357 
1979 Solar_eclipse_of_April_8,_2024.txt 1 146 
pennsylvania Solar_eclipse_of_April_8,_2024.txt 1 340 
well Solar_eclipse_of_April_8,_2024.txt 1 583 
roughly Solar_eclipse_of_April_8,_2024.txt 1 591 
antonio Solar_eclipse_of_April_8,_2024.txt 1 283 
edge Solar_eclipse_of_April_8,_2024.txt 1 498 
the Solar_eclipse_of_April_8,_2024.txt 61 28 34 41 44 57 64 84 116 123 133 147 156 159 168 174 183 209 220 228 239 267 275 350 365 373 379 384 393 399 408 418 445 478 486 500 513 527 534 537 547 550 563 597 603 610 654 679 713 729 740 744 753 767 789 839 871 889 895 912 924 934 
just Solar_eclipse_of_April_8,_2024.txt 4 404 510 520 559 
being Solar_eclipse_of_April_8,_2024.txt 2 553 614 
when Solar_eclipse_of_April_8,_2024.txt 2 27 56 
newton Solar_eclipse_of_April_8,_2024.txt 1 336 
prince Solar_eclipse_of_April_8,_2024.txt 1 457 
subseries Solar_eclipse_of_April_8,_2024.txt 1 897 
miramichi Solar_eclipse_of_April_8,_2024.txt 1 455 
4 Solar_eclipse_of_April_8,_2024.txt 1 646 
march Solar_eclipse_of_April_8,_2024.txt 1 710 
jonesboro Solar_eclipse_of_April_8,_2024.txt 1 304 
cape Solar_eclipse_of_April_8,_2024.txt 1 575 
intersection Solar_eclipse_of_April_8,_2024.txt 2 548 595 
apart Solar_eclipse_of_April_8,_2024.txt 1 735 
55 Solar_eclipse_of_April_8,_2024.txt 1 765 
6939.69 Solar_eclipse_of_April_8,_2024.txt 1 879 
some Solar_eclipse_of_April_8,_2024.txt 1 484 
pacific Solar_eclipse_of_April_8,_2024.txt 1 210 
cleveland Solar_eclipse_of_April_8,_2024.txt 1 334 
duration Solar_eclipse_of_April_8,_2024.txt 2 104 769 
3.8 Solar_eclipse_of_April_8,_2024.txt 1 904 
total Solar_eclipse_of_April_8,_2024.txt 10 8 52 135 170 395 539 618 703 755 928 
for Solar_eclipse_of_April_8,_2024.txt 1 46 
moon Solar_eclipse_of_April_8,_2024.txt 1 29 
temple Solar_eclipse_of_April_8,_2024.txt 1 294 
be Solar_eclipse_of_April_8,_2024.txt 11 108 132 139 167 198 272 387 392 588 752 773 
metropolis Solar_eclipse_of_April_8,_2024.txt 1 572 
2601 Solar_eclipse_of_April_8,_2024.txt 1 712 
nazas Solar_eclipse_of_April_8,_2024.txt 1 119 
seconds Solar_eclipse_of_April_8,_2024.txt 3 114 766 782 
each Solar_eclipse_of_April_8,_2024.txt 1 631 
notable Solar_eclipse_of_April_8,_2024.txt 1 927 
between Solar_eclipse_of_April_8,_2024.txt 2 31 794 
on Solar_eclipse_of_April_8,_2024.txt 8 14 49 477 496 686 694 723 783 
about Solar_eclipse_of_April_8,_2024.txt 1 882 
rare Solar_eclipse_of_April_8,_2024.txt 1 611 
2050 Solar_eclipse_of_April_8,_2024.txt 1 940 
column Solar_eclipse_of_April_8,_2024.txt 1 731 
of Solar_eclipse_of_April_8,_2024.txt 49 2 43 94 100 105 109 118 126 186 194 241 277 281 290 325 367 410 420 426 438 482 485 499 502 512 515 522 529 536 542 549 561 565 596 599 601 613 624 637 653 664 747 770 806 836 843 847 900 919 
months Solar_eclipse_of_April_8,_2024.txt 3 817 855 860 
1.0566 Solar_eclipse_of_April_8,_2024.txt 1 101 
or Solar_eclipse_of_April_8,_2024.txt 3 38 820 902 
katahdin Solar_eclipse_of_April_8,_2024.txt 1 378 
image Solar_eclipse_of_April_8,_2024.txt 1 42 
within Solar_eclipse_of_April_8,_2024.txt 2 589 621 
lies Solar_eclipse_of_April_8,_2024.txt 1 519 
references Solar_eclipse_of_April_8,_2024.txt 1 941 
strip Solar_eclipse_of_April_8,_2024.txt 1 203 
tritos Solar_eclipse_of_April_8,_2024.txt 3 798 808 849 
ontario Solar_eclipse_of_April_8,_2024.txt 1 428 
span Solar_eclipse_of_April_8,_2024.txt 1 623 
waco Solar_eclipse_of_April_8,_2024.txt 1 298 
area Solar_eclipse_of_April_8,_2024.txt 2 324 743 
sunlight Solar_eclipse_of_April_8,_2024.txt 1 69 
bloomington Solar_eclipse_of_April_8,_2024.txt 1 313 
north Solar_eclipse_of_April_8,_2024.txt 3 21 205 511 
6000ad Solar_eclipse_of_April_8,_2024.txt 1 797 
but Solar_eclipse_of_April_8,_2024.txt 1 845 
atlantic Solar_eclipse_of_April_8,_2024.txt 2 229 480 
2186 Solar_eclipse_of_April_8,_2024.txt 1 786 
solar Solar_eclipse_of_April_8,_2024.txt 18 0 9 24 53 86 136 171 540 619 627 638 684 745 756 791 909 920 931 
3986.63 Solar_eclipse_of_April_8,_2024.txt 1 818 
line Solar_eclipse_of_April_8,_2024.txt 1 366 
highest Solar_eclipse_of_April_8,_2024.txt 1 375 
with Solar_eclipse_of_April_8,_2024.txt 6 83 97 364 546 682 838 
fort Solar_eclipse_of_April_8,_2024.txt 1 286 
paducah Solar_eclipse_of_April_8,_2024.txt 1 585 
benton Solar_eclipse_of_April_8,_2024.txt 1 566 
minutes Solar_eclipse_of_April_8,_2024.txt 3 111 764 780 
kingston Solar_eclipse_of_April_8,_2024.txt 1 434 
an Solar_eclipse_of_April_8,_2024.txt 1 497 
as Solar_eclipse_of_April_8,_2024.txt 4 491 582 584 719 
at Solar_eclipse_of_April_8,_2024.txt 6 208 650 716 762 778 811 
erie Solar_eclipse_of_April_8,_2024.txt 1 342 
2132 Solar_eclipse_of_April_8,_2024.txt 1 750 
entirely Solar_eclipse_of_April_8,_2024.txt 1 382 
hybrid Solar_eclipse_of_April_8,_2024.txt 1 692 
illinois Solar_eclipse_of_April_8,_2024.txt 3 309 556 574 
other Solar_eclipse_of_April_8,_2024.txt 1 908 
5 Solar_eclipse_of_April_8,_2024.txt 1 883 
potsdam Solar_eclipse_of_April_8,_2024.txt 1 352 
gmez Solar_eclipse_of_April_8,_2024.txt 1 249 
monday Solar_eclipse_of_April_8,_2024.txt 1 15 
terre Solar_eclipse_of_April_8,_2024.txt 1 317 
june Solar_eclipse_of_April_8,_2024.txt 1 748 
orbit Solar_eclipse_of_April_8,_2024.txt 1 656 
ottawa Solar_eclipse_of_April_8,_2024.txt 1 508 
missouri Solar_eclipse_of_April_8,_2024.txt 2 308 581 
buffalo Solar_eclipse_of_April_8,_2024.txt 1 347 
