partial Solar_eclipse_of_January_3,_1927.txt 1 81 
occurred Solar_eclipse_of_January_3,_1927.txt 1 11 
chile Solar_eclipse_of_January_3,_1927.txt 1 103 
obscuring Solar_eclipse_of_January_3,_1927.txt 1 33 
than Solar_eclipse_of_January_3,_1927.txt 1 56 
wide Solar_eclipse_of_January_3,_1927.txt 1 92 
look Solar_eclipse_of_January_3,_1927.txt 1 70 
eclipse Solar_eclipse_of_January_3,_1927.txt 7 1 10 18 47 77 82 118 
eclipses Solar_eclipse_of_January_3,_1927.txt 3 123 126 137 
and Solar_eclipse_of_January_3,_1927.txt 5 26 65 102 106 143 
uruguay Solar_eclipse_of_January_3,_1927.txt 1 105 
viewer Solar_eclipse_of_January_3,_1927.txt 1 41 
is Solar_eclipse_of_January_3,_1927.txt 1 54 
an Solar_eclipse_of_January_3,_1927.txt 4 7 44 72 75 
as Solar_eclipse_of_January_3,_1927.txt 1 79 
at Solar_eclipse_of_January_3,_1927.txt 1 148 
in Solar_eclipse_of_January_3,_1927.txt 1 131 
contents Solar_eclipse_of_January_3,_1927.txt 1 112 
when Solar_eclipse_of_January_3,_1927.txt 2 20 49 
member Solar_eclipse_of_January_3,_1927.txt 1 130 
causing Solar_eclipse_of_January_3,_1927.txt 1 66 
buenos Solar_eclipse_of_January_3,_1927.txt 1 120 
southern Solar_eclipse_of_January_3,_1927.txt 1 107 
most Solar_eclipse_of_January_3,_1927.txt 1 60 
aires Solar_eclipse_of_January_3,_1927.txt 1 121 
totally Solar_eclipse_of_January_3,_1927.txt 1 30 
zealand Solar_eclipse_of_January_3,_1927.txt 1 98 
annulus Solar_eclipse_of_January_3,_1927.txt 1 73 
light Solar_eclipse_of_January_3,_1927.txt 1 64 
orbit Solar_eclipse_of_January_3,_1927.txt 1 154 
the Solar_eclipse_of_January_3,_1927.txt 11 21 27 34 37 50 57 62 67 87 117 152 
