all Solar_eclipse_of_August_1,_2008.txt 2 60 239 
11:05 Solar_eclipse_of_August_1,_2008.txt 1 594 
232 Solar_eclipse_of_August_1,_2008.txt 1 375 
1 Solar_eclipse_of_August_1,_2008.txt 4 4 14 306 507 
glowing Solar_eclipse_of_August_1,_2008.txt 1 251 
edinburgh Solar_eclipse_of_August_1,_2008.txt 1 597 
may Solar_eclipse_of_August_1,_2008.txt 4 191 777 785 803 
after Solar_eclipse_of_August_1,_2008.txt 2 391 658 
1179 Solar_eclipse_of_August_1,_2008.txt 2 182 756 
saros Solar_eclipse_of_August_1,_2008.txt 3 171 726 734 
1882 Solar_eclipse_of_August_1,_2008.txt 1 787 
a Solar_eclipse_of_August_1,_2008.txt 23 7 16 40 44 70 83 92 100 158 176 187 194 373 379 544 583 629 660 679 703 717 731 799 
metonic Solar_eclipse_of_August_1,_2008.txt 1 840 
over Solar_eclipse_of_August_1,_2008.txt 4 82 319 524 647 
midnight Solar_eclipse_of_August_1,_2008.txt 1 127 
years Solar_eclipse_of_August_1,_2008.txt 1 740 
whilst Solar_eclipse_of_August_1,_2008.txt 1 606 
through Solar_eclipse_of_August_1,_2008.txt 4 103 765 776 788 
10:58 Solar_eclipse_of_August_1,_2008.txt 1 470 
its Solar_eclipse_of_August_1,_2008.txt 1 228 
before Solar_eclipse_of_August_1,_2008.txt 3 333 591 685 
26 Solar_eclipse_of_August_1,_2008.txt 1 384 
27 Solar_eclipse_of_August_1,_2008.txt 2 419 509 
22 Solar_eclipse_of_August_1,_2008.txt 1 824 
23 Solar_eclipse_of_August_1,_2008.txt 1 790 
mongolia Solar_eclipse_of_August_1,_2008.txt 2 113 463 
lt Solar_eclipse_of_August_1,_2008.txt 1 644 
categories Solar_eclipse_of_August_1,_2008.txt 2 849 851 
latitude Solar_eclipse_of_August_1,_2008.txt 1 326 
covered Solar_eclipse_of_August_1,_2008.txt 1 151 
hidden Solar_eclipse_of_August_1,_2008.txt 1 850 
norway Solar_eclipse_of_August_1,_2008.txt 1 279 
image Solar_eclipse_of_August_1,_2008.txt 1 35 
jiuquan Solar_eclipse_of_August_1,_2008.txt 1 527 
then Solar_eclipse_of_August_1,_2008.txt 4 266 315 458 491 
thereby Solar_eclipse_of_August_1,_2008.txt 1 29 
oranges Solar_eclipse_of_August_1,_2008.txt 1 236 
now Solar_eclipse_of_August_1,_2008.txt 1 623 
day Solar_eclipse_of_August_1,_2008.txt 1 64 
kilometres Solar_eclipse_of_August_1,_2008.txt 1 88 
edit Solar_eclipse_of_August_1,_2008.txt 11 280 362 452 543 618 695 699 728 842 844 846 
magnitude Solar_eclipse_of_August_1,_2008.txt 1 93 
each Solar_eclipse_of_August_1,_2008.txt 1 700 
crossing Solar_eclipse_of_August_1,_2008.txt 2 318 461 
repeating Solar_eclipse_of_August_1,_2008.txt 1 737 
lasting Solar_eclipse_of_August_1,_2008.txt 2 304 506 
england Solar_eclipse_of_August_1,_2008.txt 1 574 
series Solar_eclipse_of_August_1,_2008.txt 4 705 747 793 841 
related Solar_eclipse_of_August_1,_2008.txt 1 693 
trading Solar_eclipse_of_August_1,_2008.txt 1 624 
83 Solar_eclipse_of_August_1,_2008.txt 1 328 
event Solar_eclipse_of_August_1,_2008.txt 1 674 
special Solar_eclipse_of_August_1,_2008.txt 2 226 630 
canada Solar_eclipse_of_August_1,_2008.txt 3 105 276 289 
occurs Solar_eclipse_of_August_1,_2008.txt 3 19 48 68 
turning Solar_eclipse_of_August_1,_2008.txt 1 63 
passes Solar_eclipse_of_August_1,_2008.txt 1 23 
base Solar_eclipse_of_August_1,_2008.txt 1 655 
mainland Solar_eclipse_of_August_1,_2008.txt 1 368 
ltu Solar_eclipse_of_August_1,_2008.txt 2 616 622 
could Solar_eclipse_of_August_1,_2008.txt 2 197 257 
days Solar_eclipse_of_August_1,_2008.txt 2 713 742 
repeats Solar_eclipse_of_August_1,_2008.txt 1 709 
there Solar_eclipse_of_August_1,_2008.txt 1 233 
2459 Solar_eclipse_of_August_1,_2008.txt 2 193 805 
number Solar_eclipse_of_August_1,_2008.txt 1 643 
svalbard Solar_eclipse_of_August_1,_2008.txt 2 354 684 
sunlight Solar_eclipse_of_August_1,_2008.txt 1 62 
177 Solar_eclipse_of_August_1,_2008.txt 1 712 
reached Solar_eclipse_of_August_1,_2008.txt 1 365 
north-east Solar_eclipse_of_August_1,_2008.txt 1 317 
earths Solar_eclipse_of_August_1,_2008.txt 2 74 155 
approximately Solar_eclipse_of_August_1,_2008.txt 1 710 
2 Solar_eclipse_of_August_1,_2008.txt 5 148 382 417 485 832 
passed Solar_eclipse_of_August_1,_2008.txt 1 523 
tourists Solar_eclipse_of_August_1,_2008.txt 1 438 
that Solar_eclipse_of_August_1,_2008.txt 1 96 
7218e Solar_eclipse_of_August_1,_2008.txt 1 398 
part Solar_eclipse_of_August_1,_2008.txt 1 732 
western Solar_eclipse_of_August_1,_2008.txt 1 112 
july Solar_eclipse_of_August_1,_2008.txt 1 837 
than Solar_eclipse_of_August_1,_2008.txt 1 56 
11 Solar_eclipse_of_August_1,_2008.txt 2 648 741 
10 Solar_eclipse_of_August_1,_2008.txt 4 181 487 755 838 
12 Solar_eclipse_of_August_1,_2008.txt 1 587 
14 Solar_eclipse_of_August_1,_2008.txt 1 774 
17 Solar_eclipse_of_August_1,_2008.txt 1 786 
18 Solar_eclipse_of_August_1,_2008.txt 1 739 
china-mongolia Solar_eclipse_of_August_1,_2008.txt 1 495 
were Solar_eclipse_of_August_1,_2008.txt 3 234 439 533 
kvitya Solar_eclipse_of_August_1,_2008.txt 1 347 
russia Solar_eclipse_of_August_1,_2008.txt 4 109 142 337 361 
and Solar_eclipse_of_August_1,_2008.txt 22 26 114 150 183 214 218 237 265 278 303 322 378 413 434 464 528 566 570 667 688 714 769 
ran Solar_eclipse_of_August_1,_2008.txt 1 492 
1972 Solar_eclipse_of_August_1,_2008.txt 1 839 
seen Solar_eclipse_of_August_1,_2008.txt 2 199 548 
border Solar_eclipse_of_August_1,_2008.txt 1 496 
contents Solar_eclipse_of_August_1,_2008.txt 1 272 
silhouette Solar_eclipse_of_August_1,_2008.txt 1 248 
lit Solar_eclipse_of_August_1,_2008.txt 1 243 
also Solar_eclipse_of_August_1,_2008.txt 1 677 
which Solar_eclipse_of_August_1,_2008.txt 1 173 
206 Solar_eclipse_of_August_1,_2008.txt 1 300 
bst Solar_eclipse_of_August_1,_2008.txt 3 581 590 595 
most Solar_eclipse_of_August_1,_2008.txt 2 215 567 
11:18 Solar_eclipse_of_August_1,_2008.txt 1 501 
72 Solar_eclipse_of_August_1,_2008.txt 1 797 
71 Solar_eclipse_of_August_1,_2008.txt 1 744 
america Solar_eclipse_of_August_1,_2008.txt 2 213 565 
so-called Solar_eclipse_of_August_1,_2008.txt 1 126 
km Solar_eclipse_of_August_1,_2008.txt 5 160 301 376 411 477 
sunset Solar_eclipse_of_August_1,_2008.txt 1 512 
yellowy-orange Solar_eclipse_of_August_1,_2008.txt 1 252 
1593 Solar_eclipse_of_August_1,_2008.txt 1 825 
planeload Solar_eclipse_of_August_1,_2008.txt 1 661 
german Solar_eclipse_of_August_1,_2008.txt 1 619 
ending Solar_eclipse_of_August_1,_2008.txt 1 497 
south-east Solar_eclipse_of_August_1,_2008.txt 1 460 
earth Solar_eclipse_of_August_1,_2008.txt 2 25 43 
northeast Solar_eclipse_of_August_1,_2008.txt 1 344 
11:21 Solar_eclipse_of_August_1,_2008.txt 1 518 
northern Solar_eclipse_of_August_1,_2008.txt 2 104 320 
touched Solar_eclipse_of_August_1,_2008.txt 1 342 
circle Solar_eclipse_of_August_1,_2008.txt 1 121 
thousands Solar_eclipse_of_August_1,_2008.txt 1 86 
penumbra Solar_eclipse_of_August_1,_2008.txt 2 209 557 
wide Solar_eclipse_of_August_1,_2008.txt 5 89 302 377 412 478 
between Solar_eclipse_of_August_1,_2008.txt 1 24 
watch Solar_eclipse_of_August_1,_2008.txt 2 536 671 
coast Solar_eclipse_of_August_1,_2008.txt 1 562 
longest Solar_eclipse_of_August_1,_2008.txt 2 807 827 
126 Solar_eclipse_of_August_1,_2008.txt 2 727 736 
kazakhstan Solar_eclipse_of_August_1,_2008.txt 2 111 467 
1828 Solar_eclipse_of_August_1,_2008.txt 1 775 
dipping Solar_eclipse_of_August_1,_2008.txt 1 334 
65.650n Solar_eclipse_of_August_1,_2008.txt 1 399 
including Solar_eclipse_of_August_1,_2008.txt 2 210 558 
approaching Solar_eclipse_of_August_1,_2008.txt 1 261 
uninhabited Solar_eclipse_of_August_1,_2008.txt 1 349 
maximum Solar_eclipse_of_August_1,_2008.txt 1 584 
see Solar_eclipse_of_August_1,_2008.txt 1 258 
operated Solar_eclipse_of_August_1,_2008.txt 1 628 
close Solar_eclipse_of_August_1,_2008.txt 1 403 
away Solar_eclipse_of_August_1,_2008.txt 1 268 
wikipedia Solar_eclipse_of_August_1,_2008.txt 1 6 
colours Solar_eclipse_of_August_1,_2008.txt 1 229 
3 Solar_eclipse_of_August_1,_2008.txt 2 192 804 
nizhnevartovsk Solar_eclipse_of_August_1,_2008.txt 1 431 
moons Solar_eclipse_of_August_1,_2008.txt 3 51 556 724 
across Solar_eclipse_of_August_1,_2008.txt 1 73 
europe Solar_eclipse_of_August_1,_2008.txt 2 217 569 
ends Solar_eclipse_of_August_1,_2008.txt 1 794 
august Solar_eclipse_of_August_1,_2008.txt 3 3 13 789 
cities Solar_eclipse_of_August_1,_2008.txt 1 421 
nunavut Solar_eclipse_of_August_1,_2008.txt 2 106 291 
region Solar_eclipse_of_August_1,_2008.txt 1 85 
against Solar_eclipse_of_August_1,_2008.txt 1 262 
april Solar_eclipse_of_August_1,_2008.txt 2 766 773 
tour Solar_eclipse_of_August_1,_2008.txt 1 682 
strezhevoy Solar_eclipse_of_August_1,_2008.txt 1 432 
afterwards Solar_eclipse_of_August_1,_2008.txt 1 692 
65.650 Solar_eclipse_of_August_1,_2008.txt 1 401 
headed Solar_eclipse_of_August_1,_2008.txt 1 316 
northeastern Solar_eclipse_of_August_1,_2008.txt 1 211 
pole Solar_eclipse_of_August_1,_2008.txt 2 637 691 
coordinates Solar_eclipse_of_August_1,_2008.txt 1 396 
09:47 Solar_eclipse_of_August_1,_2008.txt 1 357 
252 Solar_eclipse_of_August_1,_2008.txt 1 476 
described Solar_eclipse_of_August_1,_2008.txt 1 222 
viewer Solar_eclipse_of_August_1,_2008.txt 1 41 
much Solar_eclipse_of_August_1,_2008.txt 2 202 551 
partly Solar_eclipse_of_August_1,_2008.txt 1 32 
eastern Solar_eclipse_of_August_1,_2008.txt 1 110 
observers Solar_eclipse_of_August_1,_2008.txt 1 224 
photos Solar_eclipse_of_August_1,_2008.txt 1 847 
finished Solar_eclipse_of_August_1,_2008.txt 1 516 
observe Solar_eclipse_of_August_1,_2008.txt 1 639 
1864 Solar_eclipse_of_August_1,_2008.txt 1 779 
decreased Solar_eclipse_of_August_1,_2008.txt 1 483 
obscuring Solar_eclipse_of_August_1,_2008.txt 1 33 
present Solar_eclipse_of_August_1,_2008.txt 1 440 
09:33 Solar_eclipse_of_August_1,_2008.txt 1 580 
09:38 Solar_eclipse_of_August_1,_2008.txt 1 331 
air Solar_eclipse_of_August_1,_2008.txt 2 626 652 
will Solar_eclipse_of_August_1,_2008.txt 1 184 
eclipses Solar_eclipse_of_August_1,_2008.txt 7 129 694 697 708 760 771 783 
30 Solar_eclipse_of_August_1,_2008.txt 1 308 
is Solar_eclipse_of_August_1,_2008.txt 2 54 730 
xian Solar_eclipse_of_August_1,_2008.txt 1 529 
it Solar_eclipse_of_August_1,_2008.txt 9 90 122 163 220 270 607 729 757 780 
surface Solar_eclipse_of_August_1,_2008.txt 2 75 156 
in Solar_eclipse_of_August_1,_2008.txt 17 69 141 157 247 253 284 290 352 422 441 498 539 572 610 612 650 702 
containing Solar_eclipse_of_August_1,_2008.txt 1 743 
1810 Solar_eclipse_of_August_1,_2008.txt 1 768 
began Solar_eclipse_of_August_1,_2008.txt 3 174 283 578 
s Solar_eclipse_of_August_1,_2008.txt 1 208 
member Solar_eclipse_of_August_1,_2008.txt 2 701 796 
corridor Solar_eclipse_of_August_1,_2008.txt 1 102 
largest Solar_eclipse_of_August_1,_2008.txt 2 131 444 
events Solar_eclipse_of_August_1,_2008.txt 1 745 
arctic Solar_eclipse_of_August_1,_2008.txt 1 120 
126th Solar_eclipse_of_August_1,_2008.txt 1 170 
norwegian Solar_eclipse_of_August_1,_2008.txt 1 350 
72.300e Solar_eclipse_of_August_1,_2008.txt 1 400 
totally Solar_eclipse_of_August_1,_2008.txt 1 30 
cycle Solar_eclipse_of_August_1,_2008.txt 2 172 735 
shortly Solar_eclipse_of_August_1,_2008.txt 1 390 
spent Solar_eclipse_of_August_1,_2008.txt 1 646 
greatest Solar_eclipse_of_August_1,_2008.txt 2 359 387 
the Solar_eclipse_of_August_1,_2008.txt 69 21 27 34 37 50 57 77 119 125 130 134 137 143 154 165 169 201 206 231 241 254 259 263 281 285 295 310 313 324 338 343 353 363 366 386 407 414 423 426 443 448 453 456 472 480 489 494 513 520 537 550 555 559 575 598 604 613 635 640 651 672 675 686 689 723 746 792 806 826 
left Solar_eclipse_of_August_1,_2008.txt 1 271 
just Solar_eclipse_of_August_1,_2008.txt 1 465 
diameter Solar_eclipse_of_August_1,_2008.txt 1 53 
being Solar_eclipse_of_August_1,_2008.txt 1 299 
when Solar_eclipse_of_August_1,_2008.txt 3 20 49 406 
rushing Solar_eclipse_of_August_1,_2008.txt 1 267 
low-level Solar_eclipse_of_August_1,_2008.txt 1 680 
conclude Solar_eclipse_of_August_1,_2008.txt 1 185 
had Solar_eclipse_of_August_1,_2008.txt 1 91 
47th Solar_eclipse_of_August_1,_2008.txt 1 166 
4 Solar_eclipse_of_August_1,_2008.txt 3 715 763 767 
east Solar_eclipse_of_August_1,_2008.txt 1 561 
city Solar_eclipse_of_August_1,_2008.txt 2 132 445 
march Solar_eclipse_of_August_1,_2008.txt 2 180 754 
around Solar_eclipse_of_August_1,_2008.txt 5 230 240 436 469 530 
dark Solar_eclipse_of_August_1,_2008.txt 1 246 
1.0394 Solar_eclipse_of_August_1,_2008.txt 1 95 
shadow Solar_eclipse_of_August_1,_2008.txt 1 260 
megion Solar_eclipse_of_August_1,_2008.txt 1 430 
occurring Solar_eclipse_of_August_1,_2008.txt 1 116 
6539n Solar_eclipse_of_August_1,_2008.txt 1 397 
1323 Solar_eclipse_of_August_1,_2008.txt 1 764 
clipping Solar_eclipse_of_August_1,_2008.txt 1 466 
greenland Solar_eclipse_of_August_1,_2008.txt 3 107 277 321 
people Solar_eclipse_of_August_1,_2008.txt 1 532 
belonged Solar_eclipse_of_August_1,_2008.txt 1 123 
some Solar_eclipse_of_August_1,_2008.txt 2 245 249 
duration Solar_eclipse_of_August_1,_2008.txt 5 380 415 481 808 828 
10,200 Solar_eclipse_of_August_1,_2008.txt 1 159 
for Solar_eclipse_of_August_1,_2008.txt 4 39 147 227 305 
moon Solar_eclipse_of_August_1,_2008.txt 2 22 207 
be Solar_eclipse_of_August_1,_2008.txt 1 198 
reaching Solar_eclipse_of_August_1,_2008.txt 1 323 
seconds Solar_eclipse_of_August_1,_2008.txt 7 309 385 420 488 510 819 835 
lasted Solar_eclipse_of_August_1,_2008.txt 1 146 
annular Solar_eclipse_of_August_1,_2008.txt 2 759 812 
2008-2011 Solar_eclipse_of_August_1,_2008.txt 1 698 
by Solar_eclipse_of_August_1,_2008.txt 1 223 
on Solar_eclipse_of_August_1,_2008.txt 9 12 42 133 179 190 753 802 822 836 
central Solar_eclipse_of_August_1,_2008.txt 2 108 810 
of Solar_eclipse_of_August_1,_2008.txt 33 2 36 87 94 118 136 153 168 205 216 274 288 297 312 327 340 346 381 425 455 554 563 568 586 603 662 683 706 722 733 809 820 829 
23.5 Solar_eclipse_of_August_1,_2008.txt 1 602 
airline Solar_eclipse_of_August_1,_2008.txt 1 621 
horizon Solar_eclipse_of_August_1,_2008.txt 1 232 
or Solar_eclipse_of_August_1,_2008.txt 2 31 813 
into Solar_eclipse_of_August_1,_2008.txt 3 65 336 462 
down Solar_eclipse_of_August_1,_2008.txt 2 335 493 
references Solar_eclipse_of_August_1,_2008.txt 1 845 
novosibirsk Solar_eclipse_of_August_1,_2008.txt 3 140 433 442 
sightseeing Solar_eclipse_of_August_1,_2008.txt 1 681 
flying Solar_eclipse_of_August_1,_2008.txt 1 659 
long Solar_eclipse_of_August_1,_2008.txt 1 161 
start Solar_eclipse_of_August_1,_2008.txt 1 273 
crews Solar_eclipse_of_August_1,_2008.txt 1 669 
was Solar_eclipse_of_August_1,_2008.txt 13 97 139 164 221 409 416 475 482 547 601 608 815 831 
north Solar_eclipse_of_August_1,_2008.txt 6 117 212 287 560 564 636 
but Solar_eclipse_of_August_1,_2008.txt 1 479 
solar Solar_eclipse_of_August_1,_2008.txt 8 0 9 17 46 79 696 707 751 
russian Solar_eclipse_of_August_1,_2008.txt 1 367 
with Solar_eclipse_of_August_1,_2008.txt 7 76 175 186 372 503 582 749 
ut Solar_eclipse_of_August_1,_2008.txt 8 294 332 358 371 394 471 502 519 
up Solar_eclipse_of_August_1,_2008.txt 1 244 
dsseldorf Solar_eclipse_of_August_1,_2008.txt 1 633 
minutes Solar_eclipse_of_August_1,_2008.txt 6 149 383 418 486 817 833 
distance Solar_eclipse_of_August_1,_2008.txt 1 255 
celestial Solar_eclipse_of_August_1,_2008.txt 1 673 
moved Solar_eclipse_of_August_1,_2008.txt 1 459 
an Solar_eclipse_of_August_1,_2008.txt 2 348 504 
as Solar_eclipse_of_August_1,_2008.txt 4 225 269 625 798 
at Solar_eclipse_of_August_1,_2008.txt 17 292 330 356 369 392 395 468 500 511 517 579 588 593 596 656 719 795 
flight Solar_eclipse_of_August_1,_2008.txt 2 631 642 
yiwu Solar_eclipse_of_August_1,_2008.txt 2 525 540 
09:21 Solar_eclipse_of_August_1,_2008.txt 1 293 
46 Solar_eclipse_of_August_1,_2008.txt 1 818 
47 Solar_eclipse_of_August_1,_2008.txt 1 329 
hybrid Solar_eclipse_of_August_1,_2008.txt 1 770 
1111 Solar_eclipse_of_August_1,_2008.txt 2 617 645 
5 Solar_eclipse_of_August_1,_2008.txt 1 816 
you Solar_eclipse_of_August_1,_2008.txt 1 256 
conclusion Solar_eclipse_of_August_1,_2008.txt 1 450 
72.300 Solar_eclipse_of_August_1,_2008.txt 1 402 
june Solar_eclipse_of_August_1,_2008.txt 1 762 
included Solar_eclipse_of_August_1,_2008.txt 2 429 678 
orbit Solar_eclipse_of_August_1,_2008.txt 1 725 
2008 Solar_eclipse_of_August_1,_2008.txt 2 5 15 
