all Solar_eclipse_of_December_5,_2048.txt 1 61 
note Solar_eclipse_of_December_5,_2048.txt 1 128 
5 Solar_eclipse_of_December_5,_2048.txt 3 4 15 219 
1562 Solar_eclipse_of_December_5,_2048.txt 1 202 
events Solar_eclipse_of_December_5,_2048.txt 1 162 
1219 Solar_eclipse_of_December_5,_2048.txt 1 174 
june Solar_eclipse_of_December_5,_2048.txt 1 204 
saros Solar_eclipse_of_December_5,_2048.txt 3 148 152 240 
totally Solar_eclipse_of_December_5,_2048.txt 1 31 
a Solar_eclipse_of_December_5,_2048.txt 11 7 17 41 45 71 84 105 119 167 188 214 
narrow Solar_eclipse_of_December_5,_2048.txt 1 72 
orbit Solar_eclipse_of_December_5,_2048.txt 1 127 
the Solar_eclipse_of_December_5,_2048.txt 13 22 28 35 38 51 58 78 125 142 163 207 221 235 
2373 Solar_eclipse_of_December_5,_2048.txt 1 206 
