partial Solar_eclipse_of_November_13,_1993.txt 2 8 45 
passes Solar_eclipse_of_November_13,_1993.txt 1 23 
addition Solar_eclipse_of_November_13,_1993.txt 1 154 
approximately Solar_eclipse_of_November_13,_1993.txt 1 112 
was Solar_eclipse_of_November_13,_1993.txt 1 67 
1/5 Solar_eclipse_of_November_13,_1993.txt 1 159 
partly Solar_eclipse_of_November_13,_1993.txt 1 32 
that Solar_eclipse_of_November_13,_1993.txt 1 161 
occurred Solar_eclipse_of_November_13,_1993.txt 1 11 
external Solar_eclipse_of_November_13,_1993.txt 1 170 
solar Solar_eclipse_of_November_13,_1993.txt 6 0 9 17 46 98 109 
obscuring Solar_eclipse_of_November_13,_1993.txt 1 33 
hidden Solar_eclipse_of_November_13,_1993.txt 1 174 
13 Solar_eclipse_of_November_13,_1993.txt 2 4 91 
14 Solar_eclipse_of_November_13,_1993.txt 1 77 
19 Solar_eclipse_of_November_13,_1993.txt 1 137 
eclipse Solar_eclipse_of_November_13,_1993.txt 4 1 10 18 47 
1387.94 Solar_eclipse_of_November_13,_1993.txt 1 166 
eclipses Solar_eclipse_of_November_13,_1993.txt 5 96 99 110 135 145 
and Solar_eclipse_of_November_13,_1993.txt 3 26 78 116 
links Solar_eclipse_of_November_13,_1993.txt 1 171 
viewer Solar_eclipse_of_November_13,_1993.txt 1 41 
it Solar_eclipse_of_November_13,_1993.txt 1 66 
1314 Solar_eclipse_of_November_13,_1993.txt 1 14 
at Solar_eclipse_of_November_13,_1993.txt 3 69 80 121 
in Solar_eclipse_of_November_13,_1993.txt 4 49 104 147 153 
occur Solar_eclipse_of_November_13,_1993.txt 1 146 
contents Solar_eclipse_of_November_13,_1993.txt 1 92 
when Solar_eclipse_of_November_13,_1993.txt 2 20 56 
same Solar_eclipse_of_November_13,_1993.txt 1 150 
member Solar_eclipse_of_November_13,_1993.txt 1 103 
parts Solar_eclipse_of_November_13,_1993.txt 1 72 
5 Solar_eclipse_of_November_13,_1993.txt 1 143 
3.8 Solar_eclipse_of_November_13,_1993.txt 1 164 
polar Solar_eclipse_of_November_13,_1993.txt 1 51 
southern Solar_eclipse_of_November_13,_1993.txt 1 84 
1993-1996 Solar_eclipse_of_November_13,_1993.txt 1 100 
date Solar_eclipse_of_November_13,_1993.txt 1 152 
america Solar_eclipse_of_November_13,_1993.txt 1 88 
totally Solar_eclipse_of_November_13,_1993.txt 1 30 
a Solar_eclipse_of_November_13,_1993.txt 6 7 16 40 44 105 119 
center Solar_eclipse_of_November_13,_1993.txt 1 58 
orbit Solar_eclipse_of_November_13,_1993.txt 1 127 
sunset Solar_eclipse_of_November_13,_1993.txt 1 81 
metonic Solar_eclipse_of_November_13,_1993.txt 2 128 132 
every Solar_eclipse_of_November_13,_1993.txt 3 113 136 163 
the Solar_eclipse_of_November_13,_1993.txt 14 21 27 34 37 50 54 57 60 64 83 125 131 149 155 
