all Solar_eclipse_of_January_1,_1889.txt 2 60 111 
earths Solar_eclipse_of_January_1,_1889.txt 1 74 
seconds Solar_eclipse_of_January_1,_1889.txt 1 228 
annular Solar_eclipse_of_January_1,_1889.txt 1 173 
path Solar_eclipse_of_January_1,_1889.txt 2 72 126 
on Solar_eclipse_of_January_1,_1889.txt 6 12 42 165 175 215 229 
dates Solar_eclipse_of_January_1,_1889.txt 1 186 
central Solar_eclipse_of_January_1,_1889.txt 2 98 133 
of Solar_eclipse_of_January_1,_1889.txt 8 2 36 87 112 123 125 145 222 
region Solar_eclipse_of_January_1,_1889.txt 1 85 
larger Solar_eclipse_of_January_1,_1889.txt 1 55 
days Solar_eclipse_of_January_1,_1889.txt 1 154 
narrow Solar_eclipse_of_January_1,_1889.txt 1 71 
or Solar_eclipse_of_January_1,_1889.txt 1 31 
diameter Solar_eclipse_of_January_1,_1889.txt 1 53 
71 Solar_eclipse_of_January_1,_1889.txt 2 156 210 
image Solar_eclipse_of_January_1,_1889.txt 1 35 
visible Solar_eclipse_of_January_1,_1889.txt 3 81 92 102 
references Solar_eclipse_of_January_1,_1889.txt 1 235 
2195 Solar_eclipse_of_January_1,_1889.txt 1 218 
reached Solar_eclipse_of_January_1,_1889.txt 1 171 
total Solar_eclipse_of_January_1,_1889.txt 3 8 45 195 
passes Solar_eclipse_of_January_1,_1889.txt 1 23 
from Solar_eclipse_of_January_1,_1889.txt 1 197 
predictions Solar_eclipse_of_January_1,_1889.txt 1 119 
sunlight Solar_eclipse_of_January_1,_1889.txt 1 62 
2 Solar_eclipse_of_January_1,_1889.txt 1 225 
observations Solar_eclipse_of_January_1,_1889.txt 1 117 
totality Solar_eclipse_of_January_1,_1889.txt 2 67 223 
was Solar_eclipse_of_January_1,_1889.txt 4 91 101 180 224 
partly Solar_eclipse_of_January_1,_1889.txt 1 32 
started Solar_eclipse_of_January_1,_1889.txt 1 160 
apparent Solar_eclipse_of_January_1,_1889.txt 1 52 
occurred Solar_eclipse_of_January_1,_1889.txt 1 11 
part Solar_eclipse_of_January_1,_1889.txt 1 144 
related Solar_eclipse_of_January_1,_1889.txt 1 135 
solar Solar_eclipse_of_January_1,_1889.txt 6 0 9 17 46 79 163 
obscuring Solar_eclipse_of_January_1,_1889.txt 1 33 
july Solar_eclipse_of_January_1,_1889.txt 1 216 
with Solar_eclipse_of_January_1,_1889.txt 2 76 161 
than Solar_eclipse_of_January_1,_1889.txt 1 56 
11 Solar_eclipse_of_January_1,_1889.txt 2 153 177 
wide Solar_eclipse_of_January_1,_1889.txt 1 89 
1997 Solar_eclipse_of_January_1,_1889.txt 1 232 
18 Solar_eclipse_of_January_1,_1889.txt 1 151 
eclipse Solar_eclipse_of_January_1,_1889.txt 8 1 10 18 47 80 164 174 214 
eclipses Solar_eclipse_of_January_1,_1889.txt 2 136 196 
minutes Solar_eclipse_of_January_1,_1889.txt 1 226 
1510 Solar_eclipse_of_January_1,_1889.txt 1 189 
and Solar_eclipse_of_January_1,_1889.txt 7 26 97 110 118 132 170 194 
30 Solar_eclipse_of_January_1,_1889.txt 1 203 
ad Solar_eclipse_of_January_1,_1889.txt 1 169 
viewer Solar_eclipse_of_January_1,_1889.txt 1 41 
is Solar_eclipse_of_January_1,_1889.txt 2 54 142 
it Solar_eclipse_of_January_1,_1889.txt 3 90 141 179 
surface Solar_eclipse_of_January_1,_1889.txt 1 75 
an Solar_eclipse_of_January_1,_1889.txt 1 172 
states Solar_eclipse_of_January_1,_1889.txt 3 96 115 131 
as Solar_eclipse_of_January_1,_1889.txt 1 211 
at Solar_eclipse_of_January_1,_1889.txt 1 208 
in Solar_eclipse_of_January_1,_1889.txt 1 69 
contents Solar_eclipse_of_January_1,_1889.txt 1 116 
containing Solar_eclipse_of_January_1,_1889.txt 1 155 
united Solar_eclipse_of_January_1,_1889.txt 3 95 114 130 
1059 Solar_eclipse_of_January_1,_1889.txt 1 178 
when Solar_eclipse_of_January_1,_1889.txt 2 20 49 
1 Solar_eclipse_of_January_1,_1889.txt 2 4 14 
2033 Solar_eclipse_of_January_1,_1889.txt 1 204 
9 Solar_eclipse_of_January_1,_1889.txt 1 231 
1564 Solar_eclipse_of_January_1,_1889.txt 1 200 
events Solar_eclipse_of_January_1,_1889.txt 1 157 
map Solar_eclipse_of_January_1,_1889.txt 1 124 
may Solar_eclipse_of_January_1,_1889.txt 3 166 187 191 
june Solar_eclipse_of_January_1,_1889.txt 1 198 
partiality Solar_eclipse_of_January_1,_1889.txt 1 100 
saros Solar_eclipse_of_January_1,_1889.txt 2 138 146 
1889 Solar_eclipse_of_January_1,_1889.txt 2 5 15 
totally Solar_eclipse_of_January_1,_1889.txt 1 30 
cycle Solar_eclipse_of_January_1,_1889.txt 1 147 
a Solar_eclipse_of_January_1,_1889.txt 10 7 16 40 44 70 83 121 143 181 212 
ocean Solar_eclipse_of_January_1,_1889.txt 1 107 
the Solar_eclipse_of_January_1,_1889.txt 13 21 27 34 37 50 57 77 104 113 128 158 205 219 
drawing Solar_eclipse_of_January_1,_1889.txt 1 122 
western Solar_eclipse_of_January_1,_1889.txt 2 94 129 
