all Solar_eclipse_of_March_30,_2052.txt 2 61 108 
april Solar_eclipse_of_March_30,_2052.txt 1 212 
narrow Solar_eclipse_of_March_30,_2052.txt 1 72 
southeastern Solar_eclipse_of_March_30,_2052.txt 1 101 
south Solar_eclipse_of_March_30,_2052.txt 1 117 
diameter Solar_eclipse_of_March_30,_2052.txt 1 54 
image Solar_eclipse_of_March_30,_2052.txt 1 36 
2nd Solar_eclipse_of_March_30,_2052.txt 1 128 
visible Solar_eclipse_of_March_30,_2052.txt 2 82 131 
semester Solar_eclipse_of_March_30,_2052.txt 2 154 168 
references Solar_eclipse_of_March_30,_2052.txt 1 249 
approximately Solar_eclipse_of_March_30,_2052.txt 1 160 
177 Solar_eclipse_of_March_30,_2052.txt 1 162 
total Solar_eclipse_of_March_30,_2052.txt 4 8 46 129 209 
passes Solar_eclipse_of_March_30,_2052.txt 1 24 
2052 Solar_eclipse_of_March_30,_2052.txt 2 5 16 
from Solar_eclipse_of_March_30,_2052.txt 2 132 211 
contains Solar_eclipse_of_March_30,_2052.txt 1 208 
sunlight Solar_eclipse_of_March_30,_2052.txt 1 63 
almost Solar_eclipse_of_March_30,_2052.txt 1 107 
totality Solar_eclipse_of_March_30,_2052.txt 3 68 94 237 
6 Solar_eclipse_of_March_30,_2052.txt 1 239 
was Solar_eclipse_of_March_30,_2052.txt 1 238 
partly Solar_eclipse_of_March_30,_2052.txt 1 33 
started Solar_eclipse_of_March_30,_2052.txt 1 198 
apparent Solar_eclipse_of_March_30,_2052.txt 1 53 
part Solar_eclipse_of_March_30,_2052.txt 1 182 
solar Solar_eclipse_of_March_30,_2052.txt 8 0 9 18 47 80 146 157 201 
obscuring Solar_eclipse_of_March_30,_2052.txt 1 34 
july Solar_eclipse_of_March_30,_2052.txt 2 216 244 
with Solar_eclipse_of_March_30,_2052.txt 2 77 199 
than Solar_eclipse_of_March_30,_2052.txt 1 57 
11 Solar_eclipse_of_March_30,_2052.txt 2 191 245 
wide Solar_eclipse_of_March_30,_2052.txt 1 90 
georgia Solar_eclipse_of_March_30,_2052.txt 1 138 
18 Solar_eclipse_of_March_30,_2052.txt 2 189 217 
eclipse Solar_eclipse_of_March_30,_2052.txt 9 1 10 19 48 81 123 130 202 228 
will Solar_eclipse_of_March_30,_2052.txt 4 11 95 119 125 
eclipses Solar_eclipse_of_March_30,_2052.txt 4 144 147 158 210 
minutes Solar_eclipse_of_March_30,_2052.txt 1 240 
and Solar_eclipse_of_March_30,_2052.txt 5 27 99 112 136 164 
30 Solar_eclipse_of_March_30,_2052.txt 2 4 15 
mexico Solar_eclipse_of_March_30,_2052.txt 1 98 
viewer Solar_eclipse_of_March_30,_2052.txt 1 42 
is Solar_eclipse_of_March_30,_2052.txt 2 55 180 
it Solar_eclipse_of_March_30,_2052.txt 3 124 179 207 
surface Solar_eclipse_of_March_30,_2052.txt 1 76 
states Solar_eclipse_of_March_30,_2052.txt 2 102 106 
as Solar_eclipse_of_March_30,_2052.txt 1 225 
at Solar_eclipse_of_March_30,_2052.txt 2 169 222 
in Solar_eclipse_of_March_30,_2052.txt 3 70 139 152 
north Solar_eclipse_of_March_30,_2052.txt 1 110 
occur Solar_eclipse_of_March_30,_2052.txt 1 12 
contents Solar_eclipse_of_March_30,_2052.txt 1 142 
containing Solar_eclipse_of_March_30,_2052.txt 1 193 
united Solar_eclipse_of_March_30,_2052.txt 1 105 
1619 Solar_eclipse_of_March_30,_2052.txt 1 246 
when Solar_eclipse_of_March_30,_2052.txt 2 21 50 
cross Solar_eclipse_of_March_30,_2052.txt 1 96 
41 Solar_eclipse_of_March_30,_2052.txt 1 241 
member Solar_eclipse_of_March_30,_2052.txt 2 151 223 
5 Solar_eclipse_of_March_30,_2052.txt 1 213 
events Solar_eclipse_of_March_30,_2052.txt 1 195 
73 Solar_eclipse_of_March_30,_2052.txt 2 194 224 
saros Solar_eclipse_of_March_30,_2052.txt 2 176 184 
america Solar_eclipse_of_March_30,_2052.txt 2 111 118 
totally Solar_eclipse_of_March_30,_2052.txt 1 31 
cycle Solar_eclipse_of_March_30,_2052.txt 1 185 
a Solar_eclipse_of_March_30,_2052.txt 11 7 17 41 45 71 84 121 153 167 181 226 
repeats Solar_eclipse_of_March_30,_2052.txt 1 159 
2232 Solar_eclipse_of_March_30,_2052.txt 1 218 
orbit Solar_eclipse_of_March_30,_2052.txt 1 175 
or Solar_eclipse_of_March_30,_2052.txt 1 32 
edge Solar_eclipse_of_March_30,_2052.txt 1 115 
1475 Solar_eclipse_of_March_30,_2052.txt 1 214 
the Solar_eclipse_of_March_30,_2052.txt 17 22 28 35 38 51 58 78 91 100 104 113 127 133 173 196 219 233 
