6000ad Solar_eclipse_of_May_11,_2078.txt 1 265 
and Solar_eclipse_of_May_11,_2078.txt 7 27 113 170 204 264 298 370 
months Solar_eclipse_of_May_11,_2078.txt 6 287 325 330 359 397 402 
viewer Solar_eclipse_of_May_11,_2078.txt 1 42 
december Solar_eclipse_of_May_11,_2078.txt 2 167 174 
is Solar_eclipse_of_May_11,_2078.txt 5 55 129 256 271 343 
thus Solar_eclipse_of_May_11,_2078.txt 1 205 
it Solar_eclipse_of_May_11,_2078.txt 2 128 158 
surface Solar_eclipse_of_May_11,_2078.txt 1 76 
as Solar_eclipse_of_May_11,_2078.txt 1 187 
at Solar_eclipse_of_May_11,_2078.txt 6 118 184 230 246 281 353 
in Solar_eclipse_of_May_11,_2078.txt 6 70 101 196 207 335 407 
appearance Solar_eclipse_of_May_11,_2078.txt 2 297 369 
synodic Solar_eclipse_of_May_11,_2078.txt 2 286 358 
occur Solar_eclipse_of_May_11,_2078.txt 2 12 206 
contents Solar_eclipse_of_May_11,_2078.txt 1 91 
these Solar_eclipse_of_May_11,_2078.txt 2 336 408 
containing Solar_eclipse_of_May_11,_2078.txt 1 144 
2132 Solar_eclipse_of_May_11,_2078.txt 1 218 
when Solar_eclipse_of_May_11,_2078.txt 2 21 50 
same Solar_eclipse_of_May_11,_2078.txt 2 198 209 
member Solar_eclipse_of_May_11,_2078.txt 3 100 185 244 
9 Solar_eclipse_of_May_11,_2078.txt 1 168 
events Solar_eclipse_of_May_11,_2078.txt 1 146 
exeligmos Solar_eclipse_of_May_11,_2078.txt 1 202 
may Solar_eclipse_of_May_11,_2078.txt 3 3 14 155 
june Solar_eclipse_of_May_11,_2078.txt 1 216 
perigee Solar_eclipse_of_May_11,_2078.txt 2 314 386 
saros Solar_eclipse_of_May_11,_2078.txt 2 125 133 
71 Solar_eclipse_of_May_11,_2078.txt 2 145 186 
totally Solar_eclipse_of_May_11,_2078.txt 1 31 
cycle Solar_eclipse_of_May_11,_2078.txt 2 279 351 
a Solar_eclipse_of_May_11,_2078.txt 14 7 17 41 45 71 84 102 116 130 188 272 304 344 376 
narrow Solar_eclipse_of_May_11,_2078.txt 1 72 
orbit Solar_eclipse_of_May_11,_2078.txt 1 124 
so Solar_eclipse_of_May_11,_2078.txt 2 331 403 
the Solar_eclipse_of_May_11,_2078.txt 20 22 28 35 38 51 58 78 122 147 181 197 208 212 221 235 257 275 309 347 381 
geographic Solar_eclipse_of_May_11,_2078.txt 1 210 
358 Solar_eclipse_of_May_11,_2078.txt 2 285 357 
