all Solar_eclipse_of_January_27,_2093.txt 1 61 
region Solar_eclipse_of_January_27,_2093.txt 1 86 
larger Solar_eclipse_of_January_27,_2093.txt 1 56 
days Solar_eclipse_of_January_27,_2093.txt 2 112 142 
34 Solar_eclipse_of_January_27,_2093.txt 1 200 
april Solar_eclipse_of_January_27,_2093.txt 1 154 
repeats Solar_eclipse_of_January_27,_2093.txt 1 108 
or Solar_eclipse_of_January_27,_2093.txt 1 32 
72 Solar_eclipse_of_January_27,_2093.txt 2 144 182 
diameter Solar_eclipse_of_January_27,_2093.txt 1 54 
image Solar_eclipse_of_January_27,_2093.txt 1 36 
one Solar_eclipse_of_January_27,_2093.txt 1 159 
visible Solar_eclipse_of_January_27,_2093.txt 1 82 
semester Solar_eclipse_of_January_27,_2093.txt 2 103 117 
references Solar_eclipse_of_January_27,_2093.txt 1 206 
sunlight Solar_eclipse_of_January_27,_2093.txt 1 63 
177 Solar_eclipse_of_January_27,_2093.txt 1 111 
total Solar_eclipse_of_January_27,_2093.txt 3 8 46 167 
passes Solar_eclipse_of_January_27,_2093.txt 1 24 
from Solar_eclipse_of_January_27,_2093.txt 1 169 
contains Solar_eclipse_of_January_27,_2093.txt 1 158 
approximately Solar_eclipse_of_January_27,_2093.txt 1 109 
totality Solar_eclipse_of_January_27,_2093.txt 2 68 195 
6 Solar_eclipse_of_January_27,_2093.txt 1 198 
partly Solar_eclipse_of_January_27,_2093.txt 1 33 
started Solar_eclipse_of_January_27,_2093.txt 1 148 
apparent Solar_eclipse_of_January_27,_2093.txt 1 53 
2091-2094 Solar_eclipse_of_January_27,_2093.txt 1 97 
part Solar_eclipse_of_January_27,_2093.txt 1 132 
external Solar_eclipse_of_January_27,_2093.txt 1 208 
solar Solar_eclipse_of_January_27,_2093.txt 8 0 9 18 47 80 95 106 151 
obscuring Solar_eclipse_of_January_27,_2093.txt 1 34 
july Solar_eclipse_of_January_27,_2093.txt 2 163 170 
with Solar_eclipse_of_January_27,_2093.txt 2 77 149 
than Solar_eclipse_of_January_27,_2093.txt 1 57 
11 Solar_eclipse_of_January_27,_2093.txt 1 141 
wide Solar_eclipse_of_January_27,_2093.txt 1 90 
october Solar_eclipse_of_January_27,_2093.txt 1 174 
14 Solar_eclipse_of_January_27,_2093.txt 1 164 
17 Solar_eclipse_of_January_27,_2093.txt 1 155 
1624 Solar_eclipse_of_January_27,_2093.txt 1 156 
18 Solar_eclipse_of_January_27,_2093.txt 1 139 
eclipse Solar_eclipse_of_January_27,_2093.txt 8 1 10 19 48 81 152 161 186 
will Solar_eclipse_of_January_27,_2093.txt 2 11 196 
eclipses Solar_eclipse_of_January_27,_2093.txt 4 93 96 107 168 
minutes Solar_eclipse_of_January_27,_2093.txt 1 199 
and Solar_eclipse_of_January_27,_2093.txt 3 27 113 166 
links Solar_eclipse_of_January_27,_2093.txt 1 209 
viewer Solar_eclipse_of_January_27,_2093.txt 1 42 
is Solar_eclipse_of_January_27,_2093.txt 2 55 130 
it Solar_eclipse_of_January_27,_2093.txt 2 129 157 
surface Solar_eclipse_of_January_27,_2093.txt 1 76 
as Solar_eclipse_of_January_27,_2093.txt 1 183 
at Solar_eclipse_of_January_27,_2093.txt 2 118 180 
in Solar_eclipse_of_January_27,_2093.txt 2 70 101 
occur Solar_eclipse_of_January_27,_2093.txt 1 12 
contents Solar_eclipse_of_January_27,_2093.txt 1 91 
containing Solar_eclipse_of_January_27,_2093.txt 1 143 
when Solar_eclipse_of_January_27,_2093.txt 2 21 50 
member Solar_eclipse_of_January_27,_2093.txt 2 100 181 
5 Solar_eclipse_of_January_27,_2093.txt 1 189 
events Solar_eclipse_of_January_27,_2093.txt 1 145 
142 Solar_eclipse_of_January_27,_2093.txt 2 127 136 
may Solar_eclipse_of_January_27,_2093.txt 1 203 
june Solar_eclipse_of_January_27,_2093.txt 1 188 
saros Solar_eclipse_of_January_27,_2093.txt 2 125 134 
2291 Solar_eclipse_of_January_27,_2093.txt 1 205 
totally Solar_eclipse_of_January_27,_2093.txt 1 31 
cycle Solar_eclipse_of_January_27,_2093.txt 1 135 
a Solar_eclipse_of_January_27,_2093.txt 10 7 17 41 45 71 84 102 116 131 184 
narrow Solar_eclipse_of_January_27,_2093.txt 1 72 
orbit Solar_eclipse_of_January_27,_2093.txt 1 124 
1768 Solar_eclipse_of_January_27,_2093.txt 1 165 
the Solar_eclipse_of_January_27,_2093.txt 11 22 28 35 38 51 58 78 122 146 177 191 
