partial Solar_eclipse_of_January_16,_1972.txt 2 81 232 
contents Solar_eclipse_of_January_16,_1972.txt 1 196 
that Solar_eclipse_of_January_16,_1972.txt 1 283 
when Solar_eclipse_of_January_16,_1972.txt 2 20 49 
same Solar_eclipse_of_January_16,_1972.txt 1 272 
occur Solar_eclipse_of_January_16,_1972.txt 2 243 268 
member Solar_eclipse_of_January_16,_1972.txt 1 206 
also Solar_eclipse_of_January_16,_1972.txt 1 129 
causing Solar_eclipse_of_January_16,_1972.txt 1 66 
5 Solar_eclipse_of_January_16,_1972.txt 1 265 
eastcentral Solar_eclipse_of_January_16,_1972.txt 1 159 
island Solar_eclipse_of_January_16,_1972.txt 1 182 
southern Solar_eclipse_of_January_16,_1972.txt 2 136 149 
occurred Solar_eclipse_of_January_16,_1972.txt 1 11 
most Solar_eclipse_of_January_16,_1972.txt 1 60 
edges Solar_eclipse_of_January_16,_1972.txt 1 170 
patagonia Solar_eclipse_of_January_16,_1972.txt 1 128 
included Solar_eclipse_of_January_16,_1972.txt 2 95 131 
america Solar_eclipse_of_January_16,_1972.txt 1 109 
totally Solar_eclipse_of_January_16,_1972.txt 1 30 
parallel Solar_eclipse_of_January_16,_1972.txt 1 167 
a Solar_eclipse_of_January_16,_1972.txt 8 16 40 80 84 101 116 208 222 
annulus Solar_eclipse_of_January_16,_1972.txt 1 73 
light Solar_eclipse_of_January_16,_1972.txt 1 64 
1972 Solar_eclipse_of_January_16,_1972.txt 2 5 15 
1971 Solar_eclipse_of_January_16,_1972.txt 2 238 242 
ocean Solar_eclipse_of_January_16,_1972.txt 1 141 
portion Solar_eclipse_of_January_16,_1972.txt 3 106 160 187 
greatest Solar_eclipse_of_January_16,_1972.txt 1 155 
metonic Solar_eclipse_of_January_16,_1972.txt 2 250 254 
octon Solar_eclipse_of_January_16,_1972.txt 1 278 
the Solar_eclipse_of_January_16,_1972.txt 28 21 27 34 37 50 57 62 67 87 93 97 104 125 135 139 142 158 162 165 168 176 181 185 228 245 253 271 277 
